"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Culture, Media and Sport","The Geffrye Museum","Finance","G1","1","50001","60000","Operational Manager","2","Operational delivery","/data/geffrye-museum/2011-09-30/Copy-of-government-staff-and-salary-data-final.xls","juniorPosts2"
"Department for Culture, Media and Sport","The Geffrye Museum","Communications","G1","2","35001","50000","Operational Manager","3","Operational delivery","/data/geffrye-museum/2011-09-30/Copy-of-government-staff-and-salary-data-final.xls","juniorPosts3"
"Department for Culture, Media and Sport","The Geffrye Museum","Director","G1","4","20001","25000","Project Support Officer","1","Operational delivery","/data/geffrye-museum/2011-09-30/Copy-of-government-staff-and-salary-data-final.xls","juniorPosts4"
"Department for Culture, Media and Sport","The Geffrye Museum","Communications","G1","3","25001","35000","Communications support officer","1.8","Communications","/data/geffrye-museum/2011-09-30/Copy-of-government-staff-and-salary-data-final.xls","juniorPosts5"
"Department for Culture, Media and Sport","The Geffrye Museum","Communications","G1","4","20001","25000","Communications support officer","1","Communications","/data/geffrye-museum/2011-09-30/Copy-of-government-staff-and-salary-data-final.xls","juniorPosts6"
"Department for Culture, Media and Sport","The Geffrye Museum","Curatorial","G1","3","25001","35000","Project Manager","1.6","Operational Research","/data/geffrye-museum/2011-09-30/Copy-of-government-staff-and-salary-data-final.xls","juniorPosts7"
"Department for Culture, Media and Sport","The Geffrye Museum","Curatorial","G1","4","20001","25000","Project Manager","2","Operational Research","/data/geffrye-museum/2011-09-30/Copy-of-government-staff-and-salary-data-final.xls","juniorPosts8"
"Department for Culture, Media and Sport","The Geffrye Museum","Curatorial","G1","3","25001","35000","Project Support Officer","0.5","Operational Research","/data/geffrye-museum/2011-09-30/Copy-of-government-staff-and-salary-data-final.xls","juniorPosts9"
"Department for Culture, Media and Sport","The Geffrye Museum","Curatorial","G1","5","10000","20000","Project Support Officer","5","Operational Research","/data/geffrye-museum/2011-09-30/Copy-of-government-staff-and-salary-data-final.xls","juniorPosts10"
"Department for Culture, Media and Sport","The Geffrye Museum","Education","G1","3","25001","35000","Project Manager","3","Programme and Project Management (PPM)","/data/geffrye-museum/2011-09-30/Copy-of-government-staff-and-salary-data-final.xls","juniorPosts11"
"Department for Culture, Media and Sport","The Geffrye Museum","Education","G1","4","20001","25000","Project Manager","4","Programme and Project Management (PPM)","/data/geffrye-museum/2011-09-30/Copy-of-government-staff-and-salary-data-final.xls","juniorPosts12"
"Department for Culture, Media and Sport","The Geffrye Museum","Education","G1","5","10000","20000","Project Support Officer","1","Programme and Project Management (PPM)","/data/geffrye-museum/2011-09-30/Copy-of-government-staff-and-salary-data-final.xls","juniorPosts13"
"Department for Culture, Media and Sport","The Geffrye Museum","Finance","G1","3","25001","35000","Finance Officer","1","Finance","/data/geffrye-museum/2011-09-30/Copy-of-government-staff-and-salary-data-final.xls","juniorPosts14"
"Department for Culture, Media and Sport","The Geffrye Museum","Finance","G1","5","10000","20000","Finance Support Officer","1","Finance","/data/geffrye-museum/2011-09-30/Copy-of-government-staff-and-salary-data-final.xls","juniorPosts15"
"Department for Culture, Media and Sport","The Geffrye Museum","Front of house and estates","G1","3","25001","35000","Operations Support Officer","2","Operational delivery","/data/geffrye-museum/2011-09-30/Copy-of-government-staff-and-salary-data-final.xls","juniorPosts16"
"Department for Culture, Media and Sport","The Geffrye Museum","Front of house and estates","G1","4","20001","25000","Operations Support Officer","6","Operational delivery","/data/geffrye-museum/2011-09-30/Copy-of-government-staff-and-salary-data-final.xls","juniorPosts17"
"Department for Culture, Media and Sport","The Geffrye Museum","Front of house and estates","G1","5","10000","20000","Operations Support Officer","1.25","Operational delivery","/data/geffrye-museum/2011-09-30/Copy-of-government-staff-and-salary-data-final.xls","juniorPosts18"
"Department for Culture, Media and Sport","The Geffrye Museum","Front of house and estates","G1","4","20001","25000","Operational Manager","1","Operational delivery","/data/geffrye-museum/2011-09-30/Copy-of-government-staff-and-salary-data-final.xls","juniorPosts19"
"Department for Culture, Media and Sport","The Geffrye Museum","Finance","G1","5","10000","20000","Operations Support Officer","6.5","Operational delivery","/data/geffrye-museum/2011-09-30/Copy-of-government-staff-and-salary-data-final.xls","juniorPosts20"
"Department for Culture, Media and Sport","The Geffrye Museum","Finance","G1","3","25001","35000","Operational Manager","1","Operational delivery","/data/geffrye-museum/2011-09-30/Copy-of-government-staff-and-salary-data-final.xls","juniorPosts21"
"Department for Culture, Media and Sport","The Geffrye Museum","Finance","G1","5","10000","20000","Operations Support Officer","1.2","Operational delivery","/data/geffrye-museum/2011-09-30/Copy-of-government-staff-and-salary-data-final.xls","juniorPosts22"
