"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Business Innovation and Skills","The Insolvency Service","Strategy, Planning & Communication and Finance & Corporate Governance","INSS1","D3 (G6)","64699","77517","Senior Operational Manager","1","Operational delivery","/data/insolvency/2011-09-30/INSS-staff-and-salary-data---300911.xls","juniorPosts2"
"Department for Business Innovation and Skills","The Insolvency Service","Strategy, Planning & Communication and Finance & Corporate Governance","INSS1","D2 (G7)","49511","57735","Business Manager","3","Operational delivery","/data/insolvency/2011-09-30/INSS-staff-and-salary-data---300911.xls","juniorPosts3"
"Department for Business Innovation and Skills","The Insolvency Service","Strategy, Planning & Communication and Finance & Corporate Governance","INSS1","D2 (G7)","49511","57735","Senior Communications Manager","1","Communications","/data/insolvency/2011-09-30/INSS-staff-and-salary-data---300911.xls","juniorPosts4"
"Department for Business Innovation and Skills","The Insolvency Service","Strategy, Planning & Communication and Finance & Corporate Governance","INSS1","C2 (SEO)","40249","47416","Communications Manager","3","Communications","/data/insolvency/2011-09-30/INSS-staff-and-salary-data---300911.xls","juniorPosts5"
"Department for Business Innovation and Skills","The Insolvency Service","Strategy, Planning & Communication and Finance & Corporate Governance","INSS1","C2 (SEO)","40249","47416","Senior Analyst","3","Operational delivery","/data/insolvency/2011-09-30/INSS-staff-and-salary-data---300911.xls","juniorPosts6"
"Department for Business Innovation and Skills","The Insolvency Service","Strategy, Planning & Communication and Finance & Corporate Governance","INSS1","C2 (SEO)","40249","47416","Correspondence Manager","1","Operational delivery","/data/insolvency/2011-09-30/INSS-staff-and-salary-data---300911.xls","juniorPosts7"
"Department for Business Innovation and Skills","The Insolvency Service","Strategy, Planning & Communication and Finance & Corporate Governance","INSS1","B2 (HEO)","26218","33671","Communications support officer","2","Communications","/data/insolvency/2011-09-30/INSS-staff-and-salary-data---300911.xls","juniorPosts8"
"Department for Business Innovation and Skills","The Insolvency Service","Strategy, Planning & Communication and Finance & Corporate Governance","INSS1","B2 (HEO)","26218","33671","Web Manager","1","Communications","/data/insolvency/2011-09-30/INSS-staff-and-salary-data---300911.xls","juniorPosts9"
"Department for Business Innovation and Skills","The Insolvency Service","Strategy, Planning & Communication and Finance & Corporate Governance","INSS1","B2 (HEO)","26218","33671","Correspondence Officer","3","Operational delivery","/data/insolvency/2011-09-30/INSS-staff-and-salary-data---300911.xls","juniorPosts10"
"Department for Business Innovation and Skills","The Insolvency Service","Strategy, Planning & Communication and Finance & Corporate Governance","INSS1","B2 (HEO)","26218","33671","Operational Manager","2","Operational delivery","/data/insolvency/2011-09-30/INSS-staff-and-salary-data---300911.xls","juniorPosts11"
