"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Ministry of Justice","The National Archives","Chief Executive's Office and GKIM Network","1","Band F","30610","45030","Business Manager","1","Knowledge and Information Management (KIM)","/data/nationalarchives/2011-03-31/Organogram-data_TNA_March-2011_20110525_CCD.xls","juniorPosts2"
"Ministry of Justice","The National Archives","Chief Executive's Office and GKIM Network","1","Band F","30610","45030","Communications Manager","1","Knowledge and Information Management (KIM)","/data/nationalarchives/2011-03-31/Organogram-data_TNA_March-2011_20110525_CCD.xls","juniorPosts3"
"Ministry of Justice","The National Archives","Chief Executive's Office and GKIM Network","1","Band H","48090","63690","Communications Manager","1","Knowledge and Information Management (KIM)","/data/nationalarchives/2011-03-31/Organogram-data_TNA_March-2011_20110525_CCD.xls","juniorPosts4"
"Ministry of Justice","The National Archives","Chief Executive's Office and GKIM Network","1","Band D","20545","27955","Project support officer","1","Knowledge and Information Management (KIM)","/data/nationalarchives/2011-03-31/Organogram-data_TNA_March-2011_20110525_CCD.xls","juniorPosts5"
"Ministry of Justice","The National Archives","Chief Executive's Office and GKIM Network","1","Band F","30610","45030","Researcher","1.78","Knowledge and Information Management (KIM)","/data/nationalarchives/2011-03-31/Organogram-data_TNA_March-2011_20110525_CCD.xls","juniorPosts6"
"Ministry of Justice","The National Archives","Chief Executive's Office and GKIM Network","1","Band D","20545","27955","Executive Assistant","2","Knowledge and Information Management (KIM)","/data/nationalarchives/2011-03-31/Organogram-data_TNA_March-2011_20110525_CCD.xls","juniorPosts7"
"Ministry of Justice","The National Archives","Chief Executive's Office and GKIM Network","1","Band E","25055","32975","Executive Assistant","1","Knowledge and Information Management (KIM)","/data/nationalarchives/2011-03-31/Organogram-data_TNA_March-2011_20110525_CCD.xls","juniorPosts8"
"Ministry of Justice","The National Archives","Commercial Delivery","1","Band G","40330","53590","senior operational manager","1","Operational Delivery","/data/nationalarchives/2011-03-31/Organogram-data_TNA_March-2011_20110525_CCD.xls","juniorPosts9"
"Ministry of Justice","The National Archives","Commercial Delivery","233","Band C","17740","22700","Communications Support Officer","1","Operational Delivery","/data/nationalarchives/2011-03-31/Organogram-data_TNA_March-2011_20110525_CCD.xls","juniorPosts10"
"Ministry of Justice","The National Archives","Commercial Delivery","233","Band D","20545","27955","Communications Support Officer","1","Operational Delivery","/data/nationalarchives/2011-03-31/Organogram-data_TNA_March-2011_20110525_CCD.xls","juniorPosts11"
"Ministry of Justice","The National Archives","Commercial Delivery","233","Band D","20545","27955","Office Manager","1","Operational Delivery","/data/nationalarchives/2011-03-31/Organogram-data_TNA_March-2011_20110525_CCD.xls","juniorPosts12"
"Ministry of Justice","The National Archives","Commercial Delivery","233","Band B","15070","19830","Reprographics Assistant","7","Operational Delivery","/data/nationalarchives/2011-03-31/Organogram-data_TNA_March-2011_20110525_CCD.xls","juniorPosts13"
"Ministry of Justice","The National Archives","Commercial Delivery","233","Band C","17740","22700","Reprographics Assistant","19.58","Operational Delivery","/data/nationalarchives/2011-03-31/Organogram-data_TNA_March-2011_20110525_CCD.xls","juniorPosts14"
"Ministry of Justice","The National Archives","Commercial Delivery","233","Band D","20545","27955","Reprographics Manager","1","Operational Delivery","/data/nationalarchives/2011-03-31/Organogram-data_TNA_March-2011_20110525_CCD.xls","juniorPosts15"
"Ministry of Justice","The National Archives","Commercial Delivery","233","Band E","25055","32975","Reprographics Manager","5","Operational Delivery","/data/nationalarchives/2011-03-31/Organogram-data_TNA_March-2011_20110525_CCD.xls","juniorPosts16"
"Ministry of Justice","The National Archives","Commercial Delivery","233","Band F","30610","45030","Reprographics Manager","1","Operational Delivery","/data/nationalarchives/2011-03-31/Organogram-data_TNA_March-2011_20110525_CCD.xls","juniorPosts17"
"Ministry of Justice","The National Archives","Commercial Delivery","233","Band D","20545","27955","Reprographics Officer","5.69","Operational Delivery","/data/nationalarchives/2011-03-31/Organogram-data_TNA_March-2011_20110525_CCD.xls","juniorPosts18"
"Ministry of Justice","The National Archives","Commercial Delivery","233","Band D","20545","27955","Senior Retail Assistant","2","Operational Delivery","/data/nationalarchives/2011-03-31/Organogram-data_TNA_March-2011_20110525_CCD.xls","juniorPosts19"
"Ministry of Justice","The National Archives","Commercial Delivery","233","Band A","13770","16630","Retail Assistant","0.19","Operational Delivery","/data/nationalarchives/2011-03-31/Organogram-data_TNA_March-2011_20110525_CCD.xls","juniorPosts20"
"Ministry of Justice","The National Archives","Commercial Delivery","233","Band F","30610","45030","Retail Manager","1","Operational Delivery","/data/nationalarchives/2011-03-31/Organogram-data_TNA_March-2011_20110525_CCD.xls","juniorPosts21"
"Ministry of Justice","The National Archives","Commercial Delivery","233","Band G","40330","53590","senior operational manager","1","Operational Delivery","/data/nationalarchives/2011-03-31/Organogram-data_TNA_March-2011_20110525_CCD.xls","juniorPosts22"
"Ministry of Justice","The National Archives","Customer Experience","233","Band E","25055","32975","Business Manager","1","Operational Delivery","/data/nationalarchives/2011-03-31/Organogram-data_TNA_March-2011_20110525_CCD.xls","juniorPosts23"
"Ministry of Justice","The National Archives","Licensing","233","Band E","25055","32975","Business Manager","1.5","Operational Delivery","/data/nationalarchives/2011-03-31/Organogram-data_TNA_March-2011_20110525_CCD.xls","juniorPosts24"
"Ministry of Justice","The National Archives","Licensing","233","Band F","30610","45030","Business Manager","1","Operational Delivery","/data/nationalarchives/2011-03-31/Organogram-data_TNA_March-2011_20110525_CCD.xls","juniorPosts25"
"Ministry of Justice","The National Archives","Licensing","233","Band G","40330","53590","senior operational manager","1","Operational Delivery","/data/nationalarchives/2011-03-31/Organogram-data_TNA_March-2011_20110525_CCD.xls","juniorPosts26"
"Ministry of Justice","The National Archives","Marketing and Communications","233","Band F","30610","45030","Communications Manager","1","Communications","/data/nationalarchives/2011-03-31/Organogram-data_TNA_March-2011_20110525_CCD.xls","juniorPosts27"
"Ministry of Justice","The National Archives","Marketing and Communications","233","Band D","20545","27955","Communications Support Officer","2","Communications","/data/nationalarchives/2011-03-31/Organogram-data_TNA_March-2011_20110525_CCD.xls","juniorPosts28"
"Ministry of Justice","The National Archives","Marketing and Communications","233","Band E","25055","32975","Communications Support Officer","2","Communications","/data/nationalarchives/2011-03-31/Organogram-data_TNA_March-2011_20110525_CCD.xls","juniorPosts29"
"Ministry of Justice","The National Archives","Marketing and Communications","233","Band F","30610","45030","Marketing Manager","1","Communications","/data/nationalarchives/2011-03-31/Organogram-data_TNA_March-2011_20110525_CCD.xls","juniorPosts30"
"Ministry of Justice","The National Archives","Marketing and Communications","233","Band E","25055","32975","Press Officer","2","Communications","/data/nationalarchives/2011-03-31/Organogram-data_TNA_March-2011_20110525_CCD.xls","juniorPosts31"
"Ministry of Justice","The National Archives","Marketing and Communications","233","Band G","40330","53590","senior operational manager","0.83","Communications","/data/nationalarchives/2011-03-31/Organogram-data_TNA_March-2011_20110525_CCD.xls","juniorPosts32"
"Ministry of Justice","The National Archives","Marketing and Communications","233","Band F","30610","45030","Senior Press Officer","1","Communications","/data/nationalarchives/2011-03-31/Organogram-data_TNA_March-2011_20110525_CCD.xls","juniorPosts33"
