"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Culture, Media and Sport","The National Gallery","Collections","CUR05","3","43461","53385","Head of Exhibitions","1","Operational Delivery","/data/ng-london/2011-03-31/government-staff-and-salary-data---31-March-2011-NG.xls","juniorPosts2"
"Department for Culture, Media and Sport","The National Gallery","Collections","CUR05","3","43461","53385","Curatorial staff","7","Operational Delivery","/data/ng-london/2011-03-31/government-staff-and-salary-data---31-March-2011-NG.xls","juniorPosts3"
"Department for Culture, Media and Sport","The National Gallery","Collections","CUR05","4","34272","42098","Head of Design","1","Operational Delivery","/data/ng-london/2011-03-31/government-staff-and-salary-data---31-March-2011-NG.xls","juniorPosts4"
"Department for Culture, Media and Sport","The National Gallery","Collections","CUR05","4","34272","42098","Curatorial staff","1.6","Operational Delivery","/data/ng-london/2011-03-31/government-staff-and-salary-data---31-March-2011-NG.xls","juniorPosts5"
"Department for Culture, Media and Sport","The National Gallery","Collections","CUR05","5","28492","34997","Curatorial staff","4","Operational Delivery","/data/ng-london/2011-03-31/government-staff-and-salary-data---31-March-2011-NG.xls","juniorPosts6"
"Department for Culture, Media and Sport","The National Gallery","Collections","CUR05","5","28492","34997","Design staff","1","Operational Delivery","/data/ng-london/2011-03-31/government-staff-and-salary-data---31-March-2011-NG.xls","juniorPosts7"
"Department for Culture, Media and Sport","The National Gallery","Collections","CUR05","5","28492","34997","Exhibitions staff","2","Operational Delivery","/data/ng-london/2011-03-31/government-staff-and-salary-data---31-March-2011-NG.xls","juniorPosts8"
"Department for Culture, Media and Sport","The National Gallery","Collections","CUR05","6","24619","30239","Design staff","3","Operational Delivery","/data/ng-london/2011-03-31/government-staff-and-salary-data---31-March-2011-NG.xls","juniorPosts9"
"Department for Culture, Media and Sport","The National Gallery","Collections","CUR05","6","24619","30239","Curatorial staff","4","Operational Delivery","/data/ng-london/2011-03-31/government-staff-and-salary-data---31-March-2011-NG.xls","juniorPosts10"
"Department for Culture, Media and Sport","The National Gallery","Collections","CUR05","7","21085","25530","Administrator","1","Operational Delivery","/data/ng-london/2011-03-31/government-staff-and-salary-data---31-March-2011-NG.xls","juniorPosts11"
"Department for Culture, Media and Sport","The National Gallery","Collections","CUR05","9","16384","20057","Administrator","0.42","Operational Delivery","/data/ng-london/2011-03-31/government-staff-and-salary-data---31-March-2011-NG.xls","juniorPosts12"
"Department for Culture, Media and Sport","The National Gallery","Conservation","CON01","2","53141","65274","Head of Collections Management","1","Operational Delivery","/data/ng-london/2011-03-31/government-staff-and-salary-data---31-March-2011-NG.xls","juniorPosts13"
"Department for Culture, Media and Sport","The National Gallery","Conservation","CON01","4","34272","42098","Head of Art Handling","1","Operational Delivery","/data/ng-london/2011-03-31/government-staff-and-salary-data---31-March-2011-NG.xls","juniorPosts14"
"Department for Culture, Media and Sport","The National Gallery","Conservation","CON01","4","34272","42098","Head of Framing","0.67","Operational Delivery","/data/ng-london/2011-03-31/government-staff-and-salary-data---31-March-2011-NG.xls","juniorPosts15"
"Department for Culture, Media and Sport","The National Gallery","Conservation","CON01","4","34272","42098","Head of Photographic","1","Operational Delivery","/data/ng-london/2011-03-31/government-staff-and-salary-data---31-March-2011-NG.xls","juniorPosts16"
"Department for Culture, Media and Sport","The National Gallery","Conservation","CON01","5","28492","34997","Conservation staff","9.6","Operational Delivery","/data/ng-london/2011-03-31/government-staff-and-salary-data---31-March-2011-NG.xls","juniorPosts17"
"Department for Culture, Media and Sport","The National Gallery","Conservation","CON01","5","28492","34997","Photographic staff","1","Operational Delivery","/data/ng-london/2011-03-31/government-staff-and-salary-data---31-March-2011-NG.xls","juniorPosts18"
"Department for Culture, Media and Sport","The National Gallery","Conservation","CON01","5","28492","34997","Photographic staff","1","Operational Delivery","/data/ng-london/2011-03-31/government-staff-and-salary-data---31-March-2011-NG.xls","juniorPosts19"
"Department for Culture, Media and Sport","The National Gallery","Conservation","CON01","5","28492","34997","Registrars staff","2","Operational Delivery","/data/ng-london/2011-03-31/government-staff-and-salary-data---31-March-2011-NG.xls","juniorPosts20"
"Department for Culture, Media and Sport","The National Gallery","Conservation","CON01","6","24619","30239","Art Handling staff","2","Operational Delivery","/data/ng-london/2011-03-31/government-staff-and-salary-data---31-March-2011-NG.xls","juniorPosts21"
"Department for Culture, Media and Sport","The National Gallery","Conservation","CON01","6","24619","30239","Conservation staff","1","Operational Delivery","/data/ng-london/2011-03-31/government-staff-and-salary-data---31-March-2011-NG.xls","juniorPosts22"
"Department for Culture, Media and Sport","The National Gallery","Conservation","CON01","6","24619","30239","Photographic staff","3.32","Operational Delivery","/data/ng-london/2011-03-31/government-staff-and-salary-data---31-March-2011-NG.xls","juniorPosts23"
"Department for Culture, Media and Sport","The National Gallery","Conservation","CON01","6","24619","30239","Registrars staff","2","Operational Delivery","/data/ng-london/2011-03-31/government-staff-and-salary-data---31-March-2011-NG.xls","juniorPosts24"
"Department for Culture, Media and Sport","The National Gallery","Conservation","CON01","7","21085","25530","Administrator","2","Operational Delivery","/data/ng-london/2011-03-31/government-staff-and-salary-data---31-March-2011-NG.xls","juniorPosts25"
"Department for Culture, Media and Sport","The National Gallery","Conservation","CON01","7","21085","25530","Art Handling staff","1.67","Operational Delivery","/data/ng-london/2011-03-31/government-staff-and-salary-data---31-March-2011-NG.xls","juniorPosts26"
"Department for Culture, Media and Sport","The National Gallery","Conservation","CON01","7","21085","25530","Photographic staff","1.58","Operational Delivery","/data/ng-london/2011-03-31/government-staff-and-salary-data---31-March-2011-NG.xls","juniorPosts27"
"Department for Culture, Media and Sport","The National Gallery","Conservation","CON01","7","21085","25530","Registrars staff","2","Operational Delivery","/data/ng-london/2011-03-31/government-staff-and-salary-data---31-March-2011-NG.xls","juniorPosts28"
