"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Transport","The Northern Lighthouse Board","Marine Operations Dept","NLB04","2ND ENGINEER","36996","40368","2nd Engineer","4","Operational Delivery","/data/nlb/2011-03-31/NLB-staff-and-salary-data-2---March-2011.xls","juniorPosts2"
"Department for Transport","The Northern Lighthouse Board","Marine Operations Dept","NLB04","2ND OFFICER","32496","36060","2nd Officer","8","Operational Delivery","/data/nlb/2011-03-31/NLB-staff-and-salary-data-2---March-2011.xls","juniorPosts3"
"Department for Transport","The Northern Lighthouse Board","Engineering Dept","NLB03","F","32928","47040","Acceptance Engineer","1","Science & Engineering","/data/nlb/2011-03-31/NLB-staff-and-salary-data-2---March-2011.xls","juniorPosts4"
"Department for Transport","The Northern Lighthouse Board","Marine Operations Dept","NLB04","D","21396","28524","Administration and Stores Officer","1","Operational Delivery","/data/nlb/2011-03-31/NLB-staff-and-salary-data-2---March-2011.xls","juniorPosts5"
"Department for Transport","The Northern Lighthouse Board","Finance & Admin. Dept","NLB02","B","15204","19008","Administration Assistant","1","Property and asset management","/data/nlb/2011-03-31/NLB-staff-and-salary-data-2---March-2011.xls","juniorPosts6"
"Department for Transport","The Northern Lighthouse Board","Marine Operations Dept","NLB04","A","13704","17124","Administration Assistant/Receptionist","2","Communications","/data/nlb/2011-03-31/NLB-staff-and-salary-data-2---March-2011.xls","juniorPosts7"
"Department for Transport","The Northern Lighthouse Board","Marine Operations Dept","NLB04","E","26484","35316","Coastal Inspector","1","Operational Delivery","/data/nlb/2011-03-31/NLB-staff-and-salary-data-2---March-2011.xls","juniorPosts8"
"Department for Transport","The Northern Lighthouse Board","Engineering Dept","NLB03","F","32928","47040","Area Maintenance Engineer","3","Science & Engineering","/data/nlb/2011-03-31/NLB-staff-and-salary-data-2---March-2011.xls","juniorPosts9"
"Department for Transport","The Northern Lighthouse Board","Marine Operations Dept","NLB04","D","21396","28524","Aids to Navigation (AToN) Inspector","1","Operational Delivery","/data/nlb/2011-03-31/NLB-staff-and-salary-data-2---March-2011.xls","juniorPosts10"
"Department for Transport","The Northern Lighthouse Board","Finance & Admin. Dept","NLB02","C","18906","25272","Assistant Facilities Officer","1","Property and asset management","/data/nlb/2011-03-31/NLB-staff-and-salary-data-2---March-2011.xls","juniorPosts11"
"Department for Transport","The Northern Lighthouse Board","Chief Executive's Office","NLB01","D","21396","28524","Assistant to the Chief Executive/Secretary to the Board","1","Policy","/data/nlb/2011-03-31/NLB-staff-and-salary-data-2---March-2011.xls","juniorPosts12"
"Department for Transport","The Northern Lighthouse Board","Marine Operations Dept","NLB04","C","18906","25272","Base Assistant","6","Operational Delivery","/data/nlb/2011-03-31/NLB-staff-and-salary-data-2---March-2011.xls","juniorPosts13"
"Department for Transport","The Northern Lighthouse Board","Marine Operations Dept","NLB04","BOATSWAIN","27216","29784","Boatswain","4","Operational Delivery","/data/nlb/2011-03-31/NLB-staff-and-salary-data-2---March-2011.xls","juniorPosts14"
"Department for Transport","The Northern Lighthouse Board","Engineering Dept","NLB03","E","26484","35316","Buoyage Engineer","1","Operational Delivery","/data/nlb/2011-03-31/NLB-staff-and-salary-data-2---March-2011.xls","juniorPosts15"
"Department for Transport","The Northern Lighthouse Board","Marine Operations Dept","NLB04","SM1","38532","55044","Business Development Manager","1","Programme and Project Management (PPM)","/data/nlb/2011-03-31/NLB-staff-and-salary-data-2---March-2011.xls","juniorPosts16"
"Department for Transport","The Northern Lighthouse Board","Engineering Dept","NLB03","SM2","44820","64032","Capital Projects Engineer","1","Science & Engineering","/data/nlb/2011-03-31/NLB-staff-and-salary-data-2---March-2011.xls","juniorPosts17"
