"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Work and Pensions","The Pensions Advisory Service","Corporate Services","94","Band 1","55000","65000","Head of Corporate Services","1","Operational delivery","/data/pensionsadvisoryservice/2011-09-30/300911-TPAS-Organogram.xls","juniorPosts2"
"Department for Work and Pensions","The Pensions Advisory Service","Corporate Services","94","Band 4","24000","35000","Corporate Services Line Managers","2","Operational delivery","/data/pensionsadvisoryservice/2011-09-30/300911-TPAS-Organogram.xls","juniorPosts3"
"Department for Work and Pensions","The Pensions Advisory Service","Corporate Services","94","Band 5","17000","27000","Admin Support","4.9","Operational delivery","/data/pensionsadvisoryservice/2011-09-30/300911-TPAS-Organogram.xls","juniorPosts4"
"Department for Work and Pensions","The Pensions Advisory Service","Policy & Technical Development","94","Band 1","55000","65000","Head of Policy & Technical Development","1","Operational delivery","/data/pensionsadvisoryservice/2011-09-30/300911-TPAS-Organogram.xls","juniorPosts5"
"Department for Work and Pensions","The Pensions Advisory Service","Policy & Technical Development","94","Band 2","33000","51000","Technical Specialists","3","Operational delivery","/data/pensionsadvisoryservice/2011-09-30/300911-TPAS-Organogram.xls","juniorPosts6"
"Department for Work and Pensions","The Pensions Advisory Service","Information & Guidance","94","Band 1","55000","65000","Head of Information & Guidance","1","Operational delivery","/data/pensionsadvisoryservice/2011-09-30/300911-TPAS-Organogram.xls","juniorPosts7"
"Department for Work and Pensions","The Pensions Advisory Service","Information & Guidance","94","Band 2","33000","51000","Technical Specialists","10","Operational delivery","/data/pensionsadvisoryservice/2011-09-30/300911-TPAS-Organogram.xls","juniorPosts8"
"Department for Work and Pensions","The Pensions Advisory Service","Information & Guidance","94","Band 3","25000","37000","Assistant Technical Specialists","2.6","Operational delivery","/data/pensionsadvisoryservice/2011-09-30/300911-TPAS-Organogram.xls","juniorPosts9"
"Department for Work and Pensions","The Pensions Advisory Service","Dispute Resolution","94","Band 1","55000","65000","Head of Dispute Resolution","1","Operational delivery","/data/pensionsadvisoryservice/2011-09-30/300911-TPAS-Organogram.xls","juniorPosts10"
"Department for Work and Pensions","The Pensions Advisory Service","Dispute Resolution","94","Band 2","33000","51000","Technical Specialists","8.4","Operational delivery","/data/pensionsadvisoryservice/2011-09-30/300911-TPAS-Organogram.xls","juniorPosts11"
