"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Work and Pensions","The Pensions Regulator","Chief Executive's Office","207","TPR Job Group 2","30000","81000","Adviser","1","Policy","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts2"
"Department for Work and Pensions","The Pensions Regulator","Chief Executive's Office","207","TPR Job Group 3","20276","43645","Adviser","4.2","Policy","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts3"
"Department for Work and Pensions","The Pensions Regulator","Chief Executive's Office","300","TPR Job Group 3","20276","43645","PA","1","Operational delivery","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts4"
"Department for Work and Pensions","The Pensions Regulator","Chief Executive's Office","207","TPR Job Group 2","30000","81000","Manager","1","Policy","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts5"
"Department for Work and Pensions","The Pensions Regulator","DC Governance and Administration","200","TPR Job Group 1","51479","108000","Manager","1","Policy","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts6"
"Department for Work and Pensions","The Pensions Regulator","DC Governance and Administration","200","TPR Job Group 3","20276","43645","PA","1","Operational delivery","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts7"
"Department for Work and Pensions","The Pensions Regulator","DC Governance and Administration","244","TPR Job Group 2","30000","81000","Policy Specialist","3","Policy","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts8"
"Department for Work and Pensions","The Pensions Regulator","DC Governance and Administration","244","TPR Job Group 3","20276","43645","Adviser","1","Policy","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts9"
"Department for Work and Pensions","The Pensions Regulator","DB Regulation","201","TPR Job Group 1","51479","108000","Manager","4","Operational delivery","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts10"
"Department for Work and Pensions","The Pensions Regulator","DB Regulation","201","TPR Job Group 2","30000","81000","Case Manager","40","Operational delivery","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts11"
"Department for Work and Pensions","The Pensions Regulator","DB Regulation","201","TPR Job Group 3","20276","43645","PA","1","Operational delivery","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts12"
"Department for Work and Pensions","The Pensions Regulator","DB Regulation","221","TPR Job Group 2","30000","81000","Policy Specialist","2","Policy","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts13"
"Department for Work and Pensions","The Pensions Regulator","Support Operations","271","TPR Job Group 3","20276","43645","Adviser","9.9","Human resources","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts14"
"Department for Work and Pensions","The Pensions Regulator","Support Operations","269","TPR Job Group 3","20276","43645","Adviser","4","Procurement","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts15"
"Department for Work and Pensions","The Pensions Regulator","Support Operations","268","TPR Job Group 4","16278","19951","Co-ordinator","0.6","Finance","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts16"
"Department for Work and Pensions","The Pensions Regulator","Support Operations","268","TPR Job Group 3","20276","43645","Adviser","7.6","Finance","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts17"
"Department for Work and Pensions","The Pensions Regulator","Support Operations","268","TPR Job Group 2","30000","81000","Manager","2","Finance","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts18"
"Department for Work and Pensions","The Pensions Regulator","Support Operations","272","TPR Job Group 3","20276","43645","Adviser","16.6","Operational delivery","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts19"
"Department for Work and Pensions","The Pensions Regulator","Support Operations","272","TPR Job Group 1","51479","108000","Manager","2","Operational delivery","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts20"
"Department for Work and Pensions","The Pensions Regulator","Support Operations","272","TPR Job Group 2","30000","81000","Analyst","1","Operational delivery","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts21"
"Department for Work and Pensions","The Pensions Regulator","Support Operations","272","TPR Job Group 2","30000","81000","Manager","1","Operational delivery","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts22"
"Department for Work and Pensions","The Pensions Regulator","Support Operations","202","TPR Job Group 4","16278","19951","Co-ordinator","3.6","Operational delivery","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts23"
"Department for Work and Pensions","The Pensions Regulator","Support Operations","202","TPR Job Group 3","20276","43645","Adviser","1","Knowledge and Information Management (KIM)","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts24"
"Department for Work and Pensions","The Pensions Regulator","Support Operations","202","TPR Job Group 3","20276","43645","Adviser","17.3","Operational delivery","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts25"
"Department for Work and Pensions","The Pensions Regulator","Support Operations","202","TPR Job Group 3","20276","43645","PA","1.1","Operational delivery","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts26"
"Department for Work and Pensions","The Pensions Regulator","Support Operations","202","TPR Job Group 2","30000","81000","Business Leader","2","Operational delivery","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts27"
"Department for Work and Pensions","The Pensions Regulator","Support Operations","202","TPR Job Group 2","30000","81000","Manager","1","Operational delivery","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts28"
"Department for Work and Pensions","The Pensions Regulator","Support Operations","202","TPR Job Group 3","20276","43645","Manager","1","Knowledge and Information Management (KIM)","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts29"
"Department for Work and Pensions","The Pensions Regulator","Support Operations","268","TPR Job Group 2","30000","81000","Manager","1","Planning","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts30"
"Department for Work and Pensions","The Pensions Regulator","Support Operations","268","TPR Job Group 3","20276","43645","Adviser","1.4","Planning","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts31"
"Department for Work and Pensions","The Pensions Regulator","Support Operations","270","TPR Job Group 4","16278","19951","Co-ordinator","1","Information Technology","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts32"
"Department for Work and Pensions","The Pensions Regulator","Support Operations","270","TPR Job Group 2","30000","81000","Manager","2","Information Technology","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts33"
"Department for Work and Pensions","The Pensions Regulator","Support Operations","270","TPR Job Group 2","30000","81000","Technical Specialist","1","Information Technology","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts34"
"Department for Work and Pensions","The Pensions Regulator","Support Operations","270","TPR Job Group 3","20276","43645","Manager","1","Information Technology","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts35"
"Department for Work and Pensions","The Pensions Regulator","Support Operations","270","TPR Job Group 3","20276","43645","Adviser","5","Information Technology","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts36"
"Department for Work and Pensions","The Pensions Regulator","Support Operations","273","TPR Job Group 3","20276","43645","Adviser","1","Information Technology","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts37"
"Department for Work and Pensions","The Pensions Regulator","Support Operations","273","TPR Job Group 3","20276","43645","Technical Specialist","14","Information Technology","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts38"
"Department for Work and Pensions","The Pensions Regulator","Support Operations","273","TPR Job Group 2","30000","81000","Technical Specialist","5","Information Technology","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts39"
"Department for Work and Pensions","The Pensions Regulator","Support Operations","274","TPR Job Group 2","30000","81000","Business Analyst","0.6","Programme and Project Management (PPM)","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts40"
"Department for Work and Pensions","The Pensions Regulator","Support Operations","274","TPR Job Group 1","51479","108000","Project Manager","1","Programme and Project Management (PPM)","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts41"
"Department for Work and Pensions","The Pensions Regulator","Support Operations","274","TPR Job Group 2","30000","81000","Project Manager","1","Programme and Project Management (PPM)","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts42"
"Department for Work and Pensions","The Pensions Regulator","Support Operations","274","TPR Job Group 3","20276","43645","Adviser","2.6","Programme and Project Management (PPM)","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts43"
"Department for Work and Pensions","The Pensions Regulator","Support Operations","274","TPR Job Group 2","30000","81000","Manager","1.8","Programme and Project Management (PPM)","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts44"
"Department for Work and Pensions","The Pensions Regulator","Customer Communications","204","TPR Job Group 1","51479","108000","Business Leader","0.8","Operational delivery","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts45"
"Department for Work and Pensions","The Pensions Regulator","Customer Communications","204","TPR Job Group 2","30000","81000","Manager","1","Operational delivery","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts46"
"Department for Work and Pensions","The Pensions Regulator","Customer Communications","204","TPR Job Group 2","30000","81000","Adviser","1","Operational delivery","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts47"
"Department for Work and Pensions","The Pensions Regulator","Customer Communications","204","TPR Job Group 3","20276","43645","Adviser","16","Operational delivery","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts48"
"Department for Work and Pensions","The Pensions Regulator","Customer Communications","204","TPR Job Group 3","20276","43645","Adviser","1","Knowledge and Information Management (KIM)","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts49"
"Department for Work and Pensions","The Pensions Regulator","Customer Communications","204","TPR Job Group 4","16278","19951","Co-ordinator","1","Communications","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts50"
"Department for Work and Pensions","The Pensions Regulator","Customer Communications","204","TPR Job Group 2","30000","81000","Manager","4.9","Communications","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts51"
"Department for Work and Pensions","The Pensions Regulator","Customer Communications","204","TPR Job Group 3","20276","43645","Adviser","7","Communications","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts52"
"Department for Work and Pensions","The Pensions Regulator","Customer Communications","204","TPR Job Group 2","30000","81000","Adviser","3","Communications","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts53"
"Department for Work and Pensions","The Pensions Regulator","Corporate and International Affairs","205","TPR Job Group 3","20276","43645","PA","0.8","Operational delivery","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts54"
"Department for Work and Pensions","The Pensions Regulator","Corporate and International Affairs","205","TPR Job Group 3","20276","43645","Adviser","4","Communications","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts55"
"Department for Work and Pensions","The Pensions Regulator","Corporate and International Affairs","205","TPR Job Group 2","30000","81000","Manager","2","Communications","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts56"
"Department for Work and Pensions","The Pensions Regulator","Corporate and International Affairs","208","TPR Job Group 2","30000","81000","Lawyer","2","Law","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts57"
"Department for Work and Pensions","The Pensions Regulator","Corporate and International Affairs","209","TPR Job Group 2","30000","81000","Policy Specialist","2","Communications","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts58"
"Department for Work and Pensions","The Pensions Regulator","Corporate and International Affairs","209","TPR Job Group 3","20276","43645","Adviser","1","Communications","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts59"
"Department for Work and Pensions","The Pensions Regulator","Corporate and International Affairs","210","TPR Job Group 2","30000","81000","Policy Specialist","1","Communications","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts60"
"Department for Work and Pensions","The Pensions Regulator","Corporate and International Affairs","210","TPR Job Group 3","20276","43645","Adviser","1","Communications","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts61"
"Department for Work and Pensions","The Pensions Regulator","Risk","206","TPR Job Group 2","30000","81000","Analyst","7.8","Operational delivery","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts62"
"Department for Work and Pensions","The Pensions Regulator","Risk","206","TPR Job Group 1","51479","108000","Manager","1","Operational delivery","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts63"
"Department for Work and Pensions","The Pensions Regulator","Risk","266","TPR Job Group 2","30000","81000","Adviser","1","Economics","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts64"
"Department for Work and Pensions","The Pensions Regulator","Risk","266","TPR Job Group 2","30000","81000","Analyst","5","Operational Research","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts65"
"Department for Work and Pensions","The Pensions Regulator","Risk","266","TPR Job Group 3","20276","43645","Analyst","1","Operational Research","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts66"
"Department for Work and Pensions","The Pensions Regulator","Risk","267","TPR Job Group 2","30000","81000","Adviser","2","Operational Research","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts67"
"Department for Work and Pensions","The Pensions Regulator","Risk","267","TPR Job Group 3","20276","43645","Adviser","1","Operational Research","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts68"
"Department for Work and Pensions","The Pensions Regulator","Employer Compliance","271","TPR Job Group 3","20276","43645","Adviser","3.6","Human resources","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts69"
"Department for Work and Pensions","The Pensions Regulator","Employer Compliance","203","TPR Job Group 3","20276","43645","PA","1","Operational delivery","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts70"
"Department for Work and Pensions","The Pensions Regulator","Employer Compliance","268","TPR Job Group 2","30000","81000","Manager","1","Finance","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts71"
"Department for Work and Pensions","The Pensions Regulator","Employer Compliance","268","TPR Job Group 3","20276","43645","Adviser","2","Finance","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts72"
"Department for Work and Pensions","The Pensions Regulator","Employer Compliance","208","TPR Job Group 2","30000","81000","Lawyer","3","Law","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts73"
"Department for Work and Pensions","The Pensions Regulator","Employer Compliance","257","TPR Job Group 2","30000","81000","Policy Specialist","2.6","Policy","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts74"
"Department for Work and Pensions","The Pensions Regulator","Employer Compliance","269","TPR Job Group 3","20276","43645","Adviser","1","Procurement","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts75"
"Department for Work and Pensions","The Pensions Regulator","Employer Compliance","203","TPR Job Group 3","20276","43645","Adviser","3","Programme and Project Management (PPM)","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts76"
"Department for Work and Pensions","The Pensions Regulator","Employer Compliance","204","TPR Job Group 2","30000","81000","Project Manager","2","Communications","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts77"
"Department for Work and Pensions","The Pensions Regulator","Employer Compliance","204","TPR Job Group 3","20276","43645","Adviser","5","Communications","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts78"
"Department for Work and Pensions","The Pensions Regulator","Employer Compliance","204","TPR Job Group 2","30000","81000","Adviser","1","Communications","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts79"
"Department for Work and Pensions","The Pensions Regulator","Employer Compliance","252","TPR Job Group 2","30000","81000","Business Analyst","3","Operational delivery","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts80"
"Department for Work and Pensions","The Pensions Regulator","Employer Compliance","252","TPR Job Group 2","30000","81000","Analyst","1","Operational delivery","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts81"
"Department for Work and Pensions","The Pensions Regulator","Employer Compliance","252","TPR Job Group 2","30000","81000","Manager","1","Operational delivery","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts82"
"Department for Work and Pensions","The Pensions Regulator","Employer Compliance","254","TPR Job Group 2","30000","81000","Technical Specialist","1","Information Technology","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts83"
"Department for Work and Pensions","The Pensions Regulator","Employer Compliance","254","TPR Job Group 2","30000","81000","Technical Specialist","3","Operational delivery","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts84"
"Department for Work and Pensions","The Pensions Regulator","Employer Compliance","255","TPR Job Group 3","20276","43645","Adviser","2","Operational delivery","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts85"
"Department for Work and Pensions","The Pensions Regulator","Employer Compliance","257","TPR Job Group 2","30000","81000","Project Manager","1","Operational delivery","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts86"
"Department for Work and Pensions","The Pensions Regulator","Employer Compliance","257","TPR Job Group 1","51479","108000","Analyst","1","Operational delivery","/data/thepensionsregulator/2011-09-30/300911-The-Pensions-Regulator.xls.xls","juniorPosts87"
