"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Culture, Media and Sport","The Wallace Collection","Collections Department","411","H","34252","41517","Curator","2","Knowledge and Information Management (KIM)","/data/wallacecollection/2011-09-30/government-staff-and-salary-data---October-2011.xls","juniorPosts2"
"Department for Culture, Media and Sport","The Wallace Collection","Collections Department","411","H","34252","41517","Head of Conservation","1","Knowledge and Information Management (KIM)","/data/wallacecollection/2011-09-30/government-staff-and-salary-data---October-2011.xls","juniorPosts3"
"Department for Culture, Media and Sport","The Wallace Collection","Collections Department","411","G","31292","37551","Head of Learning","1","Knowledge and Information Management (KIM)","/data/wallacecollection/2011-09-30/government-staff-and-salary-data---October-2011.xls","juniorPosts4"
"Department for Culture, Media and Sport","The Wallace Collection","Collections Department","411","G","31292","37551","Curator","1.8","Knowledge and Information Management (KIM)","/data/wallacecollection/2011-09-30/government-staff-and-salary-data---October-2011.xls","juniorPosts5"
"Department for Culture, Media and Sport","The Wallace Collection","Collections Department","411","F","25987","31184","Senior Conservator","1","Knowledge and Information Management (KIM)","/data/wallacecollection/2011-09-30/government-staff-and-salary-data---October-2011.xls","juniorPosts6"
"Department for Culture, Media and Sport","The Wallace Collection","Collections Department","411","F","25987","31184","Curator","1","Knowledge and Information Management (KIM)","/data/wallacecollection/2011-09-30/government-staff-and-salary-data---October-2011.xls","juniorPosts7"
"Department for Culture, Media and Sport","The Wallace Collection","Collections Department","411","F","25987","31184","Librarian & Archivist","1","Knowledge and Information Management (KIM)","/data/wallacecollection/2011-09-30/government-staff-and-salary-data---October-2011.xls","juniorPosts8"
"Department for Culture, Media and Sport","The Wallace Collection","Collections Department","411","F","25987","31184","Learning Officer","0.6","Knowledge and Information Management (KIM)","/data/wallacecollection/2011-09-30/government-staff-and-salary-data---October-2011.xls","juniorPosts9"
"Department for Culture, Media and Sport","The Wallace Collection","Collections Department","411","F","25987","31184","Conservation Officer","0.8","Knowledge and Information Management (KIM)","/data/wallacecollection/2011-09-30/government-staff-and-salary-data---October-2011.xls","juniorPosts10"
"Department for Culture, Media and Sport","The Wallace Collection","Collections Department","411","E","21019","25961","Library Cataloguer","1","Knowledge and Information Management (KIM)","/data/wallacecollection/2011-09-30/government-staff-and-salary-data---October-2011.xls","juniorPosts11"
"Department for Culture, Media and Sport","The Wallace Collection","Collections Department","411","E","21019","25961","Conservation Officer","1","Knowledge and Information Management (KIM)","/data/wallacecollection/2011-09-30/government-staff-and-salary-data---October-2011.xls","juniorPosts12"
"Department for Culture, Media and Sport","The Wallace Collection","Collections Department","411","E","21019","25961","Conservation Technician","1","Knowledge and Information Management (KIM)","/data/wallacecollection/2011-09-30/government-staff-and-salary-data---October-2011.xls","juniorPosts13"
"Department for Culture, Media and Sport","The Wallace Collection","Collections Department","411","E","21019","25961","Learning Officer","0.6","Knowledge and Information Management (KIM)","/data/wallacecollection/2011-09-30/government-staff-and-salary-data---October-2011.xls","juniorPosts14"
"Department for Culture, Media and Sport","The Wallace Collection","Collections Department","411","F","25987","31184","Head of Collection Services","1","Knowledge and Information Management (KIM)","/data/wallacecollection/2011-09-30/government-staff-and-salary-data---October-2011.xls","juniorPosts15"
