"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Communities and Local Government","Thurrock Thames Gateway Development Corporation","Corporate","CEO1","Professional Support","15000","35000","Executive Assistant","1","Operational delivery","/data/thurrocktgdc/2011-09-30/300911-TTGDC---Organogram---Ver-1.xls","juniorPosts2"
"Department for Communities and Local Government","Thurrock Thames Gateway Development Corporation","Resources","DIR1","Assistant Director","55000","85000","Programme Manager","1","Programme and Project Management (PPM)","/data/thurrocktgdc/2011-09-30/300911-TTGDC---Organogram---Ver-1.xls","juniorPosts3"
"Department for Communities and Local Government","Thurrock Thames Gateway Development Corporation","Resources","DIR1","Assistant Director","55000","85000","Operational Manager","1","Operational delivery","/data/thurrocktgdc/2011-09-30/300911-TTGDC---Organogram---Ver-1.xls","juniorPosts4"
"Department for Communities and Local Government","Thurrock Thames Gateway Development Corporation","Resources","DIR1","Professional Manager","35000","55000","Operational Manager","1","Operational delivery","/data/thurrocktgdc/2011-09-30/300911-TTGDC---Organogram---Ver-1.xls","juniorPosts5"
"Department for Communities and Local Government","Thurrock Thames Gateway Development Corporation","Resources","DIR1","Professional Practitioner","25000","45000","IT Manager","1","Information Technology","/data/thurrocktgdc/2011-09-30/300911-TTGDC---Organogram---Ver-1.xls","juniorPosts6"
"Department for Communities and Local Government","Thurrock Thames Gateway Development Corporation","Resources","DIR1","Professional Support","15000","35000","HR Officer","1","Operational delivery","/data/thurrocktgdc/2011-09-30/300911-TTGDC---Organogram---Ver-1.xls","juniorPosts7"
"Department for Communities and Local Government","Thurrock Thames Gateway Development Corporation","Resources","DIR1","Professional Manager","35000","55000","Finance Officer","1","Finance","/data/thurrocktgdc/2011-09-30/300911-TTGDC---Organogram---Ver-1.xls","juniorPosts8"
"Department for Communities and Local Government","Thurrock Thames Gateway Development Corporation","Resources","DIR1","Professional Practitioner","25000","45000","Finance Support Officer","1","Finance","/data/thurrocktgdc/2011-09-30/300911-TTGDC---Organogram---Ver-1.xls","juniorPosts9"
"Department for Communities and Local Government","Thurrock Thames Gateway Development Corporation","Resources","DIR1","Professional Practitioner","25000","45000","Project Support Officer","1","Programme and Project Management (PPM)","/data/thurrocktgdc/2011-09-30/300911-TTGDC---Organogram---Ver-1.xls","juniorPosts10"
"Department for Communities and Local Government","Thurrock Thames Gateway Development Corporation","Delivery","DIR2","Assistant Director","55000","85000","Programme Manager","1","Programme and Project Management (PPM)","/data/thurrocktgdc/2011-09-30/300911-TTGDC---Organogram---Ver-1.xls","juniorPosts11"
"Department for Communities and Local Government","Thurrock Thames Gateway Development Corporation","Delivery","DIR2","Assistant Director","55000","85000","Operational Manager","2","Property and Asset Management","/data/thurrocktgdc/2011-09-30/300911-TTGDC---Organogram---Ver-1.xls","juniorPosts12"
"Department for Communities and Local Government","Thurrock Thames Gateway Development Corporation","Delivery","DIR2","Professional Support","15000","35000","Executive Assistant","1","Programme and Project Management (PPM)","/data/thurrocktgdc/2011-09-30/300911-TTGDC---Organogram---Ver-1.xls","juniorPosts13"
"Department for Communities and Local Government","Thurrock Thames Gateway Development Corporation","Delivery","DIR2","Professional Practitioner","25000","45000","Project Support Officer","2","Programme and Project Management (PPM)","/data/thurrocktgdc/2011-09-30/300911-TTGDC---Organogram---Ver-1.xls","juniorPosts14"
"Department for Communities and Local Government","Thurrock Thames Gateway Development Corporation","Delivery","DIR2","Professional Practitioner","25000","45000","Communications Manager","1","Programme and Project Management (PPM)","/data/thurrocktgdc/2011-09-30/300911-TTGDC---Organogram---Ver-1.xls","juniorPosts15"
"Department for Communities and Local Government","Thurrock Thames Gateway Development Corporation","Delivery","DIR2","Professional Manager","35000","55000","Project Manager","1","Programme and Project Management (PPM)","/data/thurrocktgdc/2011-09-30/300911-TTGDC---Organogram---Ver-1.xls","juniorPosts16"
"Department for Communities and Local Government","Thurrock Thames Gateway Development Corporation","Planning","DIR3","Assistant Director","55000","85000","Operational Manager","1","Planning","/data/thurrocktgdc/2011-09-30/300911-TTGDC---Organogram---Ver-1.xls","juniorPosts17"
"Department for Communities and Local Government","Thurrock Thames Gateway Development Corporation","Planning","DIR3","Professional Manager","35000","55000","Operational Manager","5","Planning","/data/thurrocktgdc/2011-09-30/300911-TTGDC---Organogram---Ver-1.xls","juniorPosts18"
"Department for Communities and Local Government","Thurrock Thames Gateway Development Corporation","Planning","DIR3","Professional Practitioner","25000","45000","Analyst","1","Planning","/data/thurrocktgdc/2011-09-30/300911-TTGDC---Organogram---Ver-1.xls","juniorPosts19"
"Department for Communities and Local Government","Thurrock Thames Gateway Development Corporation","Planning","DIR3","Professional Support","15000","35000","Technical Support Officer","3","Planning","/data/thurrocktgdc/2011-09-30/300911-TTGDC---Organogram---Ver-1.xls","juniorPosts20"
"Department for Communities and Local Government","Thurrock Thames Gateway Development Corporation","Planning","DIR3","Professional Support","15000","35000","Executive Assistant","1","Planning","/data/thurrocktgdc/2011-09-30/300911-TTGDC---Organogram---Ver-1.xls","juniorPosts21"
