"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Education","Training and Development Agency for Schools","Chief Executive's Private Office","TDA-1000","UG7 or equivalent","49590","55376","Chief Executive's Private Office Band 5","1","Policy","/data/tda/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011-(TDA-Upload).xls","juniorPosts2"
"Department for Education","Training and Development Agency for Schools","Chief Executive's Private Office","TDA-1000","SEO/HEO or equivalent","32016","35752","Chief Executive's Private Office Band 4","1","Policy","/data/tda/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011-(TDA-Upload).xls","juniorPosts3"
"Department for Education","Training and Development Agency for Schools","Chief Executive's Private Office","TDA-1000","EO or equivalent","22052","23765","Chief Executive's Private Office Band 3","3","Policy","/data/tda/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011-(TDA-Upload).xls","juniorPosts4"
"Department for Education","Training and Development Agency for Schools","Executive Directorate for Training","TDA-2000","UG7 or equivalent","49590","55376","Executive Directorate for Training Band 5","2","Policy","/data/tda/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011-(TDA-Upload).xls","juniorPosts5"
"Department for Education","Training and Development Agency for Schools","Executive Directorate for Training","TDA-2000","SEO/HEO or equivalent","32016","35752","Executive Directorate for Training Band 4","1","Policy","/data/tda/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011-(TDA-Upload).xls","juniorPosts6"
"Department for Education","Training and Development Agency for Schools","Executive Directorate for Training","TDA-2000","EO or equivalent","22052","23765","Executive Directorate for Training Band 3","2","Policy","/data/tda/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011-(TDA-Upload).xls","juniorPosts7"
"Department for Education","Training and Development Agency for Schools","Executive Directorate for Training","TDA-2001","UG7 or equivalent","49590","55376","Training and Qualifications for Teachers Band 5","9","Policy","/data/tda/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011-(TDA-Upload).xls","juniorPosts8"
"Department for Education","Training and Development Agency for Schools","Executive Directorate for Training","TDA-2001","SEO/HEO or equivalent","32016","35752","Training and Qualifications for Teachers Band 4","11.9","Policy","/data/tda/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011-(TDA-Upload).xls","juniorPosts9"
"Department for Education","Training and Development Agency for Schools","Executive Directorate for Training","TDA-2001","EO or equivalent","22052","23765","Training and Qualifications for Teachers Band 3","13.8","Policy","/data/tda/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011-(TDA-Upload).xls","juniorPosts10"
"Department for Education","Training and Development Agency for Schools","Executive Directorate for Training","TDA-2001","AO or equivalent","17322","18294","Training and Qualifications for Teacher Band 2","3","Policy","/data/tda/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011-(TDA-Upload).xls","juniorPosts11"
