"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Transport","Transport Focus","Passenger Focus","CEO","Band A","13045","17410","Passenger Focus Assistant","1","Operational delivery","/data/passengerfocus/2011-09-30/Passenger-Focus-staff-and-salary-data---September-2011.xls","juniorPosts2"
"Department for Transport","Transport Focus","Passenger Focus","CEO","Band C","22940","35024","Passenger Focus Co-ordinator","3","Operational delivery","/data/passengerfocus/2011-09-30/Passenger-Focus-staff-and-salary-data---September-2011.xls","juniorPosts3"
"Department for Transport","Transport Focus","Passenger Focus","CEO","Band D","32804","49395","Passenger Focus Executive","1","Operational delivery","/data/passengerfocus/2011-09-30/Passenger-Focus-staff-and-salary-data---September-2011.xls","juniorPosts4"
"Department for Transport","Transport Focus","Passenger Focus","CEO","Band D","32804","49395","Passenger Focus Policy Executive","2.4","Policy","/data/passengerfocus/2011-09-30/Passenger-Focus-staff-and-salary-data---September-2011.xls","juniorPosts5"
"Department for Transport","Transport Focus","Passenger Focus","CEO","Band D","32804","49395","Passenger Focus Researcher","4","Operational Research","/data/passengerfocus/2011-09-30/Passenger-Focus-staff-and-salary-data---September-2011.xls","juniorPosts6"
"Department for Transport","Transport Focus","Passenger Focus","CEO","Band E","47109","65924","Passenger Focus Manager","7","Operational delivery","/data/passengerfocus/2011-09-30/Passenger-Focus-staff-and-salary-data---September-2011.xls","juniorPosts7"
"Department for Transport","Transport Focus","Passenger Focus","PTD2011","Band B","16339","25100","Passenger Focus Assistant","2","Operational delivery","/data/passengerfocus/2011-09-30/Passenger-Focus-staff-and-salary-data---September-2011.xls","juniorPosts8"
"Department for Transport","Transport Focus","Passenger Focus","PTD2011","Band C","22940","35024","Passenger Focus Adviser","5.56","Operational delivery","/data/passengerfocus/2011-09-30/Passenger-Focus-staff-and-salary-data---September-2011.xls","juniorPosts9"
"Department for Transport","Transport Focus","Passenger Focus","PTD2011","Band C","22940","35024","Passenger Focus Co-ordinator","4","Programme and Project Management (PPM)","/data/passengerfocus/2011-09-30/Passenger-Focus-staff-and-salary-data---September-2011.xls","juniorPosts10"
"Department for Transport","Transport Focus","Passenger Focus","PTD2011","Band D","32804","49395","Passenger Focus Executive","2","Operational delivery","/data/passengerfocus/2011-09-30/Passenger-Focus-staff-and-salary-data---September-2011.xls","juniorPosts11"
"Department for Transport","Transport Focus","Passenger Focus","PTD2011","Band E","47109","65924","Passenger Focus Manager","4","Operational delivery","/data/passengerfocus/2011-09-30/Passenger-Focus-staff-and-salary-data---September-2011.xls","juniorPosts12"
"Department for Transport","Transport Focus","Passenger Focus","RPCFD","Band C","22940","35024","Passenger Focus Co-ordinator","1.8","Finance","/data/passengerfocus/2011-09-30/Passenger-Focus-staff-and-salary-data---September-2011.xls","juniorPosts13"
"Department for Transport","Transport Focus","Passenger Focus","RPCFD","Band D","32804","49395","Passenger Focus Executive","3","Operational delivery","/data/passengerfocus/2011-09-30/Passenger-Focus-staff-and-salary-data---September-2011.xls","juniorPosts14"
"Department for Transport","Transport Focus","Passenger Focus","RPCFD","Band D","32804","49395","Passenger Focus Manager","1","Operational delivery","/data/passengerfocus/2011-09-30/Passenger-Focus-staff-and-salary-data---September-2011.xls","juniorPosts15"
