"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Treasury Solicitors","Treasury Solicitor's Department","Bona Vacantia","TS3","G6","58600","68881","Senior policy adviser","2","Policy","/data/tsol/2011-09-30/TSol-government-staff-and-salary-data---September-2011.xls","juniorPosts2"
"Treasury Solicitors","Treasury Solicitor's Department","Bona Vacantia","TS3","G7","46620","54802","Policy Adviser","7.5","Policy","/data/tsol/2011-09-30/TSol-government-staff-and-salary-data---September-2011.xls","juniorPosts3"
"Treasury Solicitors","Treasury Solicitor's Department","Bona Vacantia","TS3","SEO","34470","38784","Policy Adviser","2","Policy","/data/tsol/2011-09-30/TSol-government-staff-and-salary-data---September-2011.xls","juniorPosts4"
"Treasury Solicitors","Treasury Solicitor's Department","Bona Vacantia","TS3","HEO","28180","31714","Policy Adviser","9","Policy","/data/tsol/2011-09-30/TSol-government-staff-and-salary-data---September-2011.xls","juniorPosts5"
"Treasury Solicitors","Treasury Solicitor's Department","Bona Vacantia","TS3","EO","23890","26874","Policy Adviser","10.6","Policy","/data/tsol/2011-09-30/TSol-government-staff-and-salary-data---September-2011.xls","juniorPosts6"
"Treasury Solicitors","Treasury Solicitor's Department","Bona Vacantia","TS3","AO","20030","21541","Policy Support Officer","16","Policy","/data/tsol/2011-09-30/TSol-government-staff-and-salary-data---September-2011.xls","juniorPosts7"
"Treasury Solicitors","Treasury Solicitor's Department","Bona Vacantia","TS3","LT","23850","25845","Legal Adviser","1","Law","/data/tsol/2011-09-30/TSol-government-staff-and-salary-data---September-2011.xls","juniorPosts8"
"Treasury Solicitors","Treasury Solicitor's Department","Business Partnership","TS4","HEO","28180","31714","Policy Adviser","3","Policy","/data/tsol/2011-09-30/TSol-government-staff-and-salary-data---September-2011.xls","juniorPosts9"
"Treasury Solicitors","Treasury Solicitor's Department","Business Partnership","TS4","EO","23890","26874","Policy Adviser","2","Policy","/data/tsol/2011-09-30/TSol-government-staff-and-salary-data---September-2011.xls","juniorPosts10"
"Treasury Solicitors","Treasury Solicitor's Department","Central Advisory Division","TS10","EO","23890","26874","Legal Support Officer","1","Policy","/data/tsol/2011-09-30/TSol-government-staff-and-salary-data---September-2011.xls","juniorPosts11"
"Treasury Solicitors","Treasury Solicitor's Department","Central Advisory Division - Government Equality Office","TS7","G6","58600","68881","Senior Legal Adviser","4.16","Law","/data/tsol/2011-09-30/TSol-government-staff-and-salary-data---September-2011.xls","juniorPosts12"
"Treasury Solicitors","Treasury Solicitor's Department","Central Advisory Division - Government Equality Office","TS7","G7","46620","54802","Legal Adviser","1.21","Law","/data/tsol/2011-09-30/TSol-government-staff-and-salary-data---September-2011.xls","juniorPosts13"
"Treasury Solicitors","Treasury Solicitor's Department","Central Advisory Division - Government Equality Office","TS7","AO","20030","21541","Legal Support Officer","0.67","Policy","/data/tsol/2011-09-30/TSol-government-staff-and-salary-data---September-2011.xls","juniorPosts14"
