"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH03","Captain","47339","55886","Captain","4","Operational delivery","/data/thls/2011-09-30/DfT-Government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts2"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH03","Chief Engineer","43736","51869","Chief Engineer","4","Operational delivery","/data/thls/2011-09-30/DfT-Government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts3"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH03","Commander","41292","44476","Commander","2","Operational delivery","/data/thls/2011-09-30/DfT-Government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts4"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH03","Engineering Officer - RIV","40432","43616","Engineering Officer - RIV","2","Operational delivery","/data/thls/2011-09-30/DfT-Government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts5"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH03","Electronic Technical Officer","38430","41615","Electronic Technical Officer","4","Operational delivery","/data/thls/2011-09-30/DfT-Government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts6"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH03","First Officer","38430","41615","First Officer","4","Operational delivery","/data/thls/2011-09-30/DfT-Government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts7"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH03","Second Engineer","38430","41615","Second Engineer","4","Operational delivery","/data/thls/2011-09-30/DfT-Government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts8"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH03","Second Officer","33042","37254","Second Officer","10","Operational delivery","/data/thls/2011-09-30/DfT-Government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts9"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH03","Second Officer - RIV","34160","38370","Second Officer - RIV","4","Operational delivery","/data/thls/2011-09-30/DfT-Government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts10"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH03","Third Engineer","33042","37254","Third Engineer","2","Operational delivery","/data/thls/2011-09-30/DfT-Government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts11"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH03","Boatswain","28789","30520","Boatswain","4","Operational delivery","/data/thls/2011-09-30/DfT-Government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts12"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH03","Chief Steward","28789","30520","Chief Steward","4","Operational delivery","/data/thls/2011-09-30/DfT-Government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts13"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH03","Engine Room Assistant","28789","30520","Engine Room Assistant","4","Operational delivery","/data/thls/2011-09-30/DfT-Government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts14"
