"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Culture, Media and Sport","UK Anti-Doping","Legal","5","5","40000","49500","Blank","1","Law","/data/ukad/2011-09-30/UKAD-government-staff-and-salary-data-blank-template-_November-2011.xls","juniorPosts2"
"Department for Culture, Media and Sport","UK Anti-Doping","Legal","5","5","40000","49500","Blank","1","Knowledge and Information Management (KIM)","/data/ukad/2011-09-30/UKAD-government-staff-and-salary-data-blank-template-_November-2011.xls","juniorPosts3"
"Department for Culture, Media and Sport","UK Anti-Doping","Legal","5","4","32500","40000","Blank","1","Law","/data/ukad/2011-09-30/UKAD-government-staff-and-salary-data-blank-template-_November-2011.xls","juniorPosts4"
"Department for Culture, Media and Sport","UK Anti-Doping","Legal","5","3","27000","32500","Blank","1","Knowledge and Information Management (KIM)","/data/ukad/2011-09-30/UKAD-government-staff-and-salary-data-blank-template-_November-2011.xls","juniorPosts5"
"Department for Culture, Media and Sport","UK Anti-Doping","Legal","5","2","22500","27000","Blank","1","Law","/data/ukad/2011-09-30/UKAD-government-staff-and-salary-data-blank-template-_November-2011.xls","juniorPosts6"
"Department for Culture, Media and Sport","UK Anti-Doping","Legal","5","2","22500","27000","Blank","1","Knowledge and Information Management (KIM)","/data/ukad/2011-09-30/UKAD-government-staff-and-salary-data-blank-template-_November-2011.xls","juniorPosts7"
"Department for Culture, Media and Sport","UK Anti-Doping","Business Support","6","4","32500","40000","Blank","1","Human resources","/data/ukad/2011-09-30/UKAD-government-staff-and-salary-data-blank-template-_November-2011.xls","juniorPosts8"
"Department for Culture, Media and Sport","UK Anti-Doping","Business Support","6","4","32500","40000","Blank","1","Finance","/data/ukad/2011-09-30/UKAD-government-staff-and-salary-data-blank-template-_November-2011.xls","juniorPosts9"
"Department for Culture, Media and Sport","UK Anti-Doping","Business Support","6","4","32500","40000","Blank","1","Knowledge and Information Management (KIM)","/data/ukad/2011-09-30/UKAD-government-staff-and-salary-data-blank-template-_November-2011.xls","juniorPosts10"
"Department for Culture, Media and Sport","UK Anti-Doping","Business Support","6","4","32500","40000","Blank","1","Programme and Project Management (PPM)","/data/ukad/2011-09-30/UKAD-government-staff-and-salary-data-blank-template-_November-2011.xls","juniorPosts11"
"Department for Culture, Media and Sport","UK Anti-Doping","Business Support","6","2","22500","27000","Blank","1","Knowledge and Information Management (KIM)","/data/ukad/2011-09-30/UKAD-government-staff-and-salary-data-blank-template-_November-2011.xls","juniorPosts12"
"Department for Culture, Media and Sport","UK Anti-Doping","Business Support","6","2","22500","27000","Blank","1","Finance","/data/ukad/2011-09-30/UKAD-government-staff-and-salary-data-blank-template-_November-2011.xls","juniorPosts13"
"Department for Culture, Media and Sport","UK Anti-Doping","Business Support","6","2","22500","27000","Blank","1","Other","/data/ukad/2011-09-30/UKAD-government-staff-and-salary-data-blank-template-_November-2011.xls","juniorPosts14"
"Department for Culture, Media and Sport","UK Anti-Doping","Business Support","6","2","22500","27000","Blank","1","Other","/data/ukad/2011-09-30/UKAD-government-staff-and-salary-data-blank-template-_November-2011.xls","juniorPosts15"
"Department for Culture, Media and Sport","UK Anti-Doping","Operations","4","5","40000","49500","Blank","1","Operational delivery","/data/ukad/2011-09-30/UKAD-government-staff-and-salary-data-blank-template-_November-2011.xls","juniorPosts16"
"Department for Culture, Media and Sport","UK Anti-Doping","Operations","4","4","32500","40000","Blank","1","Operational delivery","/data/ukad/2011-09-30/UKAD-government-staff-and-salary-data-blank-template-_November-2011.xls","juniorPosts17"
"Department for Culture, Media and Sport","UK Anti-Doping","Operations","4","3","27000","32500","Blank","2","Operational delivery","/data/ukad/2011-09-30/UKAD-government-staff-and-salary-data-blank-template-_November-2011.xls","juniorPosts18"
"Department for Culture, Media and Sport","UK Anti-Doping","Operations","4","3","27000","32500","Blank","1","Operational delivery","/data/ukad/2011-09-30/UKAD-government-staff-and-salary-data-blank-template-_November-2011.xls","juniorPosts19"
"Department for Culture, Media and Sport","UK Anti-Doping","Operations","4","2","22500","27000","Blank","2","Operational Research","/data/ukad/2011-09-30/UKAD-government-staff-and-salary-data-blank-template-_November-2011.xls","juniorPosts20"
"Department for Culture, Media and Sport","UK Anti-Doping","Operations","4","5","40000","49500","Blank","1","Operational delivery","/data/ukad/2011-09-30/UKAD-government-staff-and-salary-data-blank-template-_November-2011.xls","juniorPosts21"
"Department for Culture, Media and Sport","UK Anti-Doping","Operations","4","3","27000","32500","Blank","1","Operational delivery","/data/ukad/2011-09-30/UKAD-government-staff-and-salary-data-blank-template-_November-2011.xls","juniorPosts22"
"Department for Culture, Media and Sport","UK Anti-Doping","Operations","4","3","27000","32500","Blank","1","Operational delivery","/data/ukad/2011-09-30/UKAD-government-staff-and-salary-data-blank-template-_November-2011.xls","juniorPosts23"
"Department for Culture, Media and Sport","UK Anti-Doping","Operations","4","1","19000","21000","Blank","1","Operational delivery","/data/ukad/2011-09-30/UKAD-government-staff-and-salary-data-blank-template-_November-2011.xls","juniorPosts24"
"Department for Culture, Media and Sport","UK Anti-Doping","Operations","4","5","40000","49500","Blank","1","Operational delivery","/data/ukad/2011-09-30/UKAD-government-staff-and-salary-data-blank-template-_November-2011.xls","juniorPosts25"
"Department for Culture, Media and Sport","UK Anti-Doping","Operations","4","4","32500","40000","Blank","1","Operational delivery","/data/ukad/2011-09-30/UKAD-government-staff-and-salary-data-blank-template-_November-2011.xls","juniorPosts26"
"Department for Culture, Media and Sport","UK Anti-Doping","Operations","4","3","27000","32500","Blank","1","Operational delivery","/data/ukad/2011-09-30/UKAD-government-staff-and-salary-data-blank-template-_November-2011.xls","juniorPosts27"
"Department for Culture, Media and Sport","UK Anti-Doping","Operations","4","3","27000","32500","Blank","4","Operational delivery","/data/ukad/2011-09-30/UKAD-government-staff-and-salary-data-blank-template-_November-2011.xls","juniorPosts28"
