"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Home Office","UK Border Agency","Complaints Improvement Directorate","1UKBA22","Grade 6","54705","67699","senior operational manager","4","Human Resources","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---UKBA.xls","juniorPosts2"
"Home Office","UK Border Agency","Complaints Improvement Directorate","1UKBA22","Grade 7","44656","55264","Business Manager","9.73","Human Resources","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---UKBA.xls","juniorPosts3"
"Home Office","UK Border Agency","Complaints Improvement Directorate","1UKBA22","SEO","32602","37964","Programme Manager","26.64","Human Resources","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---UKBA.xls","juniorPosts4"
"Home Office","UK Border Agency","Complaints Improvement Directorate","1UKBA22","HEO","25297","29757","Office Manager","25","Human Resources","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---UKBA.xls","juniorPosts5"
"Home Office","UK Border Agency","Complaints Improvement Directorate","1UKBA22","CIO","25816","31306","Operational manager","3.8","Human Resources","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---UKBA.xls","juniorPosts6"
"Home Office","UK Border Agency","Complaints Improvement Directorate","1UKBA22","EO","20235","23802","Office Manager","32.7","Human Resources","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---UKBA.xls","juniorPosts7"
"Home Office","UK Border Agency","Complaints Improvement Directorate","1UKBA22","IO","21505","26079","Programme Support Officer","1.6","Human Resources","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---UKBA.xls","juniorPosts8"
"Home Office","UK Border Agency","Complaints Improvement Directorate","1UKBA22","AO","15386","17377","Operations Support Officer","53.94","Human Resources","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---UKBA.xls","juniorPosts9"
"Home Office","UK Border Agency","Complaints Improvement Directorate","1UKBA22","AA","14043","14774","Operations Support Officer","31.21","Human Resources","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---UKBA.xls","juniorPosts10"
"Home Office","UK Border Agency","People and Organisational Development","1UKBA35","Grade 6","54705","67699","Senior HR Manager","3.82","Human Resources","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---UKBA.xls","juniorPosts11"
"Home Office","UK Border Agency","People and Organisational Development","1UKBA35","Grade 7","44656","55264","Senior HR Manager","11.63","Human Resources","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---UKBA.xls","juniorPosts12"
"Home Office","UK Border Agency","People and Organisational Development","1UKBA35","SEO","32602","37964","Human Resources Officer","23","Human Resources","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---UKBA.xls","juniorPosts13"
"Home Office","UK Border Agency","People and Organisational Development","1UKBA35","HEO","25297","29757","Human Resources Officer","8.2","Human Resources","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---UKBA.xls","juniorPosts14"
"Home Office","UK Border Agency","People and Organisational Development","1UKBA35","EO","20235","23802","Human Resources Officer","9.23","Human Resources","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---UKBA.xls","juniorPosts15"
"Home Office","UK Border Agency","People and Organisational Development","1UKBA35","AO","15386","17377","Human Resources Support Officer","6.52","Human Resources","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---UKBA.xls","juniorPosts16"
"Home Office","UK Border Agency","Human Resources and Organisational Development","2UKBA04","SEO","32602","37964","Office Manager","1","Human Resources","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---UKBA.xls","juniorPosts17"
"Home Office","UK Border Agency","Human Resources and Organisational Development","2UKBA04","HEO","25297","29757","Office Manager","1","Human Resources","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---UKBA.xls","juniorPosts18"
"Home Office","UK Border Agency","Human Resources and Organisational Development","2UKBA04","SPS","20753","24662","diary manager","1","Human Resources","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---UKBA.xls","juniorPosts19"
"Home Office","UK Border Agency","Human Resources","1UKBA11","Grade 6","54705","67699","Senior Human Resources Manager","5.86","Human Resources","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---UKBA.xls","juniorPosts20"
"Home Office","UK Border Agency","Human Resources","1UKBA11","Grade 7","44656","55264","Senior Human Resources Manager","14.64","Human Resources","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---UKBA.xls","juniorPosts21"
"Home Office","UK Border Agency","Human Resources","1UKBA11","SEO","32602","37964","Human Resources Officer","30.94","Human Resources","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---UKBA.xls","juniorPosts22"
"Home Office","UK Border Agency","Human Resources","1UKBA11","HEO","25297","29757","Human Resources Officer","49.34","Human Resources","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---UKBA.xls","juniorPosts23"
"Home Office","UK Border Agency","Human Resources","1UKBA11","EO","20235","23802","Human Resources Officer","21.67","Human Resources","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---UKBA.xls","juniorPosts24"
"Home Office","UK Border Agency","Human Resources","1UKBA11","AO","15386","17377","Human Resources Support Officer","12.4","Human Resources","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---UKBA.xls","juniorPosts25"
"Home Office","UK Border Agency","Human Resources","1UKBA11","AA","14043","14774","Human Resources Support Officer","2.33","Human Resources","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---UKBA.xls","juniorPosts26"
"Home Office","UK Border Agency","Criminal Detention Group Private Office","2UKBA13","Grade 7","44656","55264","Operational manager","1","Operational Delivery","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---UKBA.xls","juniorPosts27"
"Home Office","UK Border Agency","Criminal Detention Group Private Office","2UKBA13","HEO","25297","29757","Operational manager","1","Operational Delivery","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---UKBA.xls","juniorPosts28"
"Home Office","UK Border Agency","Criminal Detention Group Private Office","2UKBA13","EO","20235","23802","Operations Support Officer","2","Operational Delivery","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---UKBA.xls","juniorPosts29"
