"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Business Innovation and Skills","UK Commission for Employment and Skills","Project Delivery","CEO1","Band 3","48000","69000","Assistant Director","1","Programme and Project Management (PPM)","/data/ukces/2011-09-30/UKCES-Organogram-as-at-30-September-V2-2011.xls","juniorPosts2"
"Department for Business Innovation and Skills","UK Commission for Employment and Skills","Project Delivery","CEO1","Band 4","36000","54000","Senior Manager","2","Programme and Project Management (PPM)","/data/ukces/2011-09-30/UKCES-Organogram-as-at-30-September-V2-2011.xls","juniorPosts3"
"Department for Business Innovation and Skills","UK Commission for Employment and Skills","Project Delivery","CEO1","Band 6","21000","32000","Co-ordinator","3","Programme and Project Management (PPM)","/data/ukces/2011-09-30/UKCES-Organogram-as-at-30-September-V2-2011.xls","juniorPosts4"
"Department for Business Innovation and Skills","UK Commission for Employment and Skills","Project Delivery","DDPDP3","Band 3","48000","69000","Assistant Director","1","Programme and Project Management (PPM)","/data/ukces/2011-09-30/UKCES-Organogram-as-at-30-September-V2-2011.xls","juniorPosts5"
"Department for Business Innovation and Skills","UK Commission for Employment and Skills","Project Delivery","DDPDP3","Band 4","36000","54000","Senior Manager","2","Programme and Project Management (PPM)","/data/ukces/2011-09-30/UKCES-Organogram-as-at-30-September-V2-2011.xls","juniorPosts6"
"Department for Business Innovation and Skills","UK Commission for Employment and Skills","Project Delivery","DDPDP3","Band 5","27000","41000","Manager","2","Programme and Project Management (PPM)","/data/ukces/2011-09-30/UKCES-Organogram-as-at-30-September-V2-2011.xls","juniorPosts7"
"Department for Business Innovation and Skills","UK Commission for Employment and Skills","Project Delivery","DDPDP3","Band 7","16000","25000","Officer","1","Programme and Project Management (PPM)","/data/ukces/2011-09-30/UKCES-Organogram-as-at-30-September-V2-2011.xls","juniorPosts8"
"Department for Business Innovation and Skills","UK Commission for Employment and Skills","Project Delivery","DDRTP1","Band 3","48000","69000","Assistant Director","1","Programme and Project Management (PPM)","/data/ukces/2011-09-30/UKCES-Organogram-as-at-30-September-V2-2011.xls","juniorPosts9"
"Department for Business Innovation and Skills","UK Commission for Employment and Skills","Project Delivery","EDBS","Band 5","27000","41000","Manager","1","Programme and Project Management (PPM)","/data/ukces/2011-09-30/UKCES-Organogram-as-at-30-September-V2-2011.xls","juniorPosts10"
"Department for Business Innovation and Skills","UK Commission for Employment and Skills","Project Delivery","EDPDP2","Band 3","48000","69000","Assistant Director","1","Programme and Project Management (PPM)","/data/ukces/2011-09-30/UKCES-Organogram-as-at-30-September-V2-2011.xls","juniorPosts11"
"Department for Business Innovation and Skills","UK Commission for Employment and Skills","Project Delivery","EDPDP2","Band 4","36000","54000","Senior Manager","2","Programme and Project Management (PPM)","/data/ukces/2011-09-30/UKCES-Organogram-as-at-30-September-V2-2011.xls","juniorPosts12"
