"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Culture, Media and Sport","UK Sport","Corporate Development","J4","1","19000","22000","Receptionist","1.9","Operational delivery","/data/uksport/2011-09-30/government-staff-and-salary-data---UK-Sport,-October-2011-(Final).xls","juniorPosts2"
"Department for Culture, Media and Sport","UK Sport","Corporate Development","J4","2","22501","27000","Legal Support Officer","0.5","Law","/data/uksport/2011-09-30/government-staff-and-salary-data---UK-Sport,-October-2011-(Final).xls","juniorPosts3"
"Department for Culture, Media and Sport","UK Sport","Corporate Development","J4","2","22501","27000","HR support officer","0.33","Human resources","/data/uksport/2011-09-30/government-staff-and-salary-data---UK-Sport,-October-2011-(Final).xls","juniorPosts4"
"Department for Culture, Media and Sport","UK Sport","Corporate Development","J4","2","22501","27000","IT Support Officer","1","Information Technology","/data/uksport/2011-09-30/government-staff-and-salary-data---UK-Sport,-October-2011-(Final).xls","juniorPosts5"
"Department for Culture, Media and Sport","UK Sport","Corporate Development","J4","2","22501","27000","Policy Support Officer","0.81","Policy","/data/uksport/2011-09-30/government-staff-and-salary-data---UK-Sport,-October-2011-(Final).xls","juniorPosts6"
"Department for Culture, Media and Sport","UK Sport","Corporate Development","J4","3","27001","32500","Operations Support Officer","1","Operational delivery","/data/uksport/2011-09-30/government-staff-and-salary-data---UK-Sport,-October-2011-(Final).xls","juniorPosts7"
"Department for Culture, Media and Sport","UK Sport","Corporate Development","J4","3","27001","32500","HR Officer","1.67","Human resources","/data/uksport/2011-09-30/government-staff-and-salary-data---UK-Sport,-October-2011-(Final).xls","juniorPosts8"
"Department for Culture, Media and Sport","UK Sport","Corporate Development","J4","3","27001","32500","Executive Assistant","1","Operational delivery","/data/uksport/2011-09-30/government-staff-and-salary-data---UK-Sport,-October-2011-(Final).xls","juniorPosts9"
"Department for Culture, Media and Sport","UK Sport","Corporate Development","J4","4","32501","40000","Office Manager","0.86","Operational delivery","/data/uksport/2011-09-30/government-staff-and-salary-data---UK-Sport,-October-2011-(Final).xls","juniorPosts10"
"Department for Culture, Media and Sport","UK Sport","Corporate Development","J4","4","32501","40000","Programme Manager","1","Programme and Project Management (PPM)","/data/uksport/2011-09-30/government-staff-and-salary-data---UK-Sport,-October-2011-(Final).xls","juniorPosts11"
"Department for Culture, Media and Sport","UK Sport","Corporate Development","J4","4","32501","40000","Policy Adviser","1.7","Policy","/data/uksport/2011-09-30/government-staff-and-salary-data---UK-Sport,-October-2011-(Final).xls","juniorPosts12"
