"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"The Supreme Court","UK Supreme Court","UK Supreme Court","1","Ab","55587","74766","Registrar","1","Law","/data/supremecourt/2011-03-31/government-staff-and-salary-data---March-2011---The-Supreme-Court.xls","juniorPosts2"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","Ab","55587","74766","senior finance manager","1","Finance","/data/supremecourt/2011-03-31/government-staff-and-salary-data---March-2011---The-Supreme-Court.xls","juniorPosts3"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","Aa","53059","71368","Judicial Assistant","0.47","Law","/data/supremecourt/2011-03-31/government-staff-and-salary-data---March-2011---The-Supreme-Court.xls","juniorPosts4"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","A","50534","67969","Senior Communications Manager","1","Communications","/data/supremecourt/2011-03-31/government-staff-and-salary-data---March-2011---The-Supreme-Court.xls","juniorPosts5"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","A","50534","67969","Building and Health and Safety Manager","1","Operational Delivery","/data/supremecourt/2011-03-31/government-staff-and-salary-data---March-2011---The-Supreme-Court.xls","juniorPosts6"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","A","50534","67969","Senior HR Manager","1","Human Resources","/data/supremecourt/2011-03-31/government-staff-and-salary-data---March-2011---The-Supreme-Court.xls","juniorPosts7"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","A","50534","67969","Records Manager","1","Knowledge and Information Management (KIM)","/data/supremecourt/2011-03-31/government-staff-and-salary-data---March-2011---The-Supreme-Court.xls","juniorPosts8"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","B","35188","44964","Communications Manager","1","Communications","/data/supremecourt/2011-03-31/government-staff-and-salary-data---March-2011---The-Supreme-Court.xls","juniorPosts9"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","B","35188","44964","Librarian","1","Operational Delivery","/data/supremecourt/2011-03-31/government-staff-and-salary-data---March-2011---The-Supreme-Court.xls","juniorPosts10"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","B","35188","44964","Judicial Assistant","7","Law","/data/supremecourt/2011-03-31/government-staff-and-salary-data---March-2011---The-Supreme-Court.xls","juniorPosts11"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","B","35188","44964","Registry Administrator","1","Operational Delivery","/data/supremecourt/2011-03-31/government-staff-and-salary-data---March-2011---The-Supreme-Court.xls","juniorPosts12"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","C","29495","36061","Costs Clerk","1","Operational Delivery","/data/supremecourt/2011-03-31/government-staff-and-salary-data---March-2011---The-Supreme-Court.xls","juniorPosts13"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","C","29495","36061","Events Manager","1","Operational Delivery","/data/supremecourt/2011-03-31/government-staff-and-salary-data---March-2011---The-Supreme-Court.xls","juniorPosts14"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","C","29495","36061","IT Manager","1","Information Technology","/data/supremecourt/2011-03-31/government-staff-and-salary-data---March-2011---The-Supreme-Court.xls","juniorPosts15"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","C","29495","36061","Listing Manager","1","Operational Delivery","/data/supremecourt/2011-03-31/government-staff-and-salary-data---March-2011---The-Supreme-Court.xls","juniorPosts16"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","C","29495","36061","Office Manager","1","Operational Delivery","/data/supremecourt/2011-03-31/government-staff-and-salary-data---March-2011---The-Supreme-Court.xls","juniorPosts17"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","C","29495","36061","Web Manager","1","Operational Delivery","/data/supremecourt/2011-03-31/government-staff-and-salary-data---March-2011---The-Supreme-Court.xls","juniorPosts18"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","C","29495","36061","Finance Officer","1","Finance","/data/supremecourt/2011-03-31/government-staff-and-salary-data---March-2011---The-Supreme-Court.xls","juniorPosts19"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","D","24007","28000","Librarian Assistant","1","Operational Delivery","/data/supremecourt/2011-03-31/government-staff-and-salary-data---March-2011---The-Supreme-Court.xls","juniorPosts20"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","D","24007","28000","Deputy Building Manager","1","Operational Delivery","/data/supremecourt/2011-03-31/government-staff-and-salary-data---March-2011---The-Supreme-Court.xls","juniorPosts21"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","D","24007","28000","Personal Assistant","7","Operational Delivery","/data/supremecourt/2011-03-31/government-staff-and-salary-data---March-2011---The-Supreme-Court.xls","juniorPosts22"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","D","24007","28000","Public Relations Officer","3.6","Operational Delivery","/data/supremecourt/2011-03-31/government-staff-and-salary-data---March-2011---The-Supreme-Court.xls","juniorPosts23"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","D","24007","28000","Registry Administrator","3","Operational Delivery","/data/supremecourt/2011-03-31/government-staff-and-salary-data---March-2011---The-Supreme-Court.xls","juniorPosts24"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","E","19135","22250","Usher","1","Operational Delivery","/data/supremecourt/2011-03-31/government-staff-and-salary-data---March-2011---The-Supreme-Court.xls","juniorPosts25"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","E","19135","22250","Finance Support Officer","1","Operational Delivery","/data/supremecourt/2011-03-31/government-staff-and-salary-data---March-2011---The-Supreme-Court.xls","juniorPosts26"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","E","19135","22250","Registry Administrator","1","Operational Delivery","/data/supremecourt/2011-03-31/government-staff-and-salary-data---March-2011---The-Supreme-Court.xls","juniorPosts27"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","F","16737","18700","Registry Administrator","1","Operational Delivery","/data/supremecourt/2011-03-31/government-staff-and-salary-data---March-2011---The-Supreme-Court.xls","juniorPosts28"
"The Supreme Court","UK Supreme Court","UK Supreme Court","2","F","16737","18700","Messenger","1","Operational Delivery","/data/supremecourt/2011-03-31/government-staff-and-salary-data---March-2011---The-Supreme-Court.xls","juniorPosts29"
"The Supreme Court","UK Supreme Court","UK Supreme Court","1","D","24007","28000","Personal Assistant to Chief Executive","1","Operational Delivery","/data/supremecourt/2011-03-31/government-staff-and-salary-data---March-2011---The-Supreme-Court.xls","juniorPosts30"
