"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Active Operations Department","14000083","Level 1","13601","21038","Admin Support","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts2"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Active Operations Department","14000083","Level 2","18005","23702","Admin Support","2","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts3"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Active Operations Department","14000083","Level 2","18005","23702","Waste Management","6","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts4"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Active Operations Department","14000083","Level 3","21787","31104","Admin Support","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts5"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Active Operations Department","14000083","Level 3","21787","31104","Building & Civil","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts6"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Active Operations Department","14000083","Level 3","21787","31104","Engineer - Electronics","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts7"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Active Operations Department","14000083","Level 3","21787","31104","Engineer - Operations","6.5","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts8"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Active Operations Department","14000083","Level 3","21787","31104","Engineer - Technician Electrical","2","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts9"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Active Operations Department","14000083","Level 3","21787","31104","Engineer - Technician Mechanical","2","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts10"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Active Operations Department","14000083","Level 3","21787","31104","Engineer - Vacuum","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts11"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Active Operations Department","14000083","Level 3","21787","31104","Waste Management","6","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts12"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Active Operations Department","14000083","Level 4","25686","36361","Computing","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts13"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Active Operations Department","14000083","Level 4","25686","36361","Engineer - Electronics","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts14"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Active Operations Department","14000083","Level 4","25686","36361","Engineer - Operations","7.5","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts15"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Active Operations Department","14000083","Level 4","25686","36361","Engineer - Other","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts16"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Active Operations Department","14000083","Level 4","25686","36361","Engineer - Technician Electrical","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts17"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Active Operations Department","14000083","Level 4","25686","36361","Engineer - Technician Mechanical","2","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts18"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Active Operations Department","14000083","Level 4","25686","36361","Engineer - Vacuum","3.8","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts19"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Active Operations Department","14000083","Level 4","25686","36361","Finance","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts20"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Active Operations Department","14000083","Level 4","25686","36361","Planner","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts21"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Active Operations Department","14000083","Level 4","25686","36361","Waste Management","2.8","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts22"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Active Operations Department","14000083","Level 5","32338","46005","Building & Civil","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts23"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Active Operations Department","14000083","Level 5","32338","46005","Engineer - Control & Instrumentation","3","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts24"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Active Operations Department","14000083","Level 5","32338","46005","Engineer - Electrical","4","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts25"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Active Operations Department","14000083","Level 5","32338","46005","Engineer - Electronics","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts26"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Active Operations Department","14000083","Level 5","32338","46005","Engineer - Mechanical Design","2","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts27"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Active Operations Department","14000083","Level 5","32338","46005","Engineer - Operations","2.8","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts28"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Active Operations Department","14000083","Level 5","32338","46005","Engineer - Other","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts29"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Active Operations Department","14000083","Level 5","32338","46005","Engineer - Vacuum","6","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts30"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Active Operations Department","14000083","Level 5","32338","46005","Safety Health and Environment","1.61","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts31"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Active Operations Department","14000083","Level 5","32338","46005","Waste Management","4","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts32"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Active Operations Department","14000083","Level 6","40323","58698","Admin Support","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts33"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Active Operations Department","14000083","Level 6","40323","58698","Engineer - Electrical","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts34"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Active Operations Department","14000083","Level 6","40323","58698","Engineer - Mechanical Design","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts35"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Active Operations Department","14000083","Level 6","40323","58698","Engineer - Other","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts36"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Active Operations Department","14000083","Level 6","40323","58698","Engineer - Vacuum","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts37"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Active Operations Department","14000083","Level 6","40323","58698","Waste Management","2","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts38"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Assurance Division","14000000","Level 1","13601","21038","Admin Support","1.91","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts39"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Assurance Division","14000000","Level 1","13601","21038","Records Management","0.97","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts40"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Assurance Division","14000000","Level 2","18005","23702","Admin Support","1.41","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts41"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Assurance Division","14000000","Level 2","18005","23702","Records Management","3","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts42"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Assurance Division","14000000","Level 3","21787","31104","Health Physicist","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts43"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Assurance Division","14000000","Level 3","21787","31104","Records Management","1.61","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts44"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Assurance Division","14000000","Level 4","25686","36361","Computing","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts45"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Assurance Division","14000000","Level 4","25686","36361","Health Physicist","2","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts46"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Assurance Division","14000000","Level 4","25686","36361","Quality Assurance","2","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts47"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Assurance Division","14000000","Level 4","25686","36361","Records Management","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts48"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Assurance Division","14000000","Level 4","25686","36361","Safety Health and Environment","4.76","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts49"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Assurance Division","14000000","Level 5","32338","46005","Health Physicist","3","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts50"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Assurance Division","14000000","Level 5","32338","46005","Quality Assurance","5","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts51"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Assurance Division","14000000","Level 5","32338","46005","Records Management","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts52"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Assurance Division","14000000","Level 5","32338","46005","Safety Health and Environment","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts53"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Assurance Division","14000000","Level 6","40323","58698","Engineer - Electrical","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts54"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Assurance Division","14000000","Level 6","40323","58698","Health Physicist","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts55"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Assurance Division","14000000","Level 6","40323","58698","Quality Assurance","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts56"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Assurance Division","14000000","Level 6","40323","58698","Safety Health and Environment","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts57"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Assurance Division","14000000","Level 7","51546","73293","Manager","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts58"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Central Engineering Department","17000001","Level 2","18005","23702","Admin Support","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts59"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Central Engineering Department","17000001","Level 3","21787","31104","Engineer - Mechanical Design","3","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts60"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Central Engineering Department","17000001","Level 4","25686","36361","Engineer - Mechanical Analyst","3","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts61"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Central Engineering Department","17000001","Level 4","25686","36361","Engineer - Mechanical Design","3","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts62"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Central Engineering Department","17000001","Level 4","25686","36361","Physicist - Theoretical / Modelling","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts63"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Central Engineering Department","17000001","Level 5","32338","46005","Engineer - Mechanical Analyst","6","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts64"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Central Engineering Department","17000001","Level 5","32338","46005","Engineer - Mechanical Design","11.61","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts65"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Central Engineering Department","17000001","Level 5","32338","46005","Engineer - Technician Mechanical","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts66"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Central Engineering Department","17000001","Level 6","40323","58698","Engineer - CAD Designer","4","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts67"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Central Engineering Department","17000001","Level 6","40323","58698","Engineer - Mechanical Analyst","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts68"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Central Engineering Department","17000001","Level 6","40323","58698","Engineer - Mechanical Design","4.41","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts69"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Central Engineering Department","17000001","Level 6","40323","58698","Engineer - Other","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts70"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Central Engineering Department","17000001","Level 7","51546","73293","Manager","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts71"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","CODAS and IT Department","17000002","Level 2","18005","23702","Admin Support","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts72"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","CODAS and IT Department","17000002","Level 2","18005","23702","Trainee / Apprentice","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts73"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","CODAS and IT Department","17000002","Level 3","21787","31104","Computing","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts74"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","CODAS and IT Department","17000002","Level 3","21787","31104","Instrument Technician","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts75"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","CODAS and IT Department","17000002","Level 4","25686","36361","Computing","10","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts76"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","CODAS and IT Department","17000002","Level 4","25686","36361","Engineer - CAD Designer","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts77"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","CODAS and IT Department","17000002","Level 4","25686","36361","Engineer - Software","0.5","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts78"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","CODAS and IT Department","17000002","Level 5","32338","46005","Engineer - Control & Instrumentation","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts79"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","CODAS and IT Department","17000002","Level 5","32338","46005","Engineer - Electronics","3","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts80"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","CODAS and IT Department","17000002","Level 5","32338","46005","Engineer - Software","4","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts81"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","CODAS and IT Department","17000002","Level 6","40323","58698","Computing","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts82"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","CODAS and IT Department","17000002","Level 6","40323","58698","Engineer - Control & Instrumentation","2","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts83"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","CODAS and IT Department","17000002","Level 6","40323","58698","Engineer - Electronics","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts84"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","CODAS and IT Department","17000002","Level 6","40323","58698","Engineer - Software","4","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts85"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","CODAS and IT Department","17000002","Level 7","51546","73293","Manager","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts86"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Directorate","17000003","Level 2","18005","23702","Admin Support","2","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts87"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Directorate","17000003","Level 3","21787","31104","Admin Support","1.58","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts88"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Directorate","17000003","Level 3","21787","31104","Pubic Relations","0.78","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts89"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Directorate","17000003","Level 5","32338","46005","Admin Support","2","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts90"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Directorate","17000003","Level 5","32338","46005","Pubic Relations","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts91"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Directorate","17000003","Level 6","40323","58698","Pubic Relations","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts92"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Directorate","17000003","Level 7","51546","73293","Engineer - Mechanical Design","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts93"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Engineering Implementation Department","17000001","Apprentice / Trainee","9946","14340","Trainee / Apprentice","13","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts94"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Engineering Implementation Department","17000001","Level 1","13601","21038","Engineer - Technician Mechanical","1","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts95"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Engineering Implementation Department","17000001","Level 2","18005","23702","Admin Support","1.73","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts96"
"Department for Business Innovation and Skills","United Kingdom Atomic Energy Authority","Engineering Implementation Department","17000001","Level 2","18005","23702","Engineer - Technician Mechanical","2","Science and Engineering","/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls","juniorPosts97"
