"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Ministry of Defence","United Kingdom Hydrographic Office","Commercial","60000381","HEO (UKHO B2)","29712","35285","(T) Procurement Secondment","1","Procurement","/data/ukho/2014-03-31/31032014-UKHO-Organogram-V1.0.xls","juniorPosts2"
"Ministry of Defence","United Kingdom Hydrographic Office","Commercial","60000381","SEO (UKHO B1)","37935","41793","Account Executive","2","Communications","/data/ukho/2014-03-31/31032014-UKHO-Organogram-V1.0.xls","juniorPosts3"
"Ministry of Defence","United Kingdom Hydrographic Office","Commercial","60000381","UG7 (UKHO C2)","47935","54049","Account Manager","2","Communications","/data/ukho/2014-03-31/31032014-UKHO-Organogram-V1.0.xls","juniorPosts4"
"Ministry of Defence","United Kingdom Hydrographic Office","Commercial","60000381","HEO (UKHO B2)","29712","35285","Accounts Support Officer","1","Communications","/data/ukho/2014-03-31/31032014-UKHO-Organogram-V1.0.xls","juniorPosts5"
"Ministry of Defence","United Kingdom Hydrographic Office","Commercial","60000381","UG6 (UKHO C1)","60064","66270","Admiralty Asia Sales","1","Communications","/data/ukho/2014-03-31/31032014-UKHO-Organogram-V1.0.xls","juniorPosts6"
"Ministry of Defence","United Kingdom Hydrographic Office","Commercial","60000381","UG7 (UKHO C2)","47935","54049","ADS Data and Test Manager","1","Communications","/data/ukho/2014-03-31/31032014-UKHO-Organogram-V1.0.xls","juniorPosts7"
"Ministry of Defence","United Kingdom Hydrographic Office","Commercial","60000381","UG7 (UKHO C2)","47935","54049","Brand Proposition Manager","1","Communications","/data/ukho/2014-03-31/31032014-UKHO-Organogram-V1.0.xls","juniorPosts8"
"Ministry of Defence","United Kingdom Hydrographic Office","Commercial","60000381","SEO (UKHO B1)","37935","41793","Business Change Manager","1","Communications","/data/ukho/2014-03-31/31032014-UKHO-Organogram-V1.0.xls","juniorPosts9"
"Ministry of Defence","United Kingdom Hydrographic Office","Commercial","60000381","EO (UKHO B3)","23680","28124","Buyer","1.65","Procurement","/data/ukho/2014-03-31/31032014-UKHO-Organogram-V1.0.xls","juniorPosts10"
"Ministry of Defence","United Kingdom Hydrographic Office","Commercial","60000381","HEO (UKHO B2)","29712","35285","Buyer","1.82","Procurement","/data/ukho/2014-03-31/31032014-UKHO-Organogram-V1.0.xls","juniorPosts11"
"Ministry of Defence","United Kingdom Hydrographic Office","Commercial","60000381","SEO (UKHO B1)","37935","41793","Buyer","2","Procurement","/data/ukho/2014-03-31/31032014-UKHO-Organogram-V1.0.xls","juniorPosts12"
"Ministry of Defence","United Kingdom Hydrographic Office","Commercial","60000381","UG6 (UKHO C1)","60064","66270","C&F Programme Manager","1","Communications","/data/ukho/2014-03-31/31032014-UKHO-Organogram-V1.0.xls","juniorPosts13"
"Ministry of Defence","United Kingdom Hydrographic Office","Commercial","60000381","UG7 (UKHO C2)","47935","54049","Category Manager","1","Procurement","/data/ukho/2014-03-31/31032014-UKHO-Organogram-V1.0.xls","juniorPosts14"
"Ministry of Defence","United Kingdom Hydrographic Office","Commercial","60000381","UG7 (UKHO C2)","47935","54049","Channel Management Distribution","1","Communications","/data/ukho/2014-03-31/31032014-UKHO-Organogram-V1.0.xls","juniorPosts15"
"Ministry of Defence","United Kingdom Hydrographic Office","Commercial","60000381","HEO (UKHO B2)","29712","35285","Channel Marketing Executive","1","Communications","/data/ukho/2014-03-31/31032014-UKHO-Organogram-V1.0.xls","juniorPosts16"
"Ministry of Defence","United Kingdom Hydrographic Office","Commercial","60000381","HEO (UKHO B2)","29712","35285","Commercial Programme Change Manager","1","Communications","/data/ukho/2014-03-31/31032014-UKHO-Organogram-V1.0.xls","juniorPosts17"
"Ministry of Defence","United Kingdom Hydrographic Office","Commercial","60000381","HEO (UKHO B2)","29712","35285","Commerial Planning Officer","1","Communications","/data/ukho/2014-03-31/31032014-UKHO-Organogram-V1.0.xls","juniorPosts18"
"Ministry of Defence","United Kingdom Hydrographic Office","Commercial","60000381","HEO (UKHO B2)","29712","35285","CS Business Support Manager","1","Communications","/data/ukho/2014-03-31/31032014-UKHO-Organogram-V1.0.xls","juniorPosts19"
"Ministry of Defence","United Kingdom Hydrographic Office","Commercial","60000381","SEO (UKHO B1)","37935","41793","CS Resource Manager","1","Communications","/data/ukho/2014-03-31/31032014-UKHO-Organogram-V1.0.xls","juniorPosts20"
"Ministry of Defence","United Kingdom Hydrographic Office","Commercial","60000381","AO (UKHO A1)","17630","21517","Customer Service Administrator","6","Communications","/data/ukho/2014-03-31/31032014-UKHO-Organogram-V1.0.xls","juniorPosts21"
"Ministry of Defence","United Kingdom Hydrographic Office","Commercial","60000381","EO (UKHO B3)","23680","28124","Customer Service Analyst","17.49","Communications","/data/ukho/2014-03-31/31032014-UKHO-Organogram-V1.0.xls","juniorPosts22"
"Ministry of Defence","United Kingdom Hydrographic Office","Commercial","60000381","HEO (UKHO B2)","29712","35285","Customer Service Incident Manager","1","Communications","/data/ukho/2014-03-31/31032014-UKHO-Organogram-V1.0.xls","juniorPosts23"
"Ministry of Defence","United Kingdom Hydrographic Office","Commercial","60000381","UG7 (UKHO C2)","47935","54049","Customer Service Manager","1","Communications","/data/ukho/2014-03-31/31032014-UKHO-Organogram-V1.0.xls","juniorPosts24"
"Ministry of Defence","United Kingdom Hydrographic Office","Commercial","60000381","HEO (UKHO B2)","29712","35285","Customer Services Operations Manager","1","Communications","/data/ukho/2014-03-31/31032014-UKHO-Organogram-V1.0.xls","juniorPosts25"
"Ministry of Defence","United Kingdom Hydrographic Office","Commercial","60000381","SEO (UKHO B1)","37935","41793","Embark Secondment","1","Operational Delivery","/data/ukho/2014-03-31/31032014-UKHO-Organogram-V1.0.xls","juniorPosts26"
"Ministry of Defence","United Kingdom Hydrographic Office","Commercial","60000381","UG6 (UKHO C1)","60064","66270","Head of Business Dev & Tech Support","1","Communications","/data/ukho/2014-03-31/31032014-UKHO-Organogram-V1.0.xls","juniorPosts27"
"Ministry of Defence","United Kingdom Hydrographic Office","Commercial","60000381","UG6 (UKHO C1)","60064","66270","Head of Procurement","2","Procurement","/data/ukho/2014-03-31/31032014-UKHO-Organogram-V1.0.xls","juniorPosts28"
