"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Ministry of Defence","United Kingdom Hydrographic Office","Finance","60000381","SEO (UKHO B1)","38125","43900","Accommodation Manager","1","Operational Delivery","/data/ukho/2015-03-31/20150425-UKHO-Organogram-V1.xls","juniorPosts2"
"Ministry of Defence","United Kingdom Hydrographic Office","Commercial","60003822","SEO (UKHO B1)","38125","43900","Account Executive","3","Communications","/data/ukho/2015-03-31/20150425-UKHO-Organogram-V1.xls","juniorPosts3"
"Ministry of Defence","United Kingdom Hydrographic Office","Commercial","60003822","UG7 (UKHO C2)","48175","55655","Account Manager","2","Communications","/data/ukho/2015-03-31/20150425-UKHO-Organogram-V1.xls","juniorPosts4"
"Ministry of Defence","United Kingdom Hydrographic Office","Finance","60000381","EO (UKHO B3)","23917","28217","Accounts Payable / Receivable Manager","3.27","Finance","/data/ukho/2015-03-31/20150425-UKHO-Organogram-V1.xls","juniorPosts5"
"Ministry of Defence","United Kingdom Hydrographic Office","Technology","60007628","AO (UKHO A1)","17719","20363","Admin Support","1","Information Technology","/data/ukho/2015-03-31/20150425-UKHO-Organogram-V1.xls","juniorPosts6"
"Ministry of Defence","United Kingdom Hydrographic Office","Operations","60006893","HEO (UKHO B2)","29861","34036","Admiralty Information Overlay Manager","1","Operational Delivery","/data/ukho/2015-03-31/20150425-UKHO-Organogram-V1.xls","juniorPosts7"
"Ministry of Defence","United Kingdom Hydrographic Office","Commercial","60003822","UG7 (UKHO C2)","48175","55655","ADS Data and Test Manager","1","Communications","/data/ukho/2015-03-31/20150425-UKHO-Organogram-V1.xls","juniorPosts8"
"Ministry of Defence","United Kingdom Hydrographic Office","Technology","60007628","SEO (UKHO B1)","38125","43900","ADS Tech Support Lead","1","Information Technology","/data/ukho/2015-03-31/20150425-UKHO-Organogram-V1.xls","juniorPosts9"
"Ministry of Defence","United Kingdom Hydrographic Office","Operations","60006893","EO (UKHO B3)","23917","28217","AIO Team Leader","2.86","Operational Delivery","/data/ukho/2015-03-31/20150425-UKHO-Organogram-V1.xls","juniorPosts10"
"Ministry of Defence","United Kingdom Hydrographic Office","National Hydrographer","60000381","HEO (UKHO B2)","29861","34036","Air & Fleet Charting Team Leader","1","Operational Delivery","/data/ukho/2015-03-31/20150425-UKHO-Organogram-V1.xls","juniorPosts11"
"Ministry of Defence","United Kingdom Hydrographic Office","Operations","60006893","EO (UKHO B3)","23917","28217","Air & Fleet Charting Team Member","4.94","Operational Delivery","/data/ukho/2015-03-31/20150425-UKHO-Organogram-V1.xls","juniorPosts12"
"Ministry of Defence","United Kingdom Hydrographic Office","Operations","60006893","SEO (UKHO B1)","38125","43900","ALRS & Lights Production Manager","1","Operational Delivery","/data/ukho/2015-03-31/20150425-UKHO-Organogram-V1.xls","juniorPosts13"
"Ministry of Defence","United Kingdom Hydrographic Office","Operations","60006893","EO (UKHO B3)","23917","28217","ALRS Editor","5.78","Operational Delivery","/data/ukho/2015-03-31/20150425-UKHO-Organogram-V1.xls","juniorPosts14"
"Ministry of Defence","United Kingdom Hydrographic Office","Operations","60006893","AO (UKHO A1)","17719","20363","ALRS Support","0.91","Operational Delivery","/data/ukho/2015-03-31/20150425-UKHO-Organogram-V1.xls","juniorPosts15"
"Ministry of Defence","United Kingdom Hydrographic Office","National Hydrographer","60000381","EO (UKHO B3)","23917","28217","AML Data Assistant","0.48","Operational Delivery","/data/ukho/2015-03-31/20150425-UKHO-Organogram-V1.xls","juniorPosts16"
"Ministry of Defence","United Kingdom Hydrographic Office","National Hydrographer","60000381","HEO (UKHO B2)","29861","34036","AML Team Leader","3","Operational Delivery","/data/ukho/2015-03-31/20150425-UKHO-Organogram-V1.xls","juniorPosts17"
