"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Transport","Vehicle Certification Agency","Vehicle Certification Agency","44","vca SPS","21525","26120","Senior Personal Secretary","1","Operational Delivery","/data/dft/2011-03-31/Final-VCA-Transparency-Return-26-May-2011.xls","juniorPosts2"
"Department for Transport","Vehicle Certification Agency","Vehicle Certification Agency","44","vca AA","14460","16775","Admin Assistant","3","Operational Delivery","/data/dft/2011-03-31/Final-VCA-Transparency-Return-26-May-2011.xls","juniorPosts3"
"Department for Transport","Vehicle Certification Agency","Vehicle Certification Agency","44","vca AO","17125","20135","Administrator","32","Operational Delivery","/data/dft/2011-03-31/Final-VCA-Transparency-Return-26-May-2011.xls","juniorPosts4"
"Department for Transport","Vehicle Certification Agency","Vehicle Certification Agency","44","vca AO","17125","20135","Finance Support Officer","4","Finance","/data/dft/2011-03-31/Final-VCA-Transparency-Return-26-May-2011.xls","juniorPosts5"
"Department for Transport","Vehicle Certification Agency","Vehicle Certification Agency","44","vca AO","17125","20135","IT Support Officer","2","Information Technology","/data/dft/2011-03-31/Final-VCA-Transparency-Return-26-May-2011.xls","juniorPosts6"
"Department for Transport","Vehicle Certification Agency","Vehicle Certification Agency","44","vca EO","21525","26120","Executive Officer","27","Operational Delivery","/data/dft/2011-03-31/Final-VCA-Transparency-Return-26-May-2011.xls","juniorPosts7"
"Department for Transport","Vehicle Certification Agency","Vehicle Certification Agency","44","vca EO","21525","26120","Finance Manager","3","Finance","/data/dft/2011-03-31/Final-VCA-Transparency-Return-26-May-2011.xls","juniorPosts8"
"Department for Transport","Vehicle Certification Agency","Vehicle Certification Agency","44","vca HEO","26780","35315","Higher Executive Officer","9","Operational Delivery","/data/dft/2011-03-31/Final-VCA-Transparency-Return-26-May-2011.xls","juniorPosts9"
"Department for Transport","Vehicle Certification Agency","Vehicle Certification Agency","44","vca HPTO","26780","35315","Engineer","26","Operational Delivery","/data/dft/2011-03-31/Final-VCA-Transparency-Return-26-May-2011.xls","juniorPosts10"
"Department for Transport","Vehicle Certification Agency","Vehicle Certification Agency","44","vca SEO","35520","43770","Senior Executive Officer","12","Operational Delivery","/data/dft/2011-03-31/Final-VCA-Transparency-Return-26-May-2011.xls","juniorPosts11"
"Department for Transport","Vehicle Certification Agency","Vehicle Certification Agency","44","vca SPTO","35520","43770","Senior Engineer","22","Operational Delivery","/data/dft/2011-03-31/Final-VCA-Transparency-Return-26-May-2011.xls","juniorPosts12"
"Department for Transport","Vehicle Certification Agency","Vehicle Certification Agency","44","vca Grade 7","44500","58170","Head of Branch","8","Operational Delivery","/data/dft/2011-03-31/Final-VCA-Transparency-Return-26-May-2011.xls","juniorPosts13"
"Department for Transport","Vehicle Certification Agency","Vehicle Certification Agency","44","vca Grade 6","58210","67335","Operational Director","1","Operational Delivery","/data/dft/2011-03-31/Final-VCA-Transparency-Return-26-May-2011.xls","juniorPosts14"
