"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Environment, Food and Rural Affairs","Veterinary Medicines Directorate","Operations Division","2","SGBII","20000","20000","Support Grade Band 2","2","Operational Delivery","/data/vmd/2011-03-31/government-staff-and-salary-VMD-template---March-2011.xls","juniorPosts2"
"Department for Environment, Food and Rural Affairs","Veterinary Medicines Directorate","Operations Division","2","AA","20000","20000","administrative Assistant","1.6","Operational Delivery","/data/vmd/2011-03-31/government-staff-and-salary-VMD-template---March-2011.xls","juniorPosts3"
"Department for Environment, Food and Rural Affairs","Veterinary Medicines Directorate","Chief Executives Office and Finance","1","AO","20000","25000","Administrative Officer","6.5","Operational Delivery","/data/vmd/2011-03-31/government-staff-and-salary-VMD-template---March-2011.xls","juniorPosts4"
"Department for Environment, Food and Rural Affairs","Veterinary Medicines Directorate","Operations Division","2","AO","20000","25000","Administrative Officer","19.4","Operational Delivery","/data/vmd/2011-03-31/government-staff-and-salary-VMD-template---March-2011.xls","juniorPosts5"
"Department for Environment, Food and Rural Affairs","Veterinary Medicines Directorate","Authorisations Division","3","AO","20000","25000","Administrative Officer","17","Operational Delivery","/data/vmd/2011-03-31/government-staff-and-salary-VMD-template---March-2011.xls","juniorPosts6"
"Department for Environment, Food and Rural Affairs","Veterinary Medicines Directorate","Operations Division","2","PS","20000","25000","Personal Secretary","1","Operational Delivery","/data/vmd/2011-03-31/government-staff-and-salary-VMD-template---March-2011.xls","juniorPosts7"
"Department for Environment, Food and Rural Affairs","Veterinary Medicines Directorate","Authorisations Division","3","PS","20000","25000","Personal Secretary","1.8","Operational Delivery","/data/vmd/2011-03-31/government-staff-and-salary-VMD-template---March-2011.xls","juniorPosts8"
"Department for Environment, Food and Rural Affairs","Veterinary Medicines Directorate","Chief Executives Office and Finance","1","EO","25000","30000","Executive Officer","3","Operational Delivery","/data/vmd/2011-03-31/government-staff-and-salary-VMD-template---March-2011.xls","juniorPosts9"
"Department for Environment, Food and Rural Affairs","Veterinary Medicines Directorate","Operations Division","2","EO","25000","30000","Executive Officer","9.95","Operational Delivery","/data/vmd/2011-03-31/government-staff-and-salary-VMD-template---March-2011.xls","juniorPosts10"
"Department for Environment, Food and Rural Affairs","Veterinary Medicines Directorate","Authorisations Division","3","EO","25000","30000","Executive Officer","9","Operational Delivery","/data/vmd/2011-03-31/government-staff-and-salary-VMD-template---March-2011.xls","juniorPosts11"
"Department for Environment, Food and Rural Affairs","Veterinary Medicines Directorate","Operations Division","2","Typing Mgr","25000","30000","Typing Manager","1","Operational Delivery","/data/vmd/2011-03-31/government-staff-and-salary-VMD-template---March-2011.xls","juniorPosts12"
"Department for Environment, Food and Rural Affairs","Veterinary Medicines Directorate","Operations Division","2","SO","25000","30000","Scientific Officer","2","Operational Delivery","/data/vmd/2011-03-31/government-staff-and-salary-VMD-template---March-2011.xls","juniorPosts13"
"Department for Environment, Food and Rural Affairs","Veterinary Medicines Directorate","Authorisations Division","3","SO","25000","30000","Scientific Officer","4.55","Operational Delivery","/data/vmd/2011-03-31/government-staff-and-salary-VMD-template---March-2011.xls","juniorPosts14"
"Department for Environment, Food and Rural Affairs","Veterinary Medicines Directorate","Chief Executives Office and Finance","1","HEO","30000","35000","Higher Executive Officer","3","Operational Delivery","/data/vmd/2011-03-31/government-staff-and-salary-VMD-template---March-2011.xls","juniorPosts15"
"Department for Environment, Food and Rural Affairs","Veterinary Medicines Directorate","Operations Division","2","HEO","30000","35000","Higher Executive Officer","6.4","Operational Delivery","/data/vmd/2011-03-31/government-staff-and-salary-VMD-template---March-2011.xls","juniorPosts16"
"Department for Environment, Food and Rural Affairs","Veterinary Medicines Directorate","Authorisations Division","3","HEO","30000","35000","Higher Executive Officer","3","Operational Delivery","/data/vmd/2011-03-31/government-staff-and-salary-VMD-template---March-2011.xls","juniorPosts17"
"Department for Environment, Food and Rural Affairs","Veterinary Medicines Directorate","Operations Division","2","HSO","30000","35000","Higher Scientific Officer","1.8","Operational Delivery","/data/vmd/2011-03-31/government-staff-and-salary-VMD-template---March-2011.xls","juniorPosts18"
"Department for Environment, Food and Rural Affairs","Veterinary Medicines Directorate","Authorisations Division","3","HSO","30000","35000","Higher Scientific Officer","6.7","Operational Delivery","/data/vmd/2011-03-31/government-staff-and-salary-VMD-template---March-2011.xls","juniorPosts19"
"Department for Environment, Food and Rural Affairs","Veterinary Medicines Directorate","Operations Division","2","SEO","35000","45000","Senior Executive Officer","7","Operational Delivery","/data/vmd/2011-03-31/government-staff-and-salary-VMD-template---March-2011.xls","juniorPosts20"
"Department for Environment, Food and Rural Affairs","Veterinary Medicines Directorate","Authorisations Division","3","SEO","35000","45000","Senior Executive Officer","1","Operational Delivery","/data/vmd/2011-03-31/government-staff-and-salary-VMD-template---March-2011.xls","juniorPosts21"
