"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Directorate","1","Band 1","53000","67000","Head of Department","1","Operational delivery","/data/vam/2011-09-30/VA-staff-and-salary-data-asat-30Sep11.xls","juniorPosts2"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Directorate","1","Band 3","35000","43000","Head of Section","2","Operational delivery","/data/vam/2011-09-30/VA-staff-and-salary-data-asat-30Sep11.xls","juniorPosts3"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Directorate","1","Band 4","29000","36000","Head of Section","2","Operational delivery","/data/vam/2011-09-30/VA-staff-and-salary-data-asat-30Sep11.xls","juniorPosts4"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Directorate","1","Band 5","24000","30000","Team Manager","8","Operational delivery","/data/vam/2011-09-30/VA-staff-and-salary-data-asat-30Sep11.xls","juniorPosts5"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Directorate","1","Band 6","20000","24000","Team Supervisor","18.75","Operational delivery","/data/vam/2011-09-30/VA-staff-and-salary-data-asat-30Sep11.xls","juniorPosts6"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Directorate","1","Band 7","17000","21000","Assistant","112.68","Operational delivery","/data/vam/2011-09-30/VA-staff-and-salary-data-asat-30Sep11.xls","juniorPosts7"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Collections & Learning","2","Band 0","band-0","band-0","Head of Collection","5.81","Operational delivery","/data/vam/2011-09-30/VA-staff-and-salary-data-asat-30Sep11.xls","juniorPosts8"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Collections & Learning","2","Band 1","53000","67000","Head of Department","3.81","Operational delivery","/data/vam/2011-09-30/VA-staff-and-salary-data-asat-30Sep11.xls","juniorPosts9"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Collections & Learning","2","Band 2","43000","53000","Various","24.3","Operational delivery","/data/vam/2011-09-30/VA-staff-and-salary-data-asat-30Sep11.xls","juniorPosts10"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Collections & Learning","2","Band 3","35000","43000","Various","15.42","Operational delivery","/data/vam/2011-09-30/VA-staff-and-salary-data-asat-30Sep11.xls","juniorPosts11"
