"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Culture, Media and Sport","Visit England","Chief Executives Office","3352","Green","19013","35708","Executive","1","Operational delivery","/data/visitengland/2011-09-30/VE-Government-staff-and-salary-data---22.11.11.xls","juniorPosts2"
"Department for Culture, Media and Sport","Visit England","VisitEngland","3352","Blue","51789","109754","Secretary to the Board","1","Operational delivery","/data/visitengland/2011-09-30/VE-Government-staff-and-salary-data---22.11.11.xls","juniorPosts3"
"Department for Culture, Media and Sport","Visit England","Marketing","2780","Green","19013","35708","Executive","17","Operational delivery","/data/visitengland/2011-09-30/VE-Government-staff-and-salary-data---22.11.11.xls","juniorPosts4"
"Department for Culture, Media and Sport","Visit England","Marketing","2780","Purple","29793","58598","Manager","9","Operational delivery","/data/visitengland/2011-09-30/VE-Government-staff-and-salary-data---22.11.11.xls","juniorPosts5"
"Department for Culture, Media and Sport","Visit England","Marketing","2780","Blue","51789","109754","Head of Department","1","Operational delivery","/data/visitengland/2011-09-30/VE-Government-staff-and-salary-data---22.11.11.xls","juniorPosts6"
"Department for Culture, Media and Sport","Visit England","Business Development","1294","Green","19013","35708","Executive","3","Operational delivery","/data/visitengland/2011-09-30/VE-Government-staff-and-salary-data---22.11.11.xls","juniorPosts7"
"Department for Culture, Media and Sport","Visit England","Business Development","1294","Purple","29793","58598","Manager","4","Operational delivery","/data/visitengland/2011-09-30/VE-Government-staff-and-salary-data---22.11.11.xls","juniorPosts8"
"Department for Culture, Media and Sport","Visit England","Business Development","1294","Blue","51789","109754","Head of Department","2","Operational delivery","/data/visitengland/2011-09-30/VE-Government-staff-and-salary-data---22.11.11.xls","juniorPosts9"
"Department for Culture, Media and Sport","Visit England","Partnerships","3431","Green","19013","35708","Executive","1","Operational delivery","/data/visitengland/2011-09-30/VE-Government-staff-and-salary-data---22.11.11.xls","juniorPosts10"
"Department for Culture, Media and Sport","Visit England","Partnerships","3431","Purple","29793","58598","Manager","2","Operational delivery","/data/visitengland/2011-09-30/VE-Government-staff-and-salary-data---22.11.11.xls","juniorPosts11"
"Department for Culture, Media and Sport","Visit England","Insights and Communications","1987","Green","19013","35708","Executive","3","Operational delivery","/data/visitengland/2011-09-30/VE-Government-staff-and-salary-data---22.11.11.xls","juniorPosts12"
"Department for Culture, Media and Sport","Visit England","Insights and Communications","1987","Purple","29793","58598","Manager","3","Operational delivery","/data/visitengland/2011-09-30/VE-Government-staff-and-salary-data---22.11.11.xls","juniorPosts13"
