"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Wales Office","Wales Office","Director's Office","161","Band A","42034","67969","Senior Communications Team Leader","2","Communications","/data/walesoffice/2011-03-31/Wales-Office-dataset-for-organogram---31-March-2011.xls","juniorPosts2"
"Wales Office","Wales Office","Director's Office","161","Band A","42034","67969","Senior Operational Team Leader","1","Operational Delivery","/data/walesoffice/2011-03-31/Wales-Office-dataset-for-organogram---31-March-2011.xls","juniorPosts3"
"Wales Office","Wales Office","Director's Office","161","Band A","42034","67969","Communications Team Leader","1","Communications","/data/walesoffice/2011-03-31/Wales-Office-dataset-for-organogram---31-March-2011.xls","juniorPosts4"
"Wales Office","Wales Office","Director's Office","161","Band A","42034","67969","HR Team Leader","1","Human Resources","/data/walesoffice/2011-03-31/Wales-Office-dataset-for-organogram---31-March-2011.xls","juniorPosts5"
"Wales Office","Wales Office","Director's Office","161","Band A","42034","67969","Finance Team Leader","1","Finance","/data/walesoffice/2011-03-31/Wales-Office-dataset-for-organogram---31-March-2011.xls","juniorPosts6"
"Wales Office","Wales Office","Director's Office","161","Band A","42034","67969","Operational Team Leader","1","Operational Delivery","/data/walesoffice/2011-03-31/Wales-Office-dataset-for-organogram---31-March-2011.xls","juniorPosts7"
"Wales Office","Wales Office","Director's Office","161","Band B","29634","44964","Senior Press Officer","1","Communications","/data/walesoffice/2011-03-31/Wales-Office-dataset-for-organogram---31-March-2011.xls","juniorPosts8"
"Wales Office","Wales Office","Director's Office","161","Band C","22951","36061","Press Officer","1","Communications","/data/walesoffice/2011-03-31/Wales-Office-dataset-for-organogram---31-March-2011.xls","juniorPosts9"
"Wales Office","Wales Office","Director's Office","161","Band C","22951","36061","Finance Manager","1","Finance","/data/walesoffice/2011-03-31/Wales-Office-dataset-for-organogram---31-March-2011.xls","juniorPosts10"
"Wales Office","Wales Office","Director's Office","161","Band C","22951","36061","Operational manager","1","Operational Delivery","/data/walesoffice/2011-03-31/Wales-Office-dataset-for-organogram---31-March-2011.xls","juniorPosts11"
"Wales Office","Wales Office","Director's Office","161","Band D","18496","28000","Executive Assistant","1","Policy","/data/walesoffice/2011-03-31/Wales-Office-dataset-for-organogram---31-March-2011.xls","juniorPosts12"
