"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Communities and Local Government","West Northamptonshire Development Corporation","Planning Services","5","3","40000","65000","Head of Development Management","1","Planning","/data/wndc/2011-03-31/WNDC-senior-salary-and-organogram-March-2011V23.xls","juniorPosts2"
"Department for Communities and Local Government","West Northamptonshire Development Corporation","Planning Services","5","3","40000","65000","Development Team Leader","1","Planning","/data/wndc/2011-03-31/WNDC-senior-salary-and-organogram-March-2011V23.xls","juniorPosts3"
"Department for Communities and Local Government","West Northamptonshire Development Corporation","Planning Services","5","2","25000","45000","Planning Support Team Leader","1","Planning","/data/wndc/2011-03-31/WNDC-senior-salary-and-organogram-March-2011V23.xls","juniorPosts4"
"Department for Communities and Local Government","West Northamptonshire Development Corporation","Planning Services","5","2","25000","45000","Development Officer","2","Planning","/data/wndc/2011-03-31/WNDC-senior-salary-and-organogram-March-2011V23.xls","juniorPosts5"
"Department for Communities and Local Government","West Northamptonshire Development Corporation","Planning Services","5","2","25000","45000","Principle Development Manager","3","Planning","/data/wndc/2011-03-31/WNDC-senior-salary-and-organogram-March-2011V23.xls","juniorPosts6"
"Department for Communities and Local Government","West Northamptonshire Development Corporation","Planning Services","5","1","15000","30000","Technical Support Officer","1","Planning","/data/wndc/2011-03-31/WNDC-senior-salary-and-organogram-March-2011V23.xls","juniorPosts7"
"Department for Communities and Local Government","West Northamptonshire Development Corporation","Planning Services","5","1","15000","30000","Project support officer","1","Planning","/data/wndc/2011-03-31/WNDC-senior-salary-and-organogram-March-2011V23.xls","juniorPosts8"
"Department for Communities and Local Government","West Northamptonshire Development Corporation","Operations","2","4","50000","80000","Head of Finance","1","Finance","/data/wndc/2011-03-31/WNDC-senior-salary-and-organogram-March-2011V23.xls","juniorPosts9"
"Department for Communities and Local Government","West Northamptonshire Development Corporation","Operations","2","4","50000","80000","Head of Communications & Marketing","1","Communications","/data/wndc/2011-03-31/WNDC-senior-salary-and-organogram-March-2011V23.xls","juniorPosts10"
"Department for Communities and Local Government","West Northamptonshire Development Corporation","Operations","2","3","40000","65000","Communications Manager","1","Communications","/data/wndc/2011-03-31/WNDC-senior-salary-and-organogram-March-2011V23.xls","juniorPosts11"
"Department for Communities and Local Government","West Northamptonshire Development Corporation","Operations","2","3","40000","65000","Information and Records Manager","1","Knowledge and Information Management (KIM)","/data/wndc/2011-03-31/WNDC-senior-salary-and-organogram-March-2011V23.xls","juniorPosts12"
"Department for Communities and Local Government","West Northamptonshire Development Corporation","Operations","2","2","25000","45000","Policy and Governance Officer","1","Policy","/data/wndc/2011-03-31/WNDC-senior-salary-and-organogram-March-2011V23.xls","juniorPosts13"
"Department for Communities and Local Government","West Northamptonshire Development Corporation","Operations","2","2","25000","45000","Information and IT Officer","1","Information Technology","/data/wndc/2011-03-31/WNDC-senior-salary-and-organogram-March-2011V23.xls","juniorPosts14"
"Department for Communities and Local Government","West Northamptonshire Development Corporation","Operations","2","2","25000","45000","Financial Accountant","1","Finance","/data/wndc/2011-03-31/WNDC-senior-salary-and-organogram-March-2011V23.xls","juniorPosts15"
"Department for Communities and Local Government","West Northamptonshire Development Corporation","Operations","2","2","25000","45000","Business Analyst","1","Programme and Project Management (PPM)","/data/wndc/2011-03-31/WNDC-senior-salary-and-organogram-March-2011V23.xls","juniorPosts16"
"Department for Communities and Local Government","West Northamptonshire Development Corporation","Operations","2","1","15000","30000","Financial Assistant","0.6","Finance","/data/wndc/2011-03-31/WNDC-senior-salary-and-organogram-March-2011V23.xls","juniorPosts17"
"Department for Communities and Local Government","West Northamptonshire Development Corporation","Operations","2","1","15000","30000","Payroll Officer","0.75","Finance","/data/wndc/2011-03-31/WNDC-senior-salary-and-organogram-March-2011V23.xls","juniorPosts18"
"Department for Communities and Local Government","West Northamptonshire Development Corporation","Operations","2","1","15000","30000","Project Finance Assistant","1","Finance","/data/wndc/2011-03-31/WNDC-senior-salary-and-organogram-March-2011V23.xls","juniorPosts19"
"Department for Communities and Local Government","West Northamptonshire Development Corporation","Operations","2","1","15000","30000","Executive Assistant","2","Operational Delivery","/data/wndc/2011-03-31/WNDC-senior-salary-and-organogram-March-2011V23.xls","juniorPosts20"
"Department for Communities and Local Government","West Northamptonshire Development Corporation","Operations","2","1","15000","30000","Receptionist","1","Operational Delivery","/data/wndc/2011-03-31/WNDC-senior-salary-and-organogram-March-2011V23.xls","juniorPosts21"
"Department for Communities and Local Government","West Northamptonshire Development Corporation","Regeneration and Development","4","3","40000","65000","Strategic Partnerships Executive","1","Programme and Project Management (PPM)","/data/wndc/2011-03-31/WNDC-senior-salary-and-organogram-March-2011V23.xls","juniorPosts22"
"Department for Communities and Local Government","West Northamptonshire Development Corporation","Regeneration and Development","4","3","40000","65000","Urban Designer","1","Planning","/data/wndc/2011-03-31/WNDC-senior-salary-and-organogram-March-2011V23.xls","juniorPosts23"
"Department for Communities and Local Government","West Northamptonshire Development Corporation","Regeneration and Development","4","3","40000","65000","Regeneration Manager","2","Programme and Project Management (PPM)","/data/wndc/2011-03-31/WNDC-senior-salary-and-organogram-March-2011V23.xls","juniorPosts24"
"Department for Communities and Local Government","West Northamptonshire Development Corporation","Regeneration and Development","4","3","40000","65000","Commercial Development Manager","1","Operational Delivery","/data/wndc/2011-03-31/WNDC-senior-salary-and-organogram-March-2011V23.xls","juniorPosts25"
"Department for Communities and Local Government","West Northamptonshire Development Corporation","Regeneration and Development","4","2","25000","45000","Management Accountant","0.8","Finance","/data/wndc/2011-03-31/WNDC-senior-salary-and-organogram-March-2011V23.xls","juniorPosts26"
"Department for Communities and Local Government","West Northamptonshire Development Corporation","Regeneration and Development","4","2","25000","45000","Regeneration Officer","3","Programme and Project Management (PPM)","/data/wndc/2011-03-31/WNDC-senior-salary-and-organogram-March-2011V23.xls","juniorPosts27"
"Department for Communities and Local Government","West Northamptonshire Development Corporation","Regeneration and Development","4","1","15000","30000","Executive Assistant","1","Operational Delivery","/data/wndc/2011-03-31/WNDC-senior-salary-and-organogram-March-2011V23.xls","juniorPosts28"
"Department for Communities and Local Government","West Northamptonshire Development Corporation","Implementation and Delivery","3","3","40000","65000","Project Manager","2","Programme and Project Management (PPM)","/data/wndc/2011-03-31/WNDC-senior-salary-and-organogram-March-2011V23.xls","juniorPosts29"
"Department for Communities and Local Government","West Northamptonshire Development Corporation","Implementation and Delivery","3","2","25000","45000","Project Co-ordinator","1","Programme and Project Management (PPM)","/data/wndc/2011-03-31/WNDC-senior-salary-and-organogram-March-2011V23.xls","juniorPosts30"
