"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Education","Young People's Learning Agency","Academies","YPLA-1","1","13326","26832","Band 1","2","Operational delivery","/data/ypla/2011-09-30/30-Sep-2011-YPLA-Upload.xls","juniorPosts2"
"Department for Education","Young People's Learning Agency","Academies","YPLA-1","2","20746","38665","Band 2","12.6","Operational delivery","/data/ypla/2011-09-30/30-Sep-2011-YPLA-Upload.xls","juniorPosts3"
"Department for Education","Young People's Learning Agency","Academies","YPLA-1","3","34510","54790","Band 3","18","Operational delivery","/data/ypla/2011-09-30/30-Sep-2011-YPLA-Upload.xls","juniorPosts4"
"Department for Education","Young People's Learning Agency","Academies","YPLA-1","4","50318","89048","Band 4","7","Operational delivery","/data/ypla/2011-09-30/30-Sep-2011-YPLA-Upload.xls","juniorPosts5"
"Department for Education","Young People's Learning Agency","Academies","YPLA-13","4","50318","89048","Band 4","2","Operational delivery","/data/ypla/2011-09-30/30-Sep-2011-YPLA-Upload.xls","juniorPosts6"
"Department for Education","Young People's Learning Agency","Academies","YPLA-14","4","50318","89048","Band 4","1","Operational delivery","/data/ypla/2011-09-30/30-Sep-2011-YPLA-Upload.xls","juniorPosts7"
"Department for Education","Young People's Learning Agency","Academies","YPLA-17","4","50318","89048","Band 4","2","Operational delivery","/data/ypla/2011-09-30/30-Sep-2011-YPLA-Upload.xls","juniorPosts8"
"Department for Education","Young People's Learning Agency","Academies","YPLA-2","1","13326","26832","Band 1","1","Operational delivery","/data/ypla/2011-09-30/30-Sep-2011-YPLA-Upload.xls","juniorPosts9"
"Department for Education","Young People's Learning Agency","Academies","YPLA-2","2","20746","38665","Band 2","1","Operational delivery","/data/ypla/2011-09-30/30-Sep-2011-YPLA-Upload.xls","juniorPosts10"
"Department for Education","Young People's Learning Agency","Academies","YPLA-31","2","20746","38665","Band 2","17","Operational delivery","/data/ypla/2011-09-30/30-Sep-2011-YPLA-Upload.xls","juniorPosts11"
"Department for Education","Young People's Learning Agency","Academies","YPLA-31","3","34510","54790","Band 3","9","Operational delivery","/data/ypla/2011-09-30/30-Sep-2011-YPLA-Upload.xls","juniorPosts12"
"Department for Education","Young People's Learning Agency","Academies","YPLA-31","4","50318","89048","Band 4","3","Operational delivery","/data/ypla/2011-09-30/30-Sep-2011-YPLA-Upload.xls","juniorPosts13"
"Department for Education","Young People's Learning Agency","Academies","YPLA-7","1","13326","26832","Band 1","0.5","Finance","/data/ypla/2011-09-30/30-Sep-2011-YPLA-Upload.xls","juniorPosts14"
"Department for Education","Young People's Learning Agency","Academies","YPLA-7","2","20746","38665","Band 2","7.5","Finance","/data/ypla/2011-09-30/30-Sep-2011-YPLA-Upload.xls","juniorPosts15"
"Department for Education","Young People's Learning Agency","Academies","YPLA-7","3","34510","54790","Band 3","6","Finance","/data/ypla/2011-09-30/30-Sep-2011-YPLA-Upload.xls","juniorPosts16"
"Department for Education","Young People's Learning Agency","Academies","YPLA-7","4","50318","89048","Band 4","1","Finance","/data/ypla/2011-09-30/30-Sep-2011-YPLA-Upload.xls","juniorPosts17"
"Department for Education","Young People's Learning Agency","Business Performance and Communications","YPLA-3","1","13326","26832","Band 1","1","Operational delivery","/data/ypla/2011-09-30/30-Sep-2011-YPLA-Upload.xls","juniorPosts18"
