"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Ministry of Justice","Youth Justice Board","Corporate Services","13","HEO (London)","29365","34009","PA to Chair","1","Operational delivery","/data/justice/2011-09-30/Youth-Justice-Board-(YJB)-organogram-data-300911.xls","juniorPosts2"
"Ministry of Justice","Youth Justice Board","Corporate Services","13","G7 (London)","49526","60573","Acting Head of Chief Executive's Office","1","Operational delivery","/data/justice/2011-09-30/Youth-Justice-Board-(YJB)-organogram-data-300911.xls","juniorPosts3"
"Ministry of Justice","Youth Justice Board","Corporate Services","13","G7 (London)","49526","60573","Head of Chief Executive's Office","1","Operational delivery","/data/justice/2011-09-30/Youth-Justice-Board-(YJB)-organogram-data-300911.xls","juniorPosts4"
"Ministry of Justice","Youth Justice Board","Corporate Services","13","EO (London)","24093","27809","PS to Office of Chair and Chief Exec","1","Operational delivery","/data/justice/2011-09-30/Youth-Justice-Board-(YJB)-organogram-data-300911.xls","juniorPosts5"
"Ministry of Justice","Youth Justice Board","Corporate Services","13","EO (London)","24093","27809","Executive Officer for the Corporate Delivery Unit","1","Operational delivery","/data/justice/2011-09-30/Youth-Justice-Board-(YJB)-organogram-data-300911.xls","juniorPosts6"
"Ministry of Justice","Youth Justice Board","Corporate Services","13","G7 (London)","49526","60573","Head of Change and Management Information","1","Operational delivery","/data/justice/2011-09-30/Youth-Justice-Board-(YJB)-organogram-data-300911.xls","juniorPosts7"
"Ministry of Justice","Youth Justice Board","Corporate Services","13","HEO (London)","29365","34009","Corporate Support Manager","1","Operational delivery","/data/justice/2011-09-30/Youth-Justice-Board-(YJB)-organogram-data-300911.xls","juniorPosts8"
"Ministry of Justice","Youth Justice Board","Corporate Services","13","SEO (London)","36973","42557","Head of Governance","1","Operational delivery","/data/justice/2011-09-30/Youth-Justice-Board-(YJB)-organogram-data-300911.xls","juniorPosts9"
"Ministry of Justice","Youth Justice Board","Corporate Services","13","HEO (London)","29365","34009","Change Portfolio Manager","1","Operational delivery","/data/justice/2011-09-30/Youth-Justice-Board-(YJB)-organogram-data-300911.xls","juniorPosts10"
"Ministry of Justice","Youth Justice Board","Corporate Services","13","EO (London)","24093","27809","Adviser - Corporate Governance","1","Operational delivery","/data/justice/2011-09-30/Youth-Justice-Board-(YJB)-organogram-data-300911.xls","juniorPosts11"
"Ministry of Justice","Youth Justice Board","Corporate Services","13","HEO (London)","29365","34009","Corporate Planning and Risk Manager","1","Operational delivery","/data/justice/2011-09-30/Youth-Justice-Board-(YJB)-organogram-data-300911.xls","juniorPosts12"
"Ministry of Justice","Youth Justice Board","Corporate Services","13","EO (AIO) (London)","28575","32777","Events Manager","1","Communications","/data/justice/2011-09-30/Youth-Justice-Board-(YJB)-organogram-data-300911.xls","juniorPosts13"
"Ministry of Justice","Youth Justice Board","Corporate Services","13","HEO (IO) (London)","32777","37670","Media Manager","1.8","Communications","/data/justice/2011-09-30/Youth-Justice-Board-(YJB)-organogram-data-300911.xls","juniorPosts14"
"Ministry of Justice","Youth Justice Board","Corporate Services","13","SEO (SIO) (London)","39472","45467","Head of Media","1","Communications","/data/justice/2011-09-30/Youth-Justice-Board-(YJB)-organogram-data-300911.xls","juniorPosts15"
"Ministry of Justice","Youth Justice Board","Corporate Services","13","EO (AIO) (London)","28575","32777","Publications Manager","1","Communications","/data/justice/2011-09-30/Youth-Justice-Board-(YJB)-organogram-data-300911.xls","juniorPosts16"
"Ministry of Justice","Youth Justice Board","Corporate Services","13","G7 (London)","49526","60573","Head of Marketing and Communications","1","Communications","/data/justice/2011-09-30/Youth-Justice-Board-(YJB)-organogram-data-300911.xls","juniorPosts17"
"Ministry of Justice","Youth Justice Board","Corporate Services","13","EO (AIO) (London)","28575","32777","E Communications Officer","1","Communications","/data/justice/2011-09-30/Youth-Justice-Board-(YJB)-organogram-data-300911.xls","juniorPosts18"
"Ministry of Justice","Youth Justice Board","Corporate Services","13","G6 (London)","59991","73524","Head of Communications","1","Communications","/data/justice/2011-09-30/Youth-Justice-Board-(YJB)-organogram-data-300911.xls","juniorPosts19"
"Ministry of Justice","Youth Justice Board","Corporate Services","13","HEO (IO) (London)","32777","37670","Editorial Officer","1","Communications","/data/justice/2011-09-30/Youth-Justice-Board-(YJB)-organogram-data-300911.xls","juniorPosts20"
"Ministry of Justice","Youth Justice Board","Corporate Services","13","G7 (London)","49526","60573","Restructure Project","1","Programme and Project Management (PPM)","/data/justice/2011-09-30/Youth-Justice-Board-(YJB)-organogram-data-300911.xls","juniorPosts21"
"Ministry of Justice","Youth Justice Board","Corporate Services","13","G7 (London)","49526","60573","Programme Manager YJ Transition Programme","1","Programme and Project Management (PPM)","/data/justice/2011-09-30/Youth-Justice-Board-(YJB)-organogram-data-300911.xls","juniorPosts22"
"Ministry of Justice","Youth Justice Board","Corporate Services","13","AO (London)","19538","21677","Secretary to Director of Corporate Services","1","Operational delivery","/data/justice/2011-09-30/Youth-Justice-Board-(YJB)-organogram-data-300911.xls","juniorPosts23"
