,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,"Department for Culture, Media and Sport",Sport England,Business Partnerships,1CP001,3.0,53781,86100,Senior Operational Manager Communications,2.0,Communications
1,"Department for Culture, Media and Sport",Sport England,Business Partnerships,1CP001,4.0,41570,64500,Operational Manager,1.0,Operational Delivery
2,"Department for Culture, Media and Sport",Sport England,Business Partnerships,1CP001,4.0,41570,64500,Head of Client Management,1.0,Operational Delivery
3,"Department for Culture, Media and Sport",Sport England,Business Partnerships,1CP001,4.0,41570,64500,Head of Public Policy,1.0,Policy
4,"Department for Culture, Media and Sport",Sport England,Business Partnerships,1CP001,5.0,33256,52500,Communications Officer,2.0,Communications
5,"Department for Culture, Media and Sport",Sport England,Business Partnerships,1CP001,5.0,33256,52500,Client Manager,0.9,Operational Delivery
6,"Department for Culture, Media and Sport",Sport England,Business Partnerships,1CP001,5.0,33256,52500,Brand Manager,1.0,Communications
7,"Department for Culture, Media and Sport",Sport England,Business Partnerships,1CP001,4.0,41570,64500,Policy Manager,1.0,Policy
8,"Department for Culture, Media and Sport",Sport England,Business Partnerships,1CP001,6.0,26605,40700,Client Manager,1.0,Operational Delivery
9,"Department for Culture, Media and Sport",Sport England,Business Partnerships,1CP001,6.0,26605,40700,Information Governance Manager,0.6,Policy
10,"Department for Culture, Media and Sport",Sport England,Business Partnerships,1CP001,6.0,26605,40700,Policy Advisor,1.0,Policy
11,"Department for Culture, Media and Sport",Sport England,Business Partnerships,1CP001,7.0,22171,36500,Programme Support Officer,1.0,Operational Delivery
12,"Department for Culture, Media and Sport",Sport England,Business Partnerships,1CP001,7.0,22171,36500,Communications Assistant,1.0,Communications
13,"Department for Culture, Media and Sport",Sport England,Chief Executive's Office,1CE001,4.0,41570,64500,Operational Manager,1.0,Operational Delivery
14,"Department for Culture, Media and Sport",Sport England,Chief Executive's Office,1CE001,5.0,33256,52500,Project Manager,1.0,Operational Delivery
15,"Department for Culture, Media and Sport",Sport England,Chief Executive's Office,1CE001,6.0,26605,40700,Personal Assistant,1.0,Operational Delivery
16,"Department for Culture, Media and Sport",Sport England,Chief Executive's Office,1CE001,9.0,16000,24547,Receptionist,1.0,Operational Delivery
