,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Department of Health,NHS LA,FHSAU,1,Band 4,18838,22016,Case Administrator,3.5,Operational Delivery
1,Department of Health,NHS LA,FHSAU,1,Band 6,25783,34530,Case Officer,5.0,Medicine
2,Department of Health,NHS LA,FHSAU,1,Band 8C,54998,67805,Senior Operational Manager,1.0,Operational Delivery
3,Department of Health,NHS LA,FHSAU,1,Band 6,25783,34530,Office Manager,1.0,Operational Delivery
4,Department of Health,NHS LA,NHS LA Finance and IT Directorate,2,Band 2,14294,17425,Finance Support Officer,2.0,Operational Delivery
5,Department of Health,NHS LA,NHS LA Finance and IT Directorate,2,Band 4,18838,22016,Finance Support Officer,2.0,Policy
6,Department of Health,NHS LA,NHS LA Finance and IT Directorate,2,Band 4,18838,22016,IT Support Officer,1.0,Operational Delivery
7,Department of Health,NHS LA,NHS LA Finance and IT Directorate,2,Band 5,21388,27901,Executive Assistant,1.0,Social Research
8,Department of Health,NHS LA,NHS LA Finance and IT Directorate,2,Band 5,21388,27901,Finance Support Officer,1.0,Knowledge and Information Management (KIM)
9,Department of Health,NHS LA,NHS LA Finance and IT Directorate,2,Band 5,21388,27901,IT Support Officer,3.0,Law
10,Department of Health,NHS LA,NHS LA Finance and IT Directorate,2,Band 6,25783,34530,IT Support Officer,2.0,Operational Delivery
11,Department of Health,NHS LA,NHS LA Finance and IT Directorate,2,Band 6,25783,34530,Statistician,1.0,Operational Delivery
12,Department of Health,NHS LA,NHS LA Finance and IT Directorate,2,Band 7,30764,40558,IT Manager,1.0,Human Resources
13,Department of Health,NHS LA,NHS LA Finance and IT Directorate,2,Band 5,21388,27901,Office Manager,1.0,Human Resources
14,Department of Health,NHS LA,NHS LA Finance and IT Directorate,2,Band 8A,39239,47088,Finance Officer,1.0,Finance
15,Department of Health,NHS LA,NHS LA Finance and IT Directorate,2,Band 8A,39239,47088,IT Manager,1.0,Finance
16,Department of Health,NHS LA,NHS LA Finance and IT Directorate,2,Band 8C,54998,67805,Programme Manager,1.0,Finance
17,Department of Health,NHS LA,NHS LA Finance and IT Directorate,2,Band 8C,54998,67805,IT Manager,1.0,Information Technology
18,Department of Health,NHS LA,NHS LA Finance and IT Directorate,2,Band 7,30764,40558,Finance Support Officer,1.0,Communications
19,Department of Health,NHS LA,Technical Claims,3,Band 5,21388,27901,Executive Assistant,1.0,Programme and Project Management (PPM)
20,Department of Health,NHS LA,Technical Claims,3,Band 8B,45707,56504,Case Management,6.9,Programme and Project Management (PPM)
21,Department of Health,NHS LA,Technical Claims,3,Band 8C,54998,67805,Case Management,1.0,Programme and Project Management (PPM)
22,Department of Health,NHS LA,Non-clinical Claims,4,Band 2,14294,17425,Case Management,4.0,Procurement
23,Department of Health,NHS LA,Non-clinical Claims,4,Band 2,14294,17425,Case Management,1.0,Other
24,Department of Health,NHS LA,Clinical Claims,4,Band 4,18838,22016,Case Administrator,5.6,Other
25,Department of Health,NHS LA,NHS LA Finance and IT Directorate,2,Band 5,21388,27901,Executive Assistant,1.0,Other
