,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Home Office,HM Inspectorate of Constabulary,Northern Region,EQV01,Grade 7,44656,57553,Inspection Officer,2.0,Operational Delivery
1,Home Office,HM Inspectorate of Constabulary,Northern Region,EQV01,SEO,32602,39537,Inspection Support Manager,1.0,Operational Delivery
2,Home Office,HM Inspectorate of Constabulary,Northern Region,EQV01,HEO,25297,30989,Analyst,1.0,Knowledge and Information Management (KIM)
3,Home Office,HM Inspectorate of Constabulary,Northern Region,EQV01,EO,20235,24789,Executive Assistant,1.0,Operational Delivery
4,Home Office,HM Inspectorate of Constabulary,Northern Region,EQV01,SGB1,16518,18657,Driver,1.0,Operational Delivery
5,Home Office,HM Inspectorate of Constabulary,Northern Region,EQV01,AO,15386,18657,Inspection Support,1.0,Operational Delivery
6,Home Office,HM Inspectorate of Constabulary,Northern Region,EQV01,Chief Supt,72543,76680,Chief of Staff,1.0,Operational Delivery
7,Home Office,HM Inspectorate of Constabulary,Northern Region,EQV01,Supt,60750,74022,Lead Inspection Officer,3.0,Operational Delivery
8,Home Office,HM Inspectorate of Constabulary,Northern Region,EQV01,Chief Inspector,50502,53439,Inspection Officer,2.0,Operational Delivery
9,Home Office,HM Inspectorate of Constabulary,Eastern Region,EQV02,HEO,25297,30989,Inspection Support Manager,0.89,Operational Delivery
10,Home Office,HM Inspectorate of Constabulary,Eastern Region,EQV02,SPS ,19629,24291,Executive Assistant,1.0,Operational Delivery
11,Home Office,HM Inspectorate of Constabulary,Eastern Region,EQV02,AO,15386,18657,Inspection Support,1.0,Operational Delivery
12,Home Office,HM Inspectorate of Constabulary,Eastern Region,EQV02,SGB1,16518,18657,Driver,1.0,Operational Delivery
13,Home Office,HM Inspectorate of Constabulary,Eastern Region,EQV02,Chief Supt,72543,76680,Chief of Staff,1.0,Operational Delivery
14,Home Office,HM Inspectorate of Constabulary,Eastern Region,EQV02,Chief Supt,72543,76680,Lead Inspection Officer,1.0,Operational Delivery
15,Home Office,HM Inspectorate of Constabulary,Eastern Region,EQV02,Supt,60750,74022,Lead Inspection Officer,3.0,Operational Delivery
16,Home Office,HM Inspectorate of Constabulary,Eastern Region,EQV02,Chief Inspector,50502,53439,Inspection Officer,4.0,Operational Delivery
17,Home Office,HM Inspectorate of Constabulary,Eastern Region,EQV02,Inspector,45624,49488,Inspection Officer,1.0,Operational Delivery
