,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Home Office,National Fraud Authority,National Fraud Authority,2NFA01,Grade 6,58200,71900,Programme Officer Manager,1.0,Programme and Project Management (PPM)
1,Home Office,National Fraud Authority,National Fraud Authority,2NFA01,Grade 6,58200,71900,Programme Manager,1.0,Programme and Project Management (PPM)
2,Home Office,National Fraud Authority,National Fraud Authority,2NFA01,Grade 6,58200,71900,Programme Manager,1.0,Programme and Project Management (PPM)
3,Home Office,National Fraud Authority,National Fraud Authority,2NFA01,Grade 7,48700,59300,Head of Human Resources,0.6,Human Resources
4,Home Office,National Fraud Authority,National Fraud Authority,2NFA01,Grade 7,48700,59300,Project Manager,1.0,Programme and Project Management (PPM)
5,Home Office,National Fraud Authority,National Fraud Authority,1NFA02,Grade 7,48700,59300,Project Manager,1.0,Programme and Project Management (PPM)
6,Home Office,National Fraud Authority,National Fraud Authority,2NFA01,SEO,36000,42900,Finance Manager,1.0,Programme and Project Management (PPM)
7,Home Office,National Fraud Authority,National Fraud Authority,2NFA01,SEO,36000,42900,Executive Assistant,1.0,Other
8,Home Office,National Fraud Authority,National Fraud Authority,2NFA01,SEO,36000,42900,Project Manager,1.0,Programme and Project Management (PPM)
9,Home Office,National Fraud Authority,National Fraud Authority,2NFA01,SEO,36000,42900,Facilities Delivery Manager,1.0,Other
10,Home Office,National Fraud Authority,National Fraud Authority,2NFA01,HEO,28500,36500,Project Support Officer,1.0,Operational Delivery
11,Home Office,National Fraud Authority,National Fraud Authority,2NFA01,EO,23200,29700,Corporate Support,1.0,Other
12,Home Office,National Fraud Authority,National Fraud Authority,2NFA01,EO,23200,29700,Corporate Support,1.0,Other
13,Home Office,National Fraud Authority,National Fraud Authority,1NFA02,Grade 6,58200,71900,Programme Manager,1.0,Programme and Project Management (PPM)
14,Home Office,National Fraud Authority,National Fraud Authority,1NFA02,Grade 6,58200,71900,Programme Manager,1.0,Programme and Project Management (PPM)
15,Home Office,National Fraud Authority,National Fraud Authority,1NFA02,Grade 7,48700,59300,Project Manager,1.0,Programme and Project Management (PPM)
16,Home Office,National Fraud Authority,National Fraud Authority,1NFA02,Grade 7,48700,59300,Project Manager,1.0,Programme and Project Management (PPM)
17,Home Office,National Fraud Authority,National Fraud Authority,1NFA02,Grade 7,48700,59300,Project Manager,1.0,Programme and Project Management (PPM)
18,Home Office,National Fraud Authority,National Fraud Authority,1NFA02,Grade 7,48700,59300,Project Manager,1.0,Programme and Project Management (PPM)
19,Home Office,National Fraud Authority,National Fraud Authority,1NFA02,Grade 7,48700,59300,Project Manager,1.0,Programme and Project Management (PPM)
20,Home Office,National Fraud Authority,National Fraud Authority,1NFA02,Grade 7,48700,59300,Project Manager,1.0,Programme and Project Management (PPM)
21,Home Office,National Fraud Authority,National Fraud Authority,1NFA02,Grade 7,48700,59300,Project Manager,1.0,Programme and Project Management (PPM)
22,Home Office,National Fraud Authority,National Fraud Authority,1NFA02,SEO,36000,42900,Project Manager,1.0,Programme and Project Management (PPM)
23,Home Office,National Fraud Authority,National Fraud Authority,1NFA02,SEO,36000,42900,Project Manager,1.0,Programme and Project Management (PPM)
24,Home Office,National Fraud Authority,National Fraud Authority,1NFA02,SEO,36000,42900,Project Manager,1.0,Programme and Project Management (PPM)
25,Home Office,National Fraud Authority,National Fraud Authority,1NFA02,SEO,36000,42900,Project Manager,1.0,Operational Research
26,Home Office,National Fraud Authority,National Fraud Authority,1NFA02,SEO,36000,42900,Project Manager,1.0,Programme and Project Management (PPM)
27,Home Office,National Fraud Authority,National Fraud Authority,1NFA02,SEO,36000,42900,Project Manager,1.0,Programme and Project Management (PPM)
28,Home Office,National Fraud Authority,National Fraud Authority,1NFA02,SEO,36000,42900,Project Manager,1.0,Operational Research
29,Home Office,National Fraud Authority,National Fraud Authority,1NFA02,SEO,36000,42900,Project Manager,1.0,Operational Research
30,Home Office,National Fraud Authority,National Fraud Authority,1NFA02,HEO,28500,36500,Project Support Officer,1.0,Operational Delivery
31,Home Office,National Fraud Authority,National Fraud Authority,1NFA02,HEO,28500,36500,Project Support Officer,1.0,Operational Research
32,Home Office,National Fraud Authority,National Fraud Authority,1NFA02,HEO,28500,36500,Project Support Officer,1.0,Operational Research
33,Home Office,National Fraud Authority,National Fraud Authority,1NFA03,Grade 6,58200,71900,Project Manager,1.0,Communications
34,Home Office,National Fraud Authority,National Fraud Authority,1NFA03,Grade 6,58200,71900,Project Manager,1.0,Operational Delivery
35,Home Office,National Fraud Authority,National Fraud Authority,1NFA03,Grade 6,58200,71900,Project Manager,1.0,Operational Delivery
36,Home Office,National Fraud Authority,National Fraud Authority,1NFA03,Grade 6,58200,71900,Project Manager,1.0,Operational Delivery
37,Home Office,National Fraud Authority,National Fraud Authority,1NFA03,Grade 7,48700,59300,Project Manager,1.0,Communications
38,Home Office,National Fraud Authority,National Fraud Authority,1NFA03,Grade 7,48700,59300,Project Manager,1.0,Programme and Project Management (PPM)
39,Home Office,National Fraud Authority,National Fraud Authority,1NFA03,Grade 7,48700,59300,Project Manager,1.0,Programme and Project Management (PPM)
40,Home Office,National Fraud Authority,National Fraud Authority,1NFA02,Grade 7,48700,59300,Project Manager,1.0,Programme and Project Management (PPM)
41,Home Office,National Fraud Authority,National Fraud Authority,1NFA03,SEO,36000,42900,Project Manager,1.0,Communications
42,Home Office,National Fraud Authority,National Fraud Authority,1NFA03,SEO,36000,42900,Project Manager,1.0,Communications
43,Home Office,National Fraud Authority,National Fraud Authority,1NFA03,SEO,36000,42900,Project Manager,1.0,Operational Delivery
44,Home Office,National Fraud Authority,National Fraud Authority,1NFA03,HEO,28500,36500,Project Support Officer,1.0,Operational Delivery
