,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,OF1,16305,33175,Military,305.0,Military
1,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,OF2,38463,45741,Military,2831.0,Military
2,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,OF3,48450,58025,Military,1544.0,Military
3,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,OF4,67999,78737,Military,601.0,Military
4,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,OF5,82381,90560,Military,156.0,Military
5,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,OR1,21019,23798,Military,3.0,Military
6,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,OR2,21019,23798,Military,9404.0,Military
7,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,OR3,21019,23798,Military,596.0,Military
8,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,OR4,29122,31219,Military,5159.0,Military
9,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,OR6,32602,35426,Military,3867.0,Military
10,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,OR7,36921,40930,Military,2218.0,Military
11,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,OR8,36921,40930,Military,87.0,Military
12,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,OR9,41707,45088,Military,701.0,Military
13,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,Principal Lecturer RMAS/BRNC ,47942,59535,Teaching ,1.0,Operational Delivery
14,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,Retired Offr 1,37819,44268,Direct Military Support,2.0,Operational Delivery
15,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,Retired Offr 1,37819,44268,Service HR Expert ,1.0,Human Resources
16,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,Retired Offr 1,37819,44268,Training Support,1.0,Operational Delivery
17,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,Retired Offr 2,30136,36333,Business Management,2.0,Operational Delivery
18,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,Retired Offr 2,30136,36333,Combat Systems Engineering,1.0,Science and Engineering
19,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,Retired Offr 2,30136,36333,Community Service ,1.0,Operational Delivery
20,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,Retired Offr 2,30136,36333,Direct Military Support,7.5,Operational Delivery
21,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,Retired Offr 2,30136,36333,Service HR Service Provider,1.0,Human Resources
22,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,Retired Offr 3,25600,29092,Business Management,1.0,Operational Delivery
23,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,Retired Offr (Prinl),47942,59535,Business Management,1.0,Operational Delivery
24,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,Senior Medical Officer ,73636,83714,Defence Export Services,1.0,Operational Delivery
25,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,Senior Medical Officer ,73636,83714,Gen Practice Medical,1.0,Medicine
26,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,MEDICAL OFFICER - 2185,56436,69409,Gen Practice Medical,1.0,Medicine
27,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,MEDICAL OFFICER - 2185,56436,69409,Service HR Service Provider,1.0,Information Technology
28,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,Civilian Medical Practitioner,65071,77303,Gen Practice Medical,1.4,Medicine
29,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,Burnham Lecturer 2 (C2 Equiv),30136,43188,Teaching ,9.5,Operational Delivery
30,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,Senior Lecturer ,45838,47672,Teaching ,14.0,Operational Delivery
31,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,Senior Lecturer ,45838,47672,WOME Production ,1.0,Science and Engineering
32,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,Head of Department 3,55849,58083,Teaching ,1.0,Operational Delivery
33,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,Senior Lecturer ,45838,47672,Training Support,1.0,Operational Delivery
34,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,Lecturer PCSPS New Contract,29258,36333,Teaching ,9.0,Operational Delivery
35,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,Head of Department 4,62881,65396,Teaching ,1.0,Operational Delivery
36,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,Chef 1/Chief Cook 1,18370,22124,Soft Facilities Management,1.0,Property and asset management
37,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,Chef 2/Chief Cook 2,18370,22124,Soft Facilities Management,1.0,Property and asset management
38,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,Fast Stream Grade Band C1,35648,44268,Business Management,1.0,Operational Delivery
39,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,TUPE General,11352,60000,Knowledge Info Management,1.0,Knowledge and Information Management (KIM)
40,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,B1,56436,72185,Combat Systems Engineering,1.0,Science and Engineering
41,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,B1,56436,72185,Decision Support,1.0,Finance
42,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,B1,56436,72185,Medical Assessment ,1.0,Medicine
43,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,B1,56436,72185,Secretariat & Private Office,1.0,Operational Delivery
44,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,B1,56436,72185,Service HR Service Provider,1.0,Human Resources
45,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,B2,47942,59535,Business Management,3.0,Operational Delivery
46,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,B2,47942,59535,Decision Support,6.0,Finance
47,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,B2,47942,59535,Historical ,3.0,Knowledge and Information Management (KIM)
48,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,1017733,B2,47942,59535,Operational Analysis,5.0,Science and Engineering
