,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Academic Profr of Music (Eng),53112,53112,Teaching ,0.94,Operational Delivery
1,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Retired Offr 2,30136,36333,Business Management,1.0,Operational Delivery
2,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Retired Offr 2,30136,36333,Community Service ,2.0,Operational Delivery
3,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Retired Offr 2,30136,36333,Direct Military Support,2.0,Operational Delivery
4,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Retired Offr 3,25600,29092,Direct Military Support,0.6,Operational Delivery
5,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Medical Offr,56436,69409,Legal ,0.81,Law
6,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Medical Offr,56436,69409,Medical Assessment ,2.0,Medicine
7,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Civilian Medical Practitioner,65071,77303,Gen Practice Medical,12.85,Medicine
8,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Instr Profr of Music (Eng),45334,45334,Teaching ,0.94,Operational Delivery
9,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Instr Profr of Music (Eng),45334,45334,Training Support,3.84,Operational Delivery
10,Ministry of Defence,Ministry of Defence,Navy Command,1105340,JNC Lvl 2 (Youth Worker) 2-10,21525,28461,Community Service ,2.0,Operational Delivery
11,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Area Officer Social Worker,47942,57245,Community Service ,1.0,Operational Delivery
12,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Associate Specialist 2008,51606,84948,Hospital Doctor/Consultant,1.0,Medicine
13,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Fast Stream Grade Band C1,35648,44268,Programme Management,1.0,Programme and Project Management (PPM)
14,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Fast Stream Grade Band C1,35648,44268,Secretariat & Private Office,1.0,Operational Delivery
15,Ministry of Defence,Ministry of Defence,Navy Command,1105340,TUPENAVYNEWS01/01/2010,11685,40000,Administrative Support,6.6,Operational Delivery
16,Ministry of Defence,Ministry of Defence,Navy Command,1105340,TUPE Gen Safety Mgmt,18370,22124,Safety Management ,3.0,Operational Delivery
17,Ministry of Defence,Ministry of Defence,Navy Command,1105340,TUPE Gen SHEF D,23427,29092,"Safety,Health,Enviroment&Fire",5.0,Operational Delivery
18,Ministry of Defence,Ministry of Defence,Navy Command,1105340,TUPE Gen SHEF C2,29258,36333,"Safety,Health,Enviroment&Fire",4.0,Operational Delivery
19,Ministry of Defence,Ministry of Defence,Navy Command,1105340,TUPE FLAG 37 01/06/12,11685,40000,Through Life Support,5.0,Operational Delivery
