,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,B1,56436,72185,Principal Private Secretary,1.0,Communications
1,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,B1,56436,72185,Principal Private Secretary,1.0,Communications
2,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,B2,47942,59535,Knowledge Information Management Manager,1.0,Knowledge and Information Management (KIM)
3,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,B2,47942,59535,Principal Private Secretary,1.0,Policy
4,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,B2,47942,59535,Senior Operational Manager,1.0,Policy
5,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,D,23427,29092,Diary Manager,1.0,Communications
6,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,D,23427,29092,Diary Manager,6.0,Policy
7,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,D MSF,23427,29092,Executive Assistant,1.0,Policy
8,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,D,23427,29092,Knowledge Information Management Manager,1.0,Knowledge and Information Management (KIM)
9,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,D,23427,29092,Executive Assistant,1.0,Science and Engineering
10,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,155792,D,23427,29092,Diary Manager,1.0,Policy
11,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C(FS),29258,44268,Private Secretary,1.0,Policy
12,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C1,35648,44268,Private Secretary,1.0,Policy
13,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C1,35648,44268,Office Manager,1.0,Policy
14,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C1,35648,44268,Operations Support Officer,1.0,Operational Delivery
15,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,155792,C1 MSF,35648,44268,Private Secretary,1.0,Policy
16,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C2,29258,36333,Private Secretary,2.0,Policy
17,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C2,29258,36333,Knowledge Information Management Support Officer,3.0,Knowledge and Information Management (KIM)
18,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C2,29258,36333,Private Secretary,1.0,Policy
19,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C2,29258,36333,Business Manager,1.0,Knowledge and Information Management (KIM)
20,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C2,29258,36333,Operations Support Officer,1.0,Operational Delivery
21,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,E1,18370,22124,Knowledge Information Management Support Officer,7.0,Knowledge and Information Management (KIM)
22,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,E1,18370,22124,Executive Assistant,1.0,Communications
23,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,E1,18370,22124,Knowledge Information Management Support Officer,3.0,Knowledge and Information Management (KIM)
24,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,E1,18370,22124,Executive Assistant,6.0,Knowledge and Information Management (KIM)
25,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,155792,E1,18370,22124,Knowledge Information Management Support Officer,1.0,Knowledge and Information Management (KIM)
26,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,E1,18370,22124,Executive Assistant,1.0,Science and Engineering
27,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,E2,15623,18815,Knowledge Information Management Support Officer,5.0,Knowledge and Information Management (KIM)
28,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,155792,OF2,37916,45090,Policy Adviser,1.0,Policy
29,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,155792,OF2,37916,45090,Policy Adviser,1.0,Policy
30,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,OF3,47760,57200,Operations Support Officer,1.0,Policy
31,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,155792,OF3,47760,57200,Operations Support Officer,1.0,Policy
32,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,OF5,81310,89408,Senior Policy Adviser,1.0,Policy
33,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,OF4,67032,77617,Senior Policy Adviser,1.0,Policy
34,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,OF5,81310,89408,Operations Support Officer,1.0,Policy
35,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,OF5,81310,89408,Senior Policy Adviser,1.0,Policy
36,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,155792,OF5,81310,89408,Senior Policy Adviser,2.0,Policy
37,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,155792,OF5,81310,89408,Senior Policy Adviser,1.0,Policy
38,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,155792,OF5,81310,89408,Senior Policy Adviser,1.0,Policy
39,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,155792,OR1-3,17265,28940,Executive Assistant,1.0,Policy
40,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,155792,OR1-3,17265,28940,Executive Assistant,1.0,Policy
41,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,155792,OR1-3,17265,28940,Executive Assistant,2.0,Policy
42,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,155792,OR4,26405,33182,Executive Assistant,1.0,Policy
43,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,OR5-6,30013,36929,Operational Manager,1.0,Policy
44,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,155792,OR5-6,30013,36929,Office Manager,1.0,Policy
45,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,155792,OR5-6,30013,36929,Policy Support Officer,1.0,Policy
46,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,155792,OR7-8,33223,43252,Executive Assistant,4.0,Policy
47,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,155792,OR7-8,33223,43252,Executive Assistant,1.0,Policy
48,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,155792,OR9,38600,46753,Policy Support Officer,1.0,Policy
49,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,B1,56436,72185,Programme Manager,3.0,Science and Engineering
50,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,B1,56436,72185,Senior Policy Adviser,1.0,Policy
51,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,B2,47942,59535,Project Manager,5.0,Science and Engineering
52,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C1 MSF,35648,44268,Project Support Officer,1.0,Science and Engineering
53,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C1,35648,44268,Policy Support Officer,1.0,Other
54,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C2,29258,36333,Project Support Officer,1.0,Science and Engineering
55,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C(FS),29258,44268,Project Support Officer,1.0,Other
56,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,OF5,81310,89408,Project Support Officer,1.0,Military
57,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,D,23427,29092,Project Support Officer,2.0,Other
58,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,D,23427,29092,Private Secretary,1.0,Other
59,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,E1,18370,22124,Project Support Officer,1.0,Other
60,Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,E2,15623,18815,Project Support Officer,1.0,Other
