,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,Admiralty Pilot,43842,51862,Port Operations ,17.36,Operational Delivery
1,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,Admiralty Pilot (Trainee),40122,45838,Port Operations ,5.0,Operational Delivery
2,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,Adult Apprentice,18010,19107,Engineering Civ Apprentices,1.0,Science and Engineering
3,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,Apprentice ,13776,17712,Engineering Civ Apprentices,179.0,Science and Engineering
4,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,Apprentice ,13776,17712,Civilian HR Service Provider,8.0,Human Resources
5,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,Apprentice ,13776,17712,Technical [Trades] ,11.0,Science and Engineering
6,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,Apprentice ,13776,17712,Through Life Support,1.0,Operational Delivery
7,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B1,56436,72185,AeroEng(Aero/Struct/Mech),2.0,Science and Engineering
8,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B1,56436,72185,AeroEng(Electronics/Avionics),2.0,Science and Engineering
9,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B1,56436,72185,Audit and Assurance,1.0,Internal Audit
10,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B1,56436,72185,Business Management,27.94,Operational Delivery
11,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B1,56436,72185,Civilian HR Service Provider,1.0,Human Resources
12,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B1,56436,72185,Combat Systems Engineering,1.0,Science and Engineering
13,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B1,56436,72185,Commercial Analysis,4.0,Procurement
14,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B1,56436,72185,Commercial Operations,53.09,Procurement
15,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B1,56436,72185,Commercial Policy ,4.0,Procurement
16,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B1,56436,72185,Commercial Strategy,2.0,Procurement
17,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B1,56436,72185,Consultancy,4.0,Operational Delivery
18,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B1,56436,72185,Decision Support,16.0,Finance
19,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B1,56436,72185,Estate Planning ,1.0,Property and asset management
20,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B1,56436,72185,Estates Management ,1.0,Property and asset management
21,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B1,56436,72185,Government Quality Assurance,2.0,Programme and Project Management (PPM)
22,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B1,56436,72185,Information Assurance,1.0,Knowledge and Information Management (KIM)
23,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B1,56436,72185,Information Technology,5.0,Information Technology
24,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B1,56436,72185,Inventory Management,1.0,Operational Delivery
25,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B1,56436,72185,Investigative Accounting,1.0,Finance
26,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B1,56436,72185,Marine Engineering ,2.59,Science and Engineering
27,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B1,56436,72185,Naval Architecture ,6.0,Science and Engineering
28,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B1,56436,72185,Nuclear Propulsion ,5.0,Science and Engineering
29,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B1,56436,72185,Nuclear Weapons,1.0,Science and Engineering
30,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B1,56436,72185,Performance Management,1.0,Internal Audit
31,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B1,56436,72185,Programme Management,93.0,Programme and Project Management (PPM)
32,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B1,56436,72185,Project Management,34.0,Programme and Project Management (PPM)
33,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B1,56436,72185,Reporting and Controls,2.0,Finance
34,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B1,56436,72185,Safety Management ,5.0,Operational Delivery
35,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B1,56436,72185,Salvage and Marine Operations,3.0,Operational Delivery
36,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B1,56436,72185,Science & Engineering policy,4.0,Science and Engineering
37,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B1,56436,72185,Secretariat & Private Office,4.0,Operational Delivery
38,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B1,56436,72185,Security Policy,1.0,Operational Delivery
39,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B1,56436,72185,Senior Ownership ,1.0,Internal Audit
40,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B1,56436,72185,Statistics ,1.0,Statisticians
41,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B1,56436,72185,Systems Engineering,6.0,Science and Engineering
42,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B1,56436,72185,Teaching ,1.0,Operational Delivery
43,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B1,56436,72185,Through Life Support,2.86,Operational Delivery
44,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B1,56436,72185,WOME Safety ,1.0,Science and Engineering
45,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B2,47942,59535,Administrative Support,1.0,Operational Delivery
46,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B2,47942,59535,AeroEng(Aero/Struct/Mech),9.0,Science and Engineering
47,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B2,47942,59535,AeroEng(Electronics/Avionics),4.0,Science and Engineering
48,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B2,47942,59535,Audit and Assurance,5.0,Internal Audit
49,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B2,47942,59535,Business Management,78.27,Operational Delivery
50,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B2,47942,59535,Civilian HR Expert ,1.0,Human Resources
51,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B2,47942,59535,Combat Systems Engineering,4.0,Science and Engineering
52,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B2,47942,59535,Commercial Analysis,7.81,Procurement
53,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B2,47942,59535,Commercial Development,2.0,Procurement
54,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B2,47942,59535,Commercial Operations,90.12,Procurement
55,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B2,47942,59535,Commercial Policy ,15.93,Procurement
56,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B2,47942,59535,Commercial Strategy,5.67,Procurement
57,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B2,47942,59535,Communication Planning,1.0,Communications
58,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B2,47942,59535,Computer Science & Engineering,1.0,Information Technology
59,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B2,47942,59535,Consultancy,8.81,Operational Delivery
60,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B2,47942,59535,Customer Services ,1.0,Operational Delivery
61,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B2,47942,59535,Decision Support,82.57,Finance
62,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B2,47942,59535,Direct Military Support,1.0,Operational Delivery
63,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B2,47942,59535,Enterprise Architect,3.0,Information Technology
64,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B2,47942,59535,Estates Management ,1.0,Property and asset management
65,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B2,47942,59535,Government Quality Assurance,7.0,Programme and Project Management (PPM)
66,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B2,47942,59535,Information Assurance,2.0,Knowledge and Information Management (KIM)
67,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B2,47942,59535,Information Technology,25.72,Information Technology
68,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B2,47942,59535,Internal Communications,1.0,Communications
69,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B2,47942,59535,Inventory Management,16.94,Operational Delivery
70,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B2,47942,59535,Investigative Accounting,7.55,Finance
71,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B2,47942,59535,Knowledge Info Management,4.79,Knowledge and Information Management (KIM)
72,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B2,47942,59535,Land Sys Eng(Elect/Electronic),1.0,Science and Engineering
73,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B2,47942,59535,Land Sys Eng(Struct/Mech),2.0,Science and Engineering
74,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B2,47942,59535,Logistics Management ,1.0,Operational Delivery
75,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B2,47942,59535,Marine Engineering ,14.91,Science and Engineering
76,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B2,47942,59535,Naval Architecture ,9.48,Science and Engineering
77,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B2,47942,59535,Nuclear Propulsion ,16.0,Science and Engineering
78,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B2,47942,59535,Nuclear Weapons,5.0,Science and Engineering
79,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B2,47942,59535,Operational Analysis,1.0,Science and Engineering
80,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B2,47942,59535,Performance Management,1.67,Internal Audit
81,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B2,47942,59535,Port Operations ,2.0,Operational Delivery
82,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B2,47942,59535,Programme Management,193.1,Programme and Project Management (PPM)
83,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B2,47942,59535,Project Management,175.35,Programme and Project Management (PPM)
84,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B2,47942,59535,Quality Management ,3.0,Programme and Project Management (PPM)
85,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B2,47942,59535,Reporting and Controls,1.0,Finance
86,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B2,47942,59535,Risk Management ,1.0,Programme and Project Management (PPM)
87,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B2,47942,59535,Safety Management ,22.0,Operational Delivery
88,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B2,47942,59535,"Safety,Health,Enviroment&Fire",1.0,Operational Delivery
89,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B2,47942,59535,Science & Engineering policy,1.0,Science and Engineering
90,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B2,47942,59535,Science&Technology Management,1.0,Science and Engineering
91,Ministry of Defence,Ministry of Defence,Defence Equipment and Support,9000,B2,47942,59535,Secretariat & Private Office,12.0,Operational Delivery
