,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Ministry of Defence,Ministry of Defence,Army,1167535,Academic Profr of Music (Eng),53112,53112,Specialist Instruction,2.0,Operational Delivery
1,Ministry of Defence,Ministry of Defence,Army,1167535,Academic Profr of Music (Eng),53112,53112,Training Support,2.0,Operational Delivery
2,Ministry of Defence,Ministry of Defence,Army,1167535,ACD Prof of Music (ENG) 46 Wks,55526,55526,Specialist Instruction,1.0,Operational Delivery
3,Ministry of Defence,Ministry of Defence,Army,1167535,Ambulance Driver,18402,21798,Driving ,4.0,Operational Delivery
4,Ministry of Defence,Ministry of Defence,Army,1167535,Ambulance Practitioner,18402,21798,Medical Technical ,5.0,Medicine
5,Ministry of Defence,Ministry of Defence,Army,1167535,Area Officer Social Worker,47942,57245,Community Service ,1.0,Operational Delivery
6,Ministry of Defence,Ministry of Defence,Army,1167535,Skill Zone 3,18010,22150,Technical [Trades] ,3.0,Science and Engineering
7,Ministry of Defence,Ministry of Defence,Army,1167535,Skill Zone 3,18010,22150,Technical [Trades] ,10.0,Science and Engineering
8,Ministry of Defence,Ministry of Defence,Army,1167535,Skill Zone 3,18010,22150,Storekeeping/WarehouseOps,3.0,Operational Delivery
9,Ministry of Defence,Ministry of Defence,Army,1167535,Assistant Head Teacher,34398,98022,Teaching ,2.0,Operational Delivery
10,Ministry of Defence,Ministry of Defence,Army,1167535,Assistant Head Teacher,34398,98022,Teaching L'ship ,4.0,Operational Delivery
11,Ministry of Defence,Ministry of Defence,Army,1167535,Aviation Offr 2,34936,36333,Transport & Movement,1.0,Operational Delivery
12,Ministry of Defence,Ministry of Defence,Army,1167535,B1,56436,72185,Business Management,5.0,Operational Delivery
13,Ministry of Defence,Ministry of Defence,Army,1167535,B1,56436,72185,Decision Support,8.0,Finance
14,Ministry of Defence,Ministry of Defence,Army,1167535,B1,56436,72185,Legal ,1.0,Law
15,Ministry of Defence,Ministry of Defence,Army,1167535,B1,56436,72185,Museum ,1.0,Knowledge and Information Management (KIM)
16,Ministry of Defence,Ministry of Defence,Army,1167535,B1,56436,72185,Occupational Psychology,1.0,Psychology
17,Ministry of Defence,Ministry of Defence,Army,1167535,B1,56436,72185,Operational Analysis,1.0,Science and Engineering
18,Ministry of Defence,Ministry of Defence,Army,1167535,B1,56436,72185,Policy advisor,1.0,Policy
19,Ministry of Defence,Ministry of Defence,Army,1167535,B1,56436,72185,Programme Management,1.0,Programme and Project Management (PPM)
20,Ministry of Defence,Ministry of Defence,Army,1167535,B1,56436,72185,Project Management,1.0,Programme and Project Management (PPM)
21,Ministry of Defence,Ministry of Defence,Army,1167535,B1,56436,72185,Secretariat & Private Office,1.0,Operational Delivery
22,Ministry of Defence,Ministry of Defence,Army,1167535,B2,47942,59535,Business Management,10.0,Operational Delivery
23,Ministry of Defence,Ministry of Defence,Army,1167535,B2,47942,59535,Commercial Operations,1.0,Procurement
24,Ministry of Defence,Ministry of Defence,Army,1167535,B2,47942,59535,Decision Support,7.0,Finance
25,Ministry of Defence,Ministry of Defence,Army,1167535,B2,47942,59535,Information Technology,1.0,Information Technology
26,Ministry of Defence,Ministry of Defence,Army,1167535,B2,47942,59535,Internal Communications,1.0,Communications
27,Ministry of Defence,Ministry of Defence,Army,1167535,B2,47942,59535,Knowledge Info Management,1.0,Knowledge and Information Management (KIM)
28,Ministry of Defence,Ministry of Defence,Army,1167535,B2,47942,59535,Occupational Psychology,1.0,Psychology
