,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Benefits & Credits,OD112,Higher Officer,28636,37105,Tax Officer,1.0,Operational Delivery
1,Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Benefits & Credits,OD112,Higher Officer,28636,37105,Team Leader,4.0,Operational Delivery
2,Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Benefits & Credits,OD112,Officer,22669,30331,Manager,1.0,Operational Delivery
3,Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Benefits & Credits,OD112,Officer,22669,30331,Officer,10.67,Operational Delivery
4,Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Benefits & Credits,OD112,Officer,22669,30331,Personal Assistant,1.0,Operational Delivery
5,Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Benefits & Credits,OD112,Senior Officer,35232,42856,Operational Researcher,2.94,Operational Delivery
6,Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Benefits & Credits,OD112,Senior Officer,35232,42856,Senior Analyst,1.0,Operational Delivery
7,Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Benefits & Credits,OD112,Senior Officer,35232,42856,Senior Officer,3.0,Operational Delivery
8,Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Benefits & Credits,OD112,Senior Officer,35232,42856,Team Leader,2.0,Operational Delivery
9,Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Benefits & Credits,OD113,Assistant Officer,17830,23892,Assistant Officer,1.0,Operational Delivery
10,Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Benefits & Credits,OD113,Assistant Officer,17830,23892,Operations Support Officer,1.0,Operational Delivery
11,Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Benefits & Credits,OD113,Grade 6,57573,74209,Grade 6,3.5,Operational Delivery
12,Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Benefits & Credits,OD113,Grade 7,46983,61590,Grade 7,0.8,Operational Delivery
13,Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Benefits & Credits,OD113,Grade 7,46983,61590,Head,0.92,Operational Delivery
14,Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Benefits & Credits,OD113,Grade 7,46983,61590,Senior Operational Researcher,2.0,Operational Delivery
15,Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Benefits & Credits,OD113,Grade 7,46983,61590,Senior Policy Adviser,2.0,Operational Delivery
16,Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Benefits & Credits,OD113,Higher Officer,28636,37105,Adviser,5.0,Operational Delivery
17,Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Benefits & Credits,OD113,Higher Officer,28636,37105,Business Manager,1.0,Operational Delivery
18,Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Benefits & Credits,OD113,Higher Officer,28636,37105,Higher Officer,5.35,Operational Delivery
19,Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Benefits & Credits,OD113,Higher Officer,28636,37105,Policy Adviser,1.81,Operational Delivery
20,Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Benefits & Credits,OD113,Higher Officer,28636,37105,Statistician,2.0,Operational Delivery
21,Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Benefits & Credits,OD113,Officer,22669,30331,Adviser,1.0,Operational Delivery
22,Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Benefits & Credits,OD113,Officer,22669,30331,Legal Adviser,1.0,Operational Delivery
23,Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Benefits & Credits,OD113,Officer,22669,30331,Manager,1.0,Operational Delivery
24,Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Benefits & Credits,OD113,Senior Officer,35232,42856,Senior Officer,1.0,Operational Delivery
25,Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Benefits & Credits,OD113,Senior Officer,35232,42856,Senior Policy Adviser,3.0,Operational Delivery
26,Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Benefits & Credits,OD113,Senior Officer,35232,42856,Senior Statistician,1.0,Operational Delivery
27,Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Benefits & Credits,OD115,Assistant Officer,17830,23892,Assistant Officer,1.0,Operational Delivery
28,Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Benefits & Credits,OD115,Assistant Officer,17830,23892,Operations Support Officer,0.95,Operational Delivery
29,Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Benefits & Credits,OD115,Grade 6,57573,74209,Grade 6,2.0,Operational Delivery
30,Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Benefits & Credits,OD115,Grade 7,46983,61590,Grade 7,1.0,Operational Delivery
31,Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Benefits & Credits,OD115,Grade 7,46983,61590,Senior Manager,1.0,Operational Delivery
32,Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Benefits & Credits,OD115,Higher Officer,28636,37105,Higher Officer,2.0,Operational Delivery
33,Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Benefits & Credits,OD115,Officer,22669,30331,Officer,2.0,Operational Delivery
34,Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Benefits & Credits,OD115,Senior Officer,35232,42856,Business Manager,1.0,Operational Delivery
35,Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Benefits & Credits,OD115,Senior Officer,35232,42856,Senior Officer,1.81,Operational Delivery
36,Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Benefits & Credits,OD116,Admin Assistant,14755,20465,Admin Assistant,1.92,Operational Delivery
