,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Department for Business Innovation and Skills,Land Registry,Chief Exec's Office,1,EO,22687,26938,Communications Support Officer,4.0,Communications
1,Department for Business Innovation and Skills,Land Registry,Chief Exec's Office,1,EO,22687,26938,Project Support Officer,1.0,Operational Delivery
2,Department for Business Innovation and Skills,Land Registry,Chief Exec's Office,1,HEO,26490,33069,Communications Officer,10.62,Communications
3,Department for Business Innovation and Skills,Land Registry,Chief Exec's Office,1,SEO,32974,48090,Communications Manager,6.46,Communications
4,Department for Business Innovation and Skills,Land Registry,Chief Exec's Office,1,SEO,32974,48090,Project Support Officer,1.0,Operational Delivery
5,Department for Business Innovation and Skills,Land Registry,Chief Exec's Office,1,G7,49369,64109,Private Secretary,1.0,Operational Delivery
6,Department for Business Innovation and Skills,Land Registry,Chief Exec's Office,1,G7,49369,64109,Senior Communications Manager,2.0,Communications
7,Department for Business Innovation and Skills,Land Registry,Chief Exec's Office,1,G6,60383,72816,Executive to the Board,3.0,Operational Delivery
8,Department for Business Innovation and Skills,Land Registry,Information Systems,2,AO,19399,22459,Computer Operator,9.69,Information Technology
9,Department for Business Innovation and Skills,Land Registry,Information Systems,2,EO,22687,26938,IT Support Officer,139.11,Information Technology
10,Department for Business Innovation and Skills,Land Registry,Information Systems,2,HEO,26490,33069,IT Officer,131.76,Information Technology
11,Department for Business Innovation and Skills,Land Registry,Information Systems,2,SEO,32974,48090,IT Manager,74.56,Information Technology
12,Department for Business Innovation and Skills,Land Registry,Information Systems,2,G7,49369,64109,Senior IT Manager,10.0,Information Technology
13,Department for Business Innovation and Skills,Land Registry,Information Systems,2,G6,60383,72816,Senior IT Manager,4.0,Information Technology
14,Department for Business Innovation and Skills,Land Registry,HR Directorate,3,AO,19399,22459,HR Support Officer,3.62,Human Resources
15,Department for Business Innovation and Skills,Land Registry,HR Directorate,3,EO,22687,26938,HR Officer,12.58,Human Resources
16,Department for Business Innovation and Skills,Land Registry,HR Directorate,3,EO,22687,26938,Assistant Property Asset Manager,0.81,Human Resources
17,Department for Business Innovation and Skills,Land Registry,HR Directorate,3,EO,22687,26938,Facilities Officer,2.0,Human Resources
18,Department for Business Innovation and Skills,Land Registry,HR Directorate,3,HEO,26490,33069,HR Officer,19.49,Human Resources
19,Department for Business Innovation and Skills,Land Registry,HR Directorate,3,HEO,26490,33069,Facilities Manager,1.0,Human Resources
20,Department for Business Innovation and Skills,Land Registry,HR Directorate,3,HEO,26490,33069,Property Asset Manager,0.95,Human Resources
21,Department for Business Innovation and Skills,Land Registry,HR Directorate,3,SEO,32974,48090,Senior HR Officer,22.74,Human Resources
22,Department for Business Innovation and Skills,Land Registry,HR Directorate,3,SEO,32974,48090,P&I Manager,9.0,Human Resources
23,Department for Business Innovation and Skills,Land Registry,HR Directorate,3,SEO,32974,48090,Property Asset Manager,3.0,Human Resources
24,Department for Business Innovation and Skills,Land Registry,HR Directorate,3,SEO,32974,48090,Facilities Manager,6.0,Human Resources
25,Department for Business Innovation and Skills,Land Registry,HR Directorate,3,G7,49369,64109,Senior HR Manager,7.0,Human Resources
26,Department for Business Innovation and Skills,Land Registry,HR Directorate,3,G7,49369,64109,Senior P&I Manager,1.0,Human Resources
27,Department for Business Innovation and Skills,Land Registry,HR Directorate,3,G7,49369,64109,Senior Facilities Manager,2.0,Human Resources
28,Department for Business Innovation and Skills,Land Registry,HR Directorate,3,G6,60383,72816,Senior HR Manager,3.0,Human Resources
29,Department for Business Innovation and Skills,Land Registry,HR Directorate,3,G6,60383,72816,Senior Property Asset Manager,1.0,Human Resources
30,Department for Business Innovation and Skills,Land Registry,Legal Services Group,4,EO,22687,26938,Personal Assistant,1.0,Law
31,Department for Business Innovation and Skills,Land Registry,Legal Services Group,4,EO,22687,26938,Investigations Officer,1.0,Law
32,Department for Business Innovation and Skills,Land Registry,Legal Services Group,4,EO,22687,26938,Project Support Officer,4.19,Law
33,Department for Business Innovation and Skills,Land Registry,Legal Services Group,4,EO,22687,26938,Research Officer,8.06,Law
34,Department for Business Innovation and Skills,Land Registry,Legal Services Group,4,EO,22687,26938,Survey and Mapping Officer,2.0,Law
35,Department for Business Innovation and Skills,Land Registry,Legal Services Group,4,HEO,26490,33069,Executive Support,0.43,Law
36,Department for Business Innovation and Skills,Land Registry,Legal Services Group,4,HEO,26490,33069,Investigations Officer,1.0,Law
37,Department for Business Innovation and Skills,Land Registry,Legal Services Group,4,HEO,26490,33069,Project Support Officer,3.81,Law
38,Department for Business Innovation and Skills,Land Registry,Legal Services Group,4,HEO,26490,33069,Survey and Mapping Officer,1.0,Law
39,Department for Business Innovation and Skills,Land Registry,Legal Services Group,4,HEO,26490,33069,Research Officer,4.81,Law
40,Department for Business Innovation and Skills,Land Registry,Legal Services Group,4,SEO,32974,48090,Survey and Mapping Manager,4.74,Law
41,Department for Business Innovation and Skills,Land Registry,Legal Services Group,4,SEO,32974,48090,Senior Research Officer,1.86,Law
42,Department for Business Innovation and Skills,Land Registry,Legal Services Group,4,SEO,32974,48090,Project Manager,13.81,Law
43,Department for Business Innovation and Skills,Land Registry,Legal Services Group,4,SEO,32974,48090,Senior Investigation Officer,1.0,Law
44,Department for Business Innovation and Skills,Land Registry,Legal Services Group,4,G7,49369,64109,Survey and Mapping Manager,1.0,Law
45,Department for Business Innovation and Skills,Land Registry,Legal Services Group,4,G7,49369,64109,Senior Project Manager,1.0,Law
46,Department for Business Innovation and Skills,Land Registry,Legal Services Group,4,G7,49369,64109,Lawyer,2.83,Law
47,Department for Business Innovation and Skills,Land Registry,Legal Services Group,4,G6,60383,72816,Survey and Mapping Manager,1.0,Law
48,Department for Business Innovation and Skills,Land Registry,Operations Directorate,5,AA,16663,19723,Registration Assistant,1.49,Operational Delivery
49,Department for Business Innovation and Skills,Land Registry,Operations Directorate,5,AO,19399,22459,Registration Officer,108.49,Operational Delivery
50,Department for Business Innovation and Skills,Land Registry,Operations Directorate,5,EO,22687,26938,Operational Caseworker,1769.25,Operational Delivery
51,Department for Business Innovation and Skills,Land Registry,Operations Directorate,5,HEO,26490,33069,Operational Caseworker,968.36,Operational Delivery
52,Department for Business Innovation and Skills,Land Registry,Operations Directorate,5,SEO,32974,48090,Senior Operational Caseworker,282.66,Operational Delivery
53,Department for Business Innovation and Skills,Land Registry,Operations Directorate,5,G7,49369,64109,Senior Operational Manager,21.6,Operational Delivery
54,Department for Business Innovation and Skills,Land Registry,Operations Directorate,5,G6,60383,72816,Senior Operational Manager,8.0,Operational Delivery
55,Department for Business Innovation and Skills,Land Registry,Finance Directorate,6,AO,19399,22459,Finance Support Officer,7.4,Finance
56,Department for Business Innovation and Skills,Land Registry,Finance Directorate,6,EO,22687,26938,Finance Officer,11.56,Finance
57,Department for Business Innovation and Skills,Land Registry,Finance Directorate,6,HEO,26490,33069,Finance Manager,17.97,Finance
58,Department for Business Innovation and Skills,Land Registry,Finance Directorate,6,SEO,32974,48090,Senior Finance Manager,14.57,Finance
59,Department for Business Innovation and Skills,Land Registry,Finance Directorate,6,G7,49369,64109,Senior Finance Manager,3.0,Finance
60,Department for Business Innovation and Skills,Land Registry,Finance Directorate,6,G6,60383,72816,Assistant Head of Finance,3.0,Finance
61,Department for Business Innovation and Skills,Land Registry,Commercial and Customer Directorate,7,AO,19399,22459,Business Development Executive,4.39,Operational Research
62,Department for Business Innovation and Skills,Land Registry,Commercial and Customer Directorate,7,EO,22687,26938,Customer Service Officer,2.0,Operational Research
