,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Department of Health,NHS Business Services Authority,Chief Executives Office,7151144,Band 2,14294,17425,Administrator,1.0,Operational Delivery
1,Department of Health,NHS Business Services Authority,Chief Executives Office,7151144,Band 3,16271,19268,Assistant,3.0,Operational Delivery
2,Department of Health,NHS Business Services Authority,Chief Executives Office,7151144,Band 5,21388,27901,Adviser,2.0,Operational Delivery
3,Department of Health,NHS Business Services Authority,Chief Executives Office,7151144,Band 5,21388,27901,Assistant,1.0,Operational Delivery
4,Department of Health,NHS Business Services Authority,Chief Executives Office,7151144,Band 6,25783,34530,Executive Assistant,1.0,Operational Delivery
5,Department of Health,NHS Business Services Authority,Chief Executives Office,7151144,Band 6,25783,34530,Manager,1.0,Operational Delivery
6,Department of Health,NHS Business Services Authority,Chief Executives Office,7151144,Band 7,30764,40558,Manager,4.0,Operational Delivery
7,Department of Health,NHS Business Services Authority,Chief Executives Office,7151144,Band 8A,39239,47088,Manager,3.0,Operational Delivery
8,Department of Health,NHS Business Services Authority,Chief Executives Office,7151144,Band 8D,65922,81618,Manager,1.0,Operational Delivery
9,Department of Health,NHS Business Services Authority,Commercial,13636203,Level 4,35868,45325,Manager,1.0,Operational Delivery
10,Department of Health,NHS Business Services Authority,Commercial,13636203,Band 3,16271,19268,Administrator,1.0,Operational Delivery
11,Department of Health,NHS Business Services Authority,Commercial,13636203,Band 4,18838,22016,Administrator,2.0,Operational Delivery
12,Department of Health,NHS Business Services Authority,Commercial,13636203,Band 6,25783,34530,Communications Support Officer,4.0,Operational Delivery
13,Department of Health,NHS Business Services Authority,Commercial,13636203,Band 6,25783,34530,Assistant,6.0,Operational Delivery
14,Department of Health,NHS Business Services Authority,Commercial,13636203,Band 7,30764,40558,Communications Manager,1.0,Operational Delivery
15,Department of Health,NHS Business Services Authority,Commercial,13636203,Band 7,30764,40558,Manager,2.93,Operational Delivery
16,Department of Health,NHS Business Services Authority,Commercial,13636203,Band 8A,39239,47088,Project Manager,1.0,Operational Delivery
17,Department of Health,NHS Business Services Authority,Commercial,13636203,Band 8A,39239,47088,Senior Communications Manager,1.0,Operational Delivery
18,Department of Health,NHS Business Services Authority,Commercial,13636203,Band 8A,39239,47088,Procurement Manager,11.0,Operational Delivery
19,Department of Health,NHS Business Services Authority,Commercial,13636203,Band 8A,39239,47088,Senior Analyst,1.0,Operational Delivery
20,Department of Health,NHS Business Services Authority,Commercial,13636203,Band 8C,54998,67805,Senior Procurement Manager,5.0,Operational Delivery
