,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,"Department for Environment, Food and Rural Affairs",Joint Nature Conservation Committee,Directorate,MD001,AA,15031,16460,Not In Post,1.0,Human Resources
1,"Department for Environment, Food and Rural Affairs",Joint Nature Conservation Committee,Directorate,MD001,AA,15031,16460,Not In Post,1.0,Knowledge and Information Management (KIM)
2,"Department for Environment, Food and Rural Affairs",Joint Nature Conservation Committee,Directorate,MD001,AA,15031,16460,Not In Post,1.0,Science and Engineering
3,"Department for Environment, Food and Rural Affairs",Joint Nature Conservation Committee,Directorate,MD001,AA,15031,16460,Administrative Assistant,1.0,Science and Engineering
4,"Department for Environment, Food and Rural Affairs",Joint Nature Conservation Committee,Directorate,MD001,AA,15031,16460,Administrative Assistant,2.18,Knowledge and Information Management (KIM)
5,"Department for Environment, Food and Rural Affairs",Joint Nature Conservation Committee,Directorate,MD001,AA,15031,16460,Administrative Assistant,1.0,Information Technology
6,"Department for Environment, Food and Rural Affairs",Joint Nature Conservation Committee,Directorate,MD001,AO,17339,20162,Administrative Officer,4.76,Science and Engineering
7,"Department for Environment, Food and Rural Affairs",Joint Nature Conservation Committee,Directorate,MD001,AO,17339,20162,Administrative Officer,1.0,Finance
8,"Department for Environment, Food and Rural Affairs",Joint Nature Conservation Committee,Directorate,MD001,AO,17339,20162,Administrative Officer,0.6,Information Technology
9,"Department for Environment, Food and Rural Affairs",Joint Nature Conservation Committee,Directorate,MD001,AO,17339,20162,Administrative Officer,1.0,Human Resources
10,"Department for Environment, Food and Rural Affairs",Joint Nature Conservation Committee,Directorate,MD001,AO,17339,20162,Administrative Officer,1.0,Knowledge and Information Management (KIM)
11,"Department for Environment, Food and Rural Affairs",Joint Nature Conservation Committee,Directorate,MD001,AO,17339,20162,Administrative Officer,0.5,Communications
12,"Department for Environment, Food and Rural Affairs",Joint Nature Conservation Committee,Directorate,MD001,6,51463,61964,Director of Corporate Services,1.0,Knowledge and Information Management (KIM)
13,"Department for Environment, Food and Rural Affairs",Joint Nature Conservation Committee,Directorate,MD001,6,51463,61964,Director of Marine Evidence,1.0,Science and Engineering
14,"Department for Environment, Food and Rural Affairs",Joint Nature Conservation Committee,Directorate,MD001,6,51463,61964,Director of Marine Advice ,1.0,Science and Engineering
15,"Department for Environment, Food and Rural Affairs",Joint Nature Conservation Committee,Directorate,MD001,6,51463,61964,Director of Evidence and Advice,1.0,Science and Engineering
16,"Department for Environment, Food and Rural Affairs",Joint Nature Conservation Committee,Directorate,MD001,7,43268,52097,Not In Post,2.0,Science and Engineering
