,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Attorney General's Office,Attorney General's Office,Business Support Team,AGO2,AO,21210,22440,Operations Support Officer,1.67,Operational Delivery
1,Attorney General's Office,Attorney General's Office,Business Support Team,AGO2,EO,24370,27959,Operations Support Officer,1.0,Operational Delivery
2,Attorney General's Office,Attorney General's Office,Business Support Team,AGO2,G7,47557,57018,Operational Manager,1.0,Operational Delivery
3,Attorney General's Office,Attorney General's Office,Business Support Team,AGO2,HEO,28747,32997,Operations Support Officer,1.0,Operational Delivery
4,Attorney General's Office,Attorney General's Office,Business Support Team,AGO2,SEO,35163,40351,Operations Support Officer,1.0,Operational Delivery
5,Attorney General's Office,Attorney General's Office,Public & Civil Law Team,AGO3,AO,21210,22440,Operations Support Officer,1.0,Operational Delivery
6,Attorney General's Office,Attorney General's Office,Public & Civil Law Team,AGO3,G6,59778,71666,Legal Support Officer,4.0,Law
7,Attorney General's Office,Attorney General's Office,Public & Civil Law Team,AGO3,G7,47557,57018,Senior Legal Adviser,1.0,Law
8,Attorney General's Office,Attorney General's Office,Criminal Law & Policy Team,AGO4,AO,21210,22440,Operational Manager,1.0,Operational Delivery
9,Attorney General's Office,Attorney General's Office,Criminal Law & Policy Team,AGO4,EO,24370,27959,Operations Support Officer,2.0,Operational Delivery
10,Attorney General's Office,Attorney General's Office,Criminal Law & Policy Team,AGO4,G6,59778,71666,Senior Legal Adviser,7.61,Law
11,Attorney General's Office,Attorney General's Office,"Private Office, Press Office, Parliamentary and Correspondence",AGO1,AO,21210,22440,Operations Support Officer,1.0,Operational Delivery
12,Attorney General's Office,Attorney General's Office,"Private Office, Press Office, Parliamentary and Correspondence",AGO1,EO,24370,27959,Operations Support Officer,3.0,Operational Delivery
13,Attorney General's Office,Attorney General's Office,"Private Office, Press Office, Parliamentary and Correspondence",AGO1,G6,59778,71666,Operational Manager,1.0,Operational Delivery
14,Attorney General's Office,Attorney General's Office,"Private Office, Press Office, Parliamentary and Correspondence",AGO1,G7,47557,57018,Operational Manager,1.0,Operational Delivery
15,Attorney General's Office,Attorney General's Office,"Private Office, Press Office, Parliamentary and Correspondence",AGO1,HEO,28747,32997,Operations Support Officer,2.0,Operational Delivery
16,Attorney General's Office,Attorney General's Office,"Private Office, Press Office, Parliamentary and Correspondence",AGO1,SEO,35163,40351,Operations Support Officer,3.0,Operational Delivery
