,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Executive,1,AO,18398,23045,Administrative Officer,6.6,Other
1,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Executive,1,EO,22698,29063,Executive Officer,4.5,Other
2,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Executive,1,EO,22698,29063,Scientific Officer,0.92,Science and Engineering
3,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Executive,1,HEO,27013,34930,Higher Executive Officer,5.0,Other
4,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Executive,1,HEO,27013,34930,Higher Scientific Officer,1.5,Science and Engineering
5,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Executive,1,SEO,33321,42968,Senior Executive Officer,1.0,Other
6,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Executive,1,SEO,33321,42968,Senior Scientific Officer,1.0,Science and Engineering
7,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Executive,1,Grade 7,43654,58007,Grade 7,1.0,Other
8,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Executive,1,Grade 7,43654,58007,Grade 7 Scientist,1.0,Science and Engineering
9,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Executive,1,Grade 6,53236,69680,Grade 6,4.0,Other
10,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Executive,1,Grade 6,53236,69680,Grade 6 Scientist,0.72,Science and Engineering
11,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Operating Officer,6,EO,22698,29063,Executive Officer,5.0,Operational Delivery
12,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Operating Officer,6,HEO,27013,34930,Higher Executive Officer,2.0,Operational Delivery
13,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Operating Officer,6,SEO,33321,42968,Senior Executive Officer,3.0,Operational Delivery
14,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Operating Officer,6,SEO,33321,42968,Veterinary Officer,1.0,Vets
15,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Operating Officer,6,Grade 7,43654,58007,Grade 7,2.0,Operational Delivery
16,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Operating Officer,6,Grade 6,53236,69680,Grade 6,1.0,Operational Delivery
17,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Operating Officer,6,Grade 6,53236,69680,Grade 6 Scientist,1.0,Science and Engineering
18,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Operating Officer,10,AA,15529,19785,Administrative Assistant,7.99,Operational Delivery
19,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Operating Officer,10,AA,15529,19785,Laboratory Attendant,1.0,Science and Engineering
20,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Operating Officer,10,AO,18398,23045,Administrative Officer,165.52,Operational Delivery
21,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Operating Officer,10,AO,18398,23045,Assistant Scientific Officer,5.0,Science and Engineering
22,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Operating Officer,10,EO,22698,29063,Animal Health Officer,23.26,Operational Delivery
23,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Operating Officer,10,EO,22698,29063,Executive Officer,28.84,Operational Delivery
24,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Operating Officer,10,EO,22698,29063,Scientific Officer,1.0,Science and Engineering
25,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Operating Officer,10,HEO,27013,34930,Higher Executive Officer,15.8,Operational Delivery
26,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Operating Officer,10,HEO,27013,34930,Higher Scientific Officer,1.0,Science and Engineering
27,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Operating Officer,10,HEO,27013,34930,Technical Team Leader,0.43,Operational Delivery
28,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Operating Officer,10,HEO,27013,34930,Veterinary Inspector,5.0,Vets
29,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Operating Officer,10,SEO,33321,42968,Senior Executive Officer,5.98,Operational Delivery
30,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Operating Officer,10,SEO,33321,42968,Senior Veterinary Inspector,10.0,Vets
31,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Operating Officer,10,SEO,33321,42968,Veterinary Investigation Officer,4.0,Vets
32,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Operating Officer,10,SEO,33321,42968,Veterinary Officer,26.07,Vets
33,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Operating Officer,10,Grade 7,43654,58007,Grade 7,6.61,Operational Delivery
34,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Operating Officer,10,Grade 6,53236,69680,Grade 6,2.0,Operational Delivery
35,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Operating Officer,10,Grade 6,53236,69680,Grade 6 Veterinarian,1.0,Vets
36,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Operating Officer,10,Grade 6,53236,69680,Regional Veterinary Lead,2.0,Vets
37,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Operating Officer,11,AA,15529,19785,Administrative Assistant,32.16,Operational Delivery
38,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Operating Officer,11,AA,15529,19785,Laboratory Attendant,2.0,Science and Engineering
39,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Operating Officer,11,AO,18398,23045,Administrative Officer,193.09,Operational Delivery
40,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Operating Officer,11,AO,18398,23045,Administrative Officer,1.0,Science and Engineering
41,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Operating Officer,11,AO,18398,23045,Assistant Scientific Officer,7.97,Science and Engineering
42,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Operating Officer,11,EO,22698,29063,Animal Health Officer,111.15,Operational Delivery
43,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Operating Officer,11,EO,22698,29063,Egg Marketing Inspector,16.2,Operational Delivery
44,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Operating Officer,11,EO,22698,29063,Executive Officer,46.95,Operational Delivery
45,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Operating Officer,11,EO,22698,29063,Scientific Officer,3.0,Science and Engineering
46,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Operating Officer,11,HEO,27013,34930,Higher Executive Officer,28.28,Operational Delivery
47,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Operating Officer,11,HEO,27013,34930,Higher Scientific Officer,2.0,Science and Engineering
48,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Operating Officer,11,HEO,27013,34930,Technical Team Leader,11.92,Operational Delivery
49,"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,Chief Operating Officer,11,HEO,27013,34930,Veterinary Inspector,18.41,Vets
