,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,"Department for Culture, Media and Sport",The Natural History Museum,Directorate,52,Band 1,65904,85582,Senior Operational Manager,1.0,Operational Delivery
1,"Department for Culture, Media and Sport",The Natural History Museum,Directorate,52,Band 3,39592,59510,Senior Policy Adviser,1.6,Policy
2,"Department for Culture, Media and Sport",The Natural History Museum,Directorate,52,Band 3,39592,59510,Senior Communications Manager,1.0,Communications
3,"Department for Culture, Media and Sport",The Natural History Museum,Directorate,52,Band 3,39592,59510,Senior Internal Auditor,1.0,Operational Delivery
4,"Department for Culture, Media and Sport",The Natural History Museum,Directorate,52,Technical & Professional 4 (TP4),36112,44442,Senior Operational Manager,5.0,Operational Delivery
5,"Department for Culture, Media and Sport",The Natural History Museum,Directorate,52,Technical & Professional 4 (TP4),36112,44442,Senior Communications Manager,1.0,Communications
6,"Department for Culture, Media and Sport",The Natural History Museum,Directorate,52,Technical & Professional 3 (TP3),31113,37356,Operational Manager,11.0,Operational Delivery
7,"Department for Culture, Media and Sport",The Natural History Museum,Directorate,52,Technical & Professional 2 (TP2),26523,31844,Operations Support Officer,9.0,Operational Delivery
8,"Department for Culture, Media and Sport",The Natural History Museum,Directorate,52,Technical & Professional 2 (TP2),26523,31844,Communications Support Officer,1.0,Operational Delivery
9,"Department for Culture, Media and Sport",The Natural History Museum,Directorate,52,Technical & Professional 2 (TP2),26523,31844,Operations Support Officer,2.0,Operational Delivery
10,"Department for Culture, Media and Sport",The Natural History Museum,Finance & Corporate Services,470,Band 3,39592,59510,Senior Project Manager,0.8,Procurement
11,"Department for Culture, Media and Sport",The Natural History Museum,Finance & Corporate Services,470,Band 3,39592,59510,Senior Finance  Manager,1.0,Finance
12,"Department for Culture, Media and Sport",The Natural History Museum,Finance & Corporate Services,470,Technical & Professional 4 (TP4),36112,44442,Senior Finance  Manager,3.58,Finance
13,"Department for Culture, Media and Sport",The Natural History Museum,Finance & Corporate Services,470,Technical & Professional 3 (TP3),31113,37356,Procurement Officer,1.0,Procurement
14,"Department for Culture, Media and Sport",The Natural History Museum,Finance & Corporate Services,470,Technical & Professional 3 (TP3),31113,37356,Finance Officer,1.0,Finance
15,"Department for Culture, Media and Sport",The Natural History Museum,Finance & Corporate Services,470,Technical & Professional 2 (TP2),26523,31844,Finance Support Officer,5.0,Finance
16,"Department for Culture, Media and Sport",The Natural History Museum,Finance & Corporate Services,470,Technical & Professional 1 (TP1),23480,27483,Finance Support Officer,1.0,Finance
17,"Department for Culture, Media and Sport",The Natural History Museum,Finance & Corporate Services,470,Administrative B (Admin B),20721,23368,Finance Support Officer,2.8,Finance
18,"Department for Culture, Media and Sport",The Natural History Museum,Finance & Corporate Services,470,Band 2,51284,71099,Senior Operational Manager,1.0,Property and asset management
19,"Department for Culture, Media and Sport",The Natural History Museum,Finance & Corporate Services,470,Band 3,39592,59510,Senior Operational Manager,3.0,Property and asset management
20,"Department for Culture, Media and Sport",The Natural History Museum,Finance & Corporate Services,470,Technical & Professional 4 (TP4),36112,44442,Operational Manager,2.0,Property and asset management
21,"Department for Culture, Media and Sport",The Natural History Museum,Finance & Corporate Services,470,Technical & Professional 3 (TP3),31113,37356,Operational Manager,4.0,Property and asset management
22,"Department for Culture, Media and Sport",The Natural History Museum,Finance & Corporate Services,470,Technical & Professional 3 (TP3),31113,37356,Technical Adviser,1.0,Property and asset management
23,"Department for Culture, Media and Sport",The Natural History Museum,Finance & Corporate Services,470,Technical & Professional 2 (TP2),26523,31844,Operations Support Officer,1.0,Property and asset management
24,"Department for Culture, Media and Sport",The Natural History Museum,Finance & Corporate Services,470,Technical & Professional 2 (TP2),26523,31844,Technical Support Officer,1.0,Property and asset management
25,"Department for Culture, Media and Sport",The Natural History Museum,Finance & Corporate Services,470,Band 2,51284,71099,Senior HR Manager,1.0,Human Resources
26,"Department for Culture, Media and Sport",The Natural History Museum,Finance & Corporate Services,470,Band 3,39592,59510,Senior HR Manager,2.53,Human Resources
27,"Department for Culture, Media and Sport",The Natural History Museum,Finance & Corporate Services,470,Band 3,39592,59510,Senior H&S Manager,1.0,Human Resources
28,"Department for Culture, Media and Sport",The Natural History Museum,Finance & Corporate Services,470,Technical & Professional 4 (TP4),36112,44442,Senior H&S Adviser,2.0,Human Resources
29,"Department for Culture, Media and Sport",The Natural History Museum,Finance & Corporate Services,470,Technical & Professional 3 (TP3),31113,37356,HR Officer,4.0,Human Resources
30,"Department for Culture, Media and Sport",The Natural History Museum,Finance & Corporate Services,470,Technical & Professional 2 (TP2),26523,31844,HR Support Officer,2.0,Human Resources
31,"Department for Culture, Media and Sport",The Natural History Museum,Finance & Corporate Services,470,Technical & Professional 1 (TP1),23480,27483,HR Support Officer,1.0,Human Resources
32,"Department for Culture, Media and Sport",The Natural History Museum,Finance & Corporate Services,470,Administrative B (Admin B),20721,23368,HR Support Officer,1.0,Human Resources
33,"Department for Culture, Media and Sport",The Natural History Museum,Finance & Corporate Services,470,Band 2,51284,71099,Senior Information Manager,1.0,Information Technology
34,"Department for Culture, Media and Sport",The Natural History Museum,Finance & Corporate Services,470,Band 3,39592,59510,Senior IT Manager,2.0,Information Technology
35,"Department for Culture, Media and Sport",The Natural History Museum,Finance & Corporate Services,470,Technical & Professional 4 (TP4),36112,44442,Senior Technical Adviser,9.0,Information Technology
36,"Department for Culture, Media and Sport",The Natural History Museum,Finance & Corporate Services,470,Technical & Professional 3 (TP3),31113,37356,Technical Adviser,8.0,Information Technology
37,"Department for Culture, Media and Sport",The Natural History Museum,Finance & Corporate Services,470,Technical & Professional 2 (TP2),26523,31844,Technical Adviser,2.0,Information Technology
38,"Department for Culture, Media and Sport",The Natural History Museum,Finance & Corporate Services,470,Technical & Professional 2 (TP2),26523,31844,Operations Support Officer,1.0,Information Technology
39,"Department for Culture, Media and Sport",The Natural History Museum,Finance & Corporate Services,470,Technical & Professional 1 (TP1),23480,27483,Technical Support Officer,1.0,Information Technology
40,"Department for Culture, Media and Sport",The Natural History Museum,Finance & Corporate Services,470,Technical B,20721,23368,IT Support Officer,1.0,Information Technology
41,"Department for Culture, Media and Sport",The Natural History Museum,Finance & Corporate Services,470,Technical B,20721,23368,Technical Support Officer,2.0,Information Technology
42,"Department for Culture, Media and Sport",The Natural History Museum,Finance & Corporate Services,470,Band 1,65904,85582,Senior Operational Manager,1.0,Programme and Project Management (PPM)
43,"Department for Culture, Media and Sport",The Natural History Museum,Finance & Corporate Services,470,Band 3,39592,59510,Senior Operational Manager,1.0,Programme and Project Management (PPM)
44,"Department for Culture, Media and Sport",The Natural History Museum,Finance & Corporate Services,470,Technical & Professional 4 (TP4),36112,44442,Senior Project Manager,3.0,Programme and Project Management (PPM)
45,"Department for Culture, Media and Sport",The Natural History Museum,Finance & Corporate Services,470,Technical & Professional 3 (TP3),31113,37356,Project Manager,8.6,Programme and Project Management (PPM)
