,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Ministry of Justice,National Offender Management Service (NOMS),Bullingdon,28,AA & equivalent,12894,19280,Administrator,4.31,Operational Delivery
1,Ministry of Justice,National Offender Management Service (NOMS),Bullingdon,28,AA & equivalent,12894,19280,Operations Support Officer,2.81,Operational Delivery
2,Ministry of Justice,National Offender Management Service (NOMS),Bullingdon,28,AO & equivalent,14588,31138,Administrator,33.72,Operational Delivery
3,Ministry of Justice,National Offender Management Service (NOMS),Bullingdon,28,Custodial Manager,31672,33527,Custodial Manager,14.0,Operational Delivery
4,Ministry of Justice,National Offender Management Service (NOMS),Bullingdon,28,EO & equivalent,19507,28090,Administrative Manager,3.95,Operational Delivery
5,Ministry of Justice,National Offender Management Service (NOMS),Bullingdon,28,EO & equivalent,19507,28090,Instructional Officer,3.32,Operational Delivery
6,Ministry of Justice,National Offender Management Service (NOMS),Bullingdon,28,EO & equivalent,19507,28090,Operations Support Officer,1.0,Operational Delivery
7,Ministry of Justice,National Offender Management Service (NOMS),Bullingdon,28,EO & equivalent,19507,28090,Psychological Assistant,9.0,Psychology
8,Ministry of Justice,National Offender Management Service (NOMS),Bullingdon,28,HEO & equivalent,21000,42945,Administrative Manager,5.95,Operational Delivery
9,Ministry of Justice,National Offender Management Service (NOMS),Bullingdon,28,HEO & equivalent,21000,42945,Chaplain,1.0,Operational Delivery
10,Ministry of Justice,National Offender Management Service (NOMS),Bullingdon,28,HEO & equivalent,21000,42945,Facilities Manager,1.0,Operational Delivery
11,Ministry of Justice,National Offender Management Service (NOMS),Bullingdon,28,HEO & equivalent,21000,42945,Finance Manager,1.0,Finance
12,Ministry of Justice,National Offender Management Service (NOMS),Bullingdon,28,HEO & equivalent,21000,42945,Psychologist,1.0,Psychology
13,Ministry of Justice,National Offender Management Service (NOMS),Bullingdon,28,Industrial Grades,13860,28090,Industrial,24.0,Operational Delivery
14,Ministry of Justice,National Offender Management Service (NOMS),Bullingdon,28,Operational Manager,24250,49900,Operational Manager ,7.0,Operational Delivery
15,Ministry of Justice,National Offender Management Service (NOMS),Bullingdon,28,Operational Support Grades,13860,19280,Operations Support Officer,63.37,Operational Delivery
16,Ministry of Justice,National Offender Management Service (NOMS),Bullingdon,28,Prison Officer,20125,28930,Prison Officer,183.34,Operational Delivery
17,Ministry of Justice,National Offender Management Service (NOMS),Bullingdon,28,Prison Officer Specialist,20125,28090,Prison Officer,6.0,Operational Delivery
