,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG201,Administrative Officer (AO),19335,25847,Knowledge Information Management Support Officer,0.61,Knowledge and Information Management (KIM)
1,Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG201,Administrative Officer (AO),19335,25847,Knowledge Information Management Support Officer,1.0,Knowledge and Information Management (KIM)
2,Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG201,Administrative Officer (AO),19335,25847,Knowledge Information Management Support Officer,1.0,Knowledge and Information Management (KIM)
3,Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG146,Administrative Officer (AO),19335,25847,HR Support Officer,0.82,Human Resources
4,Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG201,Administrative Officer (AO),19335,25847,Knowledge Information Management Support Officer,1.0,Knowledge and Information Management (KIM)
5,Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG146,Administrative Officer (AO),19335,25847,HR Support Officer,0.7,Human Resources
6,Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG201,Administrative Officer (AO),19335,25847,Knowledge Information Management Support Officer,1.0,Knowledge and Information Management (KIM)
7,Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG201,Administrative Officer (AO),19335,25847,Knowledge Information Management Support Officer,0.54,Knowledge and Information Management (KIM)
8,Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG146,Administrative Officer (AO),19335,25847,HR Support Officer,1.0,Human Resources
9,Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG146,Administrative Officer (AO),19335,25847,HR Support Officer,1.0,Human Resources
10,Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG146,Administrative Officer (AO),19335,25847,HR Support Officer,1.0,Human Resources
11,Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG221,Administrative Officer (AO),19335,25847,HR Support Officer,1.0,Human Resources
12,Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG197,Administrative Officer (AO),19335,25847,Finance Support Officer,1.0,Finance
13,Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG148,Administrative Officer (AO),19335,25847,Communications Support Officer,1.0,Communications
14,Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG218,Administrative Officer (AO),19335,25847,Statistical Support Officer,1.0,Statisticians
15,Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG197,Administrative Officer (AO),19335,25847,Finance Support Officer,1.0,Finance
16,Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG207,Administrative Officer (AO),19335,25847,HR Support Officer,1.0,Human Resources
17,Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG197,Administrative Officer (AO),19335,25847,Finance Support Officer,1.0,Finance
18,Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG197,Administrative Officer (AO),19335,25847,Finance Support Officer,1.0,Finance
19,Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG197,Administrative Officer (AO),19335,25847,Finance Support Officer,1.0,Finance
20,Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG201,Administrative Officer (AO),19335,25847,Knowledge Information Management Support Officer,1.0,Knowledge and Information Management (KIM)
21,Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG201,Administrative Officer (AO),19335,25847,Knowledge Information Management Support Officer,0.67,Knowledge and Information Management (KIM)
22,Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG197,Administrative Officer (AO),19335,25847,Finance Support Officer,1.0,Finance
23,Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG222,Administrative Officer (AO),19335,25847,Policy Support Officer,1.0,Policy
24,Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG197,Administrative Officer (AO),19335,25847,Finance Support Officer,1.0,Finance
25,Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG201,Administrative Officer (AO),19335,25847,Knowledge Information Management Support Officer,1.0,Knowledge and Information Management (KIM)
26,Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG201,Administrative Officer (AO),19335,25847,Knowledge Information Management Support Officer,1.0,Knowledge and Information Management (KIM)
27,Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG201,Administrative Officer (AO),19335,25847,Knowledge Information Management Support Officer,1.0,Knowledge and Information Management (KIM)
28,Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG197,Administrative Officer (AO),19335,25847,Finance Support Officer,1.0,Finance
29,Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG197,Administrative Officer (AO),19335,25847,Finance Support Officer,0.67,Finance
30,Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG197,Administrative Officer (AO),19335,25847,Finance Support Officer,1.0,Finance
31,Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG181,Administrative Officer (AO),19335,25847,Policy Support Officer,1.0,Policy
32,Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG197,Administrative Officer (AO),19335,25847,Finance Support Officer,1.0,Finance
33,Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG197,Administrative Officer (AO),19335,25847,Finance Support Officer,1.0,Finance
34,Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG197,Administrative Officer (AO),19335,25847,Finance Support Officer,1.0,Finance
35,Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG199,Executive Officer (EO),22279,31225,Procurement Support Officer ,0.89,Procurement
36,Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG146,Executive Officer (EO),22279,31225,HR Support Officer,0.66,Human Resources
37,Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG146,Executive Officer (EO),22279,31225,HR Support Officer,0.61,Human Resources
38,Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG201,Executive Officer (EO),22279,31225,Knowledge Information Management Support Officer,0.95,Knowledge and Information Management (KIM)
39,Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG201,Executive Officer (EO),22279,31225,IT Support Officer,1.0,Information Technology
40,Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG201,Executive Officer (EO),22279,31225,Knowledge Information Management Support Officer,1.0,Knowledge and Information Management (KIM)
41,Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG201,Executive Officer (EO),22279,31225,Knowledge Information Management Support Officer,1.0,Knowledge and Information Management (KIM)
42,Department for Communities and Local Government,Department for Communities and Local Government,Finance & Corporate Services,CLG201,Executive Officer (EO),22279,31225,Knowledge Information Management Support Officer,1.0,Knowledge and Information Management (KIM)
