,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Department of Health,Care Quality Commission,Change,seconded,A,49490,63080,Design Team Leader,1.0,Planning
1,Department of Health,Care Quality Commission,Change,seconded,A,49490,63080,ICT Transformation Service Manager,1.0,Planning
2,Department of Health,Care Quality Commission,Change,seconded,A,49490,63080,Inspection Teams Workstream Lead,1.0,Planning
3,Department of Health,Care Quality Commission,Change,seconded,A,49490,63080,Intelligence Inspection Manager (Hospitals),1.0,Planning
4,Department of Health,Care Quality Commission,Change,seconded,A,49490,63080,Intelligence Transformation Manager,1.0,Planning
5,Department of Health,Care Quality Commission,Change,seconded,A,49490,63080,Regulatory Policy Manager,2.0,Planning
6,Department of Health,Care Quality Commission,Change,seconded,A,49490,63080,Workstream Lead,0.6,Planning
7,Department of Health,Care Quality Commission,Change,seconded,B,36966,48284,Analyst Team Leader - Transformation,1.0,Planning
8,Department of Health,Care Quality Commission,Change,seconded,B,36966,48284,Analyst Team Leader (inspections),4.0,Planning
9,Department of Health,Care Quality Commission,Change,seconded,B,36966,48284,Mental Health Transformation Officer,0.6,Planning
10,Department of Health,Care Quality Commission,Change,seconded,B,36966,48284,Policy Analyst,1.0,Planning
11,Department of Health,Care Quality Commission,Change,seconded,B,36966,48284,Programme Planner,1.0,Planning
12,Department of Health,Care Quality Commission,Change,seconded,B,36966,48284,Project Accountant,0.52,Planning
13,Department of Health,Care Quality Commission,Change,seconded,B,36966,48284,Regulatory Policy Officer,3.0,Planning
14,Department of Health,Care Quality Commission,Change,seconded,C,29442,38335,Business Performance Analyst,1.0,Planning
15,Department of Health,Care Quality Commission,Change,seconded,C,29442,38335,Senior Analyst,1.0,Planning
16,Department of Health,Care Quality Commission,Change,seconded,D,24745,32376,Analyst,1.0,Planning
17,Department of Health,Care Quality Commission,Change,seconded,D,24745,32376,Project Support Officer,1.0,Planning
18,Department of Health,Care Quality Commission,Change,seconded,D,24745,32376,Project Support Officer - ratings,1.0,Planning
19,Department of Health,Care Quality Commission,Finance & Corporate Services,7183710,A,49490,63080,Estates and Facilities Manager,1.0,Finance
20,Department of Health,Care Quality Commission,Finance & Corporate Services,7183710,A,49490,63080,Finance Performance Manager,1.0,Finance
21,Department of Health,Care Quality Commission,Finance & Corporate Services,7183710,A,49490,63080,Financial Controller,1.0,Finance
22,Department of Health,Care Quality Commission,Finance & Corporate Services,7183710,A,49490,63080,Investment Appraisal Manager,1.0,Finance
23,Department of Health,Care Quality Commission,Finance & Corporate Services,7183710,B,36966,48284,Financial Accountant,1.0,Finance
24,Department of Health,Care Quality Commission,Finance & Corporate Services,7183710,B,36966,48284,Senior Business Performance Analyst,2.6,Finance
25,Department of Health,Care Quality Commission,Finance & Corporate Services,7183710,B,36966,48284,Senior Commercial Business Partner,3.0,Finance
26,Department of Health,Care Quality Commission,Finance & Corporate Services,7183710,B,36966,48284,Senior Finance Analyst,1.0,Finance
27,Department of Health,Care Quality Commission,Finance & Corporate Services,7183710,C,29442,38335,Accounts Manager,1.0,Finance
28,Department of Health,Care Quality Commission,Finance & Corporate Services,7183710,C,29442,38335,Contracts Manager,1.0,Finance
29,Department of Health,Care Quality Commission,Finance & Corporate Services,7183710,D,24745,32376,Accounts Supervisor,1.0,Finance
30,Department of Health,Care Quality Commission,Finance & Corporate Services,7183710,D,24745,32376,Building Manager (London),1.0,Finance
31,Department of Health,Care Quality Commission,Finance & Corporate Services,7183710,D,24745,32376,Building Manager (Newcastle),1.0,Finance
32,Department of Health,Care Quality Commission,Finance & Corporate Services,7183710,D,24745,32376,Business Continuity Estates Officer,1.0,Finance
33,Department of Health,Care Quality Commission,Finance & Corporate Services,7183710,D,24745,32376,Finance Reporting Analyst,1.0,Finance
34,Department of Health,Care Quality Commission,Finance & Corporate Services,7183710,D,24745,32376,Procurement Officer,2.0,Finance
35,Department of Health,Care Quality Commission,Finance & Corporate Services,7183710,E,22018,28942,Facilities Supervisor,1.0,Finance
36,Department of Health,Care Quality Commission,Finance & Corporate Services,7183710,E,22018,28942,Finance Analyst,1.0,Finance
37,Department of Health,Care Quality Commission,Finance & Corporate Services,7183710,F,18988,25609,Accounts Liaison Administrator,4.0,Finance
38,Department of Health,Care Quality Commission,Finance & Corporate Services,7183710,F,18988,25609,Billing Enquiry Administrator,5.88,Finance
39,Department of Health,Care Quality Commission,Finance & Corporate Services,7183710,G,14948,20559,Facilities Assistant,4.0,Finance
40,Department of Health,Care Quality Commission,Finance & Corporate Services,7183710,G,14948,20559,Receptionist,1.0,Finance
41,Department of Health,Care Quality Commission,Finance & Corporate Services,8444553,A,49490,63080,Application Development and Support Manager,1.0,Finance
