,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),Change Team,1,Level 5,44180,53493,Project Manager,3.0,Operational Delivery
1,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),Change Team,1,Level 6,55500,60000,Deputy Director,1.0,Operational Delivery
2,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),Chief Information Officer,9,Level 2,21056,24778,Service Support Coordinator,1.0,Communications
3,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),Chief Information Officer,9,Level 5,44180,53493,Head,1.0,Communications
4,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),Chief Information Officer,9,Level 6,55500,60000,Deputy Director,1.0,Communications
5,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Information Officer, English Regions",9,Level 3,27315,32995,Regional Programme Adviser,8.13,Communications
6,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Information Officer, English Regions",9,Level 4,34724,42000,Senior Regional Adviser,5.64,Communications
7,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Information Officer, External Affairs",9,Level 2,21056,24778,Communications Support Officer,1.58,Communications
8,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Information Officer, External Affairs",9,Level 3,27315,32995,Communications Officer,2.0,Communications
9,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Information Officer, External Affairs",9,Level 3,27315,32995,Press Officer,0.89,Communications
10,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Information Officer, External Affairs",9,Level 4,34724,42000,Communications Manager,1.0,Communications
11,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Information Officer, External Affairs",9,Level 5,44180,53493,Head,1.0,Communications
12,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Information Officer, Internal Communications",9,Level 6,55500,60000,Senior Communications Manager,0.6,Communications
13,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Information Officer, Research and Information",9,Level 2,21056,24778,Administrator,1.0,Operational Research
14,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Information Officer, Research and Information",9,Level 3,27315,32995,Review Support Officer,1.0,Operational Research
15,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Information Officer, Research and Information",9,Level 4,34724,42000,Analyst,2.0,Operational Research
16,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Information Officer, Research and Information",9,Level 4,34724,42000,Knowledge Information Management Manager,1.0,Knowledge and Information Management (KIM)
17,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Information Officer, Research and Information",9,Level 4,34724,42000,Research Manager,3.0,Operational Research
18,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Information Officer, Research and Information",9,Level 4,34724,42000,Statistician,1.0,Statisticians
19,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Information Officer, Research and Information",9,Level 5,44180,53493,Head,1.0,Operational Research
20,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Information Officer, Research and Information",9,Director,60000,90000,Director,1.0,Operational Research
21,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Information Officer, Stakeholder Management",9,Level 2,21056,24778,Service Support Coordinator,1.0,Communications
22,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Information Officer, Stakeholder Management",9,Level 3,27315,32995,Communications Officer,4.0,Communications
23,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Information Officer, Stakeholder Management",9,Level 4,34724,42000,Senior Stakeholder Relations Officer,3.0,Communications
24,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Information Officer, Stakeholder Management",9,Level 5,44180,53493,Head,1.0,Communications
25,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),Chief Legal Officer,5,Level 1,16000,19133,Administrator,1.42,Operational Delivery
26,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),Chief Legal Officer,5,Level 2,21056,24778,Administrator,1.0,Operational Delivery
27,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),Chief Legal Officer,5,Level 2,21056,24778,Service Support Coordinator,1.51,Operational Delivery
28,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),Chief Legal Officer,5,Level 3,27315,32995,Casework and Legal Litigation Officer,5.63,Operational Delivery
29,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),Chief Legal Officer,5,Level 3,27315,32995,Project Manager,1.0,Operational Delivery
30,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),Chief Legal Officer,5,Level 5,44180,53493,Head,2.0,Operational Delivery
31,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),Chief Legal Officer,5,Level 5,44180,53493,Senior Professional,7.7,Operational Delivery
32,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),Chief Legal Officer,5,Director,60000,90000,Director,1.0,Operational Delivery
33,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),Chief Operating Officer,8,Level 4,34724,42000,Policy Manager,1.0,Operational Delivery
34,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Economy and Employment",8,Level 2,21056,24778,Service Support Coordinator,2.0,Operational Delivery
35,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Economy and Employment",8,Level 3,27315,32995,Casework and Legal Litigation Officer,0.8,Operational Delivery
36,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Economy and Employment",8,Level 3,27315,32995,Policy Officer,1.0,Operational Delivery
37,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Economy and Employment",8,Level 4,34724,42000,Casework and Legal Litigation Officer,1.0,Operational Delivery
38,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Economy and Employment",8,Level 4,34724,42000,Policy Manager,3.0,Operational Delivery
39,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Economy and Employment",8,Level 5,44180,53493,Head,1.92,Operational Delivery
40,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Economy and Employment",8,Level 5,44180,53493,Senior Professional,0.92,Operational Delivery
41,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Economy and Employment",8,Director,60000,90000,Director,1.0,Operational Delivery
42,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Human Rights and Respect",8,Level 2,21056,24778,Administrator,1.0,Operational Delivery
43,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Human Rights and Respect",8,Level 3,27315,32995,Policy Officer,0.89,Operational Delivery
44,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Human Rights and Respect",8,Level 4,34724,42000,Policy Manager,0.83,Operational Delivery
45,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Human Rights and Respect",8,Level 5,44180,53493,Head,1.0,Operational Delivery
46,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Human Rights and Respect",8,Level 5,44180,53493,Programme Manager,1.0,Operational Delivery
47,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Human Rights and Respect",8,Level 5,44180,53493,Senior Professional,1.0,Operational Delivery
48,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Human Rights and Respect",8,Level 6,55500,60000,Programme Manager,1.0,Operational Delivery
49,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Human Rights and Respect",8,Director,60000,90000,Director,1.0,Operational Delivery
50,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Public Services",8,Level 2,21056,24778,Administrator,1.0,Operational Delivery
51,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Public Services",8,Level 2,21056,24778,Service Support Coordinator,0.6,Operational Delivery
52,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Public Services",8,Level 3,27315,32995,Policy Officer,5.67,Operational Delivery
53,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Public Services",8,Level 4,34724,42000,Policy Manager,6.49,Operational Delivery
54,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Public Services",8,Level 4,34724,42000,Senior Project Officer,0.81,Operational Delivery
55,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Public Services",8,Level 5,44180,53493,Head,1.63,Operational Delivery
