,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,"Department for Culture, Media and Sport",UK Anti-Doping,Business Services,6,1.0,19000,21422,BLANK,0.6,Human Resources
1,"Department for Culture, Media and Sport",UK Anti-Doping,Business Services,6,3.0,27000,33153,BLANK,1.0,Human Resources
2,"Department for Culture, Media and Sport",UK Anti-Doping,Business Services,6,5.0,40000,50495,BLANK,1.0,Human Resources
3,"Department for Culture, Media and Sport",UK Anti-Doping,Business Services,6,3.0,27000,33153,BLANK,1.0,Programme and Project Management (PPM)
4,"Department for Culture, Media and Sport",UK Anti-Doping,Business Services,6,5.0,40000,50495,BLANK,1.0,Programme and Project Management (PPM)
5,"Department for Culture, Media and Sport",UK Anti-Doping,Business Services,6,2.0,22500,27542,BLANK,1.0,Operational Delivery
6,"Department for Culture, Media and Sport",UK Anti-Doping,Business Services,6,4.0,32500,40804,BLANK,1.0,Knowledge and Information Management (KIM)
7,"Department for Culture, Media and Sport",UK Anti-Doping,Business Services,6,3.0,27000,33153,BLANK,1.0,Finance
8,"Department for Culture, Media and Sport",UK Anti-Doping,Business Services,6,2.0,22500,27542,BLANK,1.0,Finance
9,"Department for Culture, Media and Sport",UK Anti-Doping,Executive,1,2.0,22500,27542,BLANK,1.0,Operational Delivery
10,"Department for Culture, Media and Sport",UK Anti-Doping,Communications and Education,3,1.0,19000,21422,BLANK,1.0,Communications
11,"Department for Culture, Media and Sport",UK Anti-Doping,Communications and Education,3,4.0,32500,40804,BLANK,1.0,Communications
12,"Department for Culture, Media and Sport",UK Anti-Doping,Communications and Education,3,2.0,22500,27542,BLANK,1.0,Communications
13,"Department for Culture, Media and Sport",UK Anti-Doping,Communications and Education,3,4.0,32500,40804,BLANK,0.8,Communications
14,"Department for Culture, Media and Sport",UK Anti-Doping,Communications and Education,3,5.0,40000,50495,BLANK,1.0,Operational Delivery
15,"Department for Culture, Media and Sport",UK Anti-Doping,Communications and Education,3,3.0,27000,33153,BLANK,5.0,Operational Delivery
16,"Department for Culture, Media and Sport",UK Anti-Doping,Legal,5,5.0,40000,50495,BLANK,1.0,Law
17,"Department for Culture, Media and Sport",UK Anti-Doping,Legal,5,3.0,27000,33153,BLANK,1.0,Law
18,"Department for Culture, Media and Sport",UK Anti-Doping,Legal,5,2.0,22500,27542,BLANK,1.0,Law
19,"Department for Culture, Media and Sport",UK Anti-Doping,Legal,5,3.0,27000,33153,BLANK,1.0,Operational Delivery
20,"Department for Culture, Media and Sport",UK Anti-Doping,Legal,5,2.0,22500,27542,BLANK,1.0,Operational Delivery
21,"Department for Culture, Media and Sport",UK Anti-Doping,Legal,5,5.0,40000,50495,BLANK,1.0,Operational Delivery
22,"Department for Culture, Media and Sport",UK Anti-Doping,Legal,5,3.0,27000,33153,BLANK,1.0,Operational Delivery
23,"Department for Culture, Media and Sport",UK Anti-Doping,Operations,4,2.0,22500,27542,BLANK,2.0,Operational Research
24,"Department for Culture, Media and Sport",UK Anti-Doping,Operations,4,3.0,27000,33153,BLANK,4.0,Operational Delivery
25,"Department for Culture, Media and Sport",UK Anti-Doping,Operations,4,3.0,27000,33153,BLANK,2.0,Operational Delivery
26,"Department for Culture, Media and Sport",UK Anti-Doping,Operations,4,3.0,27000,33153,BLANK,1.0,Medicine
27,"Department for Culture, Media and Sport",UK Anti-Doping,Operations,4,3.0,27000,33153,BLANK,2.0,Operational Research
28,"Department for Culture, Media and Sport",UK Anti-Doping,Operations,4,4.0,32500,40804,BLANK,1.0,Operational Research
29,"Department for Culture, Media and Sport",UK Anti-Doping,Operations,4,4.0,32500,40804,BLANK,1.0,Operational Research
30,"Department for Culture, Media and Sport",UK Anti-Doping,Operations,4,5.0,40000,50495,BLANK,0.8,Operational Research
31,"Department for Culture, Media and Sport",UK Anti-Doping,Operations,4,5.0,40000,50495,BLANK,1.0,Medicine
32,"Department for Culture, Media and Sport",UK Anti-Doping,Operations,4,5.0,40000,50495,BLANK,1.0,Operational Delivery
