,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Home Office,Office of the Immigration Services Commissioner,Operational Management,oisc2,Grade 7,40000,55000,Senior Operational Manager,1.0,Operational Delivery
1,Home Office,Office of the Immigration Services Commissioner,HR and training,oisc2,SEO,30000,45000,Senior HR Manager,1.0,Operational Delivery
2,Home Office,Office of the Immigration Services Commissioner,Finance,oisc2,SEO,30000,45000,Senior Finance  Manager,0.8,Operational Delivery
3,Home Office,Office of the Immigration Services Commissioner,"Policy, publications and stakeholders",oisc2,SEO,30000,45000,Communications Manager,1.0,Operational Delivery
4,Home Office,Office of the Immigration Services Commissioner,IT,oisc2,SEO,30000,45000,Senior IT Manager,1.0,Operational Delivery
5,Home Office,Office of the Immigration Services Commissioner,Casework,oisc2,SEO,30000,45000,Operational Manager,1.0,Operational Delivery
6,Home Office,Office of the Immigration Services Commissioner,Intelligence and investigations,oisc2,HEO,20000,35000,Operational Researcher,10.5,Operational Delivery
7,Home Office,Office of the Immigration Services Commissioner,Casework,oisc2,HEO,20000,35000,Operational Researcher,15.0,Operational Delivery
8,Home Office,Office of the Immigration Services Commissioner,Casework,oisc2,EO,18000,25000,Executive Assistant,4.0,Operational Delivery
9,Home Office,Office of the Immigration Services Commissioner,Office support,oisc2,AO,15000,20000,Private Secretary,1.0,Operational Delivery
10,Home Office,Office of the Immigration Services Commissioner,IT,oisc2,HEO,20000,35000,IT Support Officer,2.0,Operational Delivery
11,Home Office,Office of the Immigration Services Commissioner,Casework,oisc2,AO,15000,20000,Operations Support Officer,8.0,Operational Delivery
12,Home Office,Office of the Immigration Services Commissioner,Intelligence and investigations,oisc2,EO,18000,25000,Operations Support Officer,4.0,Operational Delivery
13,Home Office,Office of the Immigration Services Commissioner,Office support,oisc2,HEO,20000,35000,Office Manager,5.0,Operational Delivery
14,Home Office,Office of the Immigration Services Commissioner,Casework,oisc2,HEO,20000,35000,Legal Support Officer,2.0,Operational Delivery
