,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Her Majesty's Treasury,HM Treasury,Assurance & International,21007,Specialist,28000,137500,Specialist,4.46,Policy
1,Her Majesty's Treasury,HM Treasury,Banking & Credit,23995,Range D,24578,38255,Policy Advisor,2.0,Economics
2,Her Majesty's Treasury,HM Treasury,Banking & Credit,23995,Range D,24578,38255,Policy Advisor,8.0,Policy
3,Her Majesty's Treasury,HM Treasury,Banking & Credit,23995,Range E,41550,57801,Senior Policy Advisor,5.6,Policy
4,Her Majesty's Treasury,HM Treasury,Banking & Credit,23995,Range E2,49490,60000,Senior Policy Advisor,2.0,Policy
5,Her Majesty's Treasury,HM Treasury,Banking & Credit,23995,Student,18480,18480,Student,1.0,Policy
6,Her Majesty's Treasury,HM Treasury,Banking & Financial Sector Analysis,23998,Range B,16386,21663,Policy Support Officer,1.0,Policy
7,Her Majesty's Treasury,HM Treasury,Banking & Financial Sector Analysis,23998,Range D,24578,38255,Policy Advisor,5.0,Policy
8,Her Majesty's Treasury,HM Treasury,Banking & Financial Sector Analysis,23998,Range E,41550,57801,Senior Policy Advisor,5.0,Policy
9,Her Majesty's Treasury,HM Treasury,Banking Commision Implementation,24049,Range C,18727,26720,Policy Support Officer,1.0,Policy
10,Her Majesty's Treasury,HM Treasury,Banking Commision Implementation,24049,Range D,24578,38255,Policy Advisor,4.0,Policy
11,Her Majesty's Treasury,HM Treasury,Banking Commision Implementation,24049,Range E,41550,57801,Senior Policy Advisor,3.0,Policy
12,Her Majesty's Treasury,HM Treasury,Banking Commision Implementation,24049,Range E2,49490,60000,Senior Policy Advisor,1.0,Policy
13,Her Majesty's Treasury,HM Treasury,Banking Standards and Legacy Assets,24049,Range D,24578,38255,Policy Advisor,2.0,Policy
14,Her Majesty's Treasury,HM Treasury,Banking Standards and Legacy Assets,24049,Range E,41550,57801,Senior Policy Advisor,3.0,Policy
15,Her Majesty's Treasury,HM Treasury,Budget & Tax Strategy/Directors Office/GMS,24013,Range B,16386,21663,Policy Support Officer,1.44,Policy
16,Her Majesty's Treasury,HM Treasury,Budget & Tax Strategy/Directors Office/GMS,24013,Range C,18727,26720,Policy Support Officer,3.0,Policy
17,Her Majesty's Treasury,HM Treasury,Budget & Tax Strategy/Directors Office/GMS,24013,Range D,24578,38255,Policy Advisor,8.0,Policy
18,Her Majesty's Treasury,HM Treasury,Budget & Tax Strategy/Directors Office/GMS,24013,Range E,41550,57801,Senior Policy Advisor,1.0,Operational Delivery
19,Her Majesty's Treasury,HM Treasury,Budget & Tax Strategy/Directors Office/GMS,24013,Range E,41550,57801,Senior Policy Advisor,1.0,Planning
20,Her Majesty's Treasury,HM Treasury,Budget & Tax Strategy/Directors Office/GMS,24013,Range E,41550,57801,Senior Policy Advisor,6.2,Policy
21,Her Majesty's Treasury,HM Treasury,Budget & Tax Strategy/Directors Office/GMS,24013,Range E2,49490,60000,Senior Policy Advisor,3.0,Policy
22,Her Majesty's Treasury,HM Treasury,Budget & Tax Strategy/Directors Office/GMS,24013,Student,18480,18480,Student,1.0,Policy
23,Her Majesty's Treasury,HM Treasury,Chancellors Office,23984,Range B,16386,21663,Policy Support Officer,2.0,Policy
24,Her Majesty's Treasury,HM Treasury,Chancellors Office,23984,Range C,18727,26720,Policy Support Officer,3.0,Policy
25,Her Majesty's Treasury,HM Treasury,Chancellors Office,23984,Range D,24578,38255,Policy Advisor,2.0,Policy
26,Her Majesty's Treasury,HM Treasury,Chancellors Office,23984,Range E2,49490,60000,Senior Policy Advisor,2.0,Policy
27,Her Majesty's Treasury,HM Treasury,Chief Secretary's Office,23984,Range B,16386,21663,Policy Support Officer,2.0,Policy
28,Her Majesty's Treasury,HM Treasury,Chief Secretary's Office,23984,Range C,18727,26720,Policy Support Officer,1.0,Policy
29,Her Majesty's Treasury,HM Treasury,Chief Secretary's Office,23984,Range D,24578,38255,Policy Advisor,4.0,Policy
30,Her Majesty's Treasury,HM Treasury,Chief Secretary's Office,23984,Range E2,49490,60000,Senior Policy Advisor,1.0,Policy
31,Her Majesty's Treasury,HM Treasury,COM Team,24005,Range B,16386,21663,Press Support Officer,1.0,Operational Delivery
32,Her Majesty's Treasury,HM Treasury,COM Team,24005,Range C,18727,26720,Communications Support Officer,4.0,Communications
33,Her Majesty's Treasury,HM Treasury,COM Team,24005,Range C,18727,26720,Press Support Officer,1.0,Operational Delivery
34,Her Majesty's Treasury,HM Treasury,COM Team,24005,Range D,24578,38255,Communications Manager,10.0,Communications
35,Her Majesty's Treasury,HM Treasury,COM Team,24005,Range E,41550,57801,Senior Communications Manager,4.0,Communications
36,Her Majesty's Treasury,HM Treasury,COM Team,24005,Range E2,49490,60000,Senior Communications Manager,2.0,Communications
37,Her Majesty's Treasury,HM Treasury,Commercial Secretary's Office/Director Generals Office,23984,Range C,18727,26720,Treasury Official,3.0,Policy
38,Her Majesty's Treasury,HM Treasury,Commercial Secretary's Office/Director Generals Office,23984,Range D,24578,38255,Treasury Official,2.0,Policy
39,Her Majesty's Treasury,HM Treasury,Commercial Secretary's Office/Director Generals Office,23984,Range E,41550,57801,Treasury Official,1.0,Policy
40,Her Majesty's Treasury,HM Treasury,"Competition, Markets and Regulation/GMS",24744,Range B,16386,21663,Policy Support Officer,1.0,Policy
41,Her Majesty's Treasury,HM Treasury,"Competition, Markets and Regulation/GMS",24744,Range C,18727,26720,Policy Support Officer,2.0,Policy
42,Her Majesty's Treasury,HM Treasury,"Competition, Markets and Regulation/GMS",24744,Range D,24578,38255,Policy Advisor,3.0,Policy
43,Her Majesty's Treasury,HM Treasury,"Competition, Markets and Regulation/GMS",24744,Range E,41550,57801,Senior Policy Advisor,2.0,Policy
44,Her Majesty's Treasury,HM Treasury,Contingency Planning,24006,Range C,18727,26720,Policy Support Officer,1.0,Policy
45,Her Majesty's Treasury,HM Treasury,Contingency Planning,24006,Range D,24578,38255,Policy Advisor,8.0,Policy
46,Her Majesty's Treasury,HM Treasury,Contingency Planning,24006,Range E,41550,57801,Senior Policy Advisor,0.6,Economics
47,Her Majesty's Treasury,HM Treasury,Contingency Planning,24006,Range E,41550,57801,Senior Policy Advisor,4.8,Policy
48,Her Majesty's Treasury,HM Treasury,Contingency Planning,24006,Range E2,49490,60000,Senior Policy Advisor,1.0,Policy
49,Her Majesty's Treasury,HM Treasury,Contingency Planning,24006,Student,18480,18480,Student,1.0,Policy
50,Her Majesty's Treasury,HM Treasury,"Corporate Finance, Business, Innovation & Skills",23954,Range C,18727,26720,Policy Support Officer,1.0,Policy
51,Her Majesty's Treasury,HM Treasury,"Corporate Finance, Business, Innovation & Skills",23954,Range D,24578,38255,Policy Advisor,8.0,Policy
52,Her Majesty's Treasury,HM Treasury,"Corporate Finance, Business, Innovation & Skills",23954,Range E,41550,57801,Senior Policy Advisor,1.0,Economics
53,Her Majesty's Treasury,HM Treasury,"Corporate Finance, Business, Innovation & Skills",23954,Range E,41550,57801,Senior Policy Advisor,3.0,Policy
54,Her Majesty's Treasury,HM Treasury,"Corporate Finance, Business, Innovation & Skills",23954,Student,18480,18480,Student,1.0,Policy
55,Her Majesty's Treasury,HM Treasury,Corporate Taxation,23966,Range D,24578,38255,Policy Advisor,7.0,Policy
56,Her Majesty's Treasury,HM Treasury,Corporate Taxation,23966,Range E,41550,57801,Senior Policy Advisor,7.7,Policy
57,Her Majesty's Treasury,HM Treasury,Corporate Taxation,23966,Range E2,49490,60000,Senior Policy Advisor,0.89,Policy
58,Her Majesty's Treasury,HM Treasury,Correspondence & Information Rights Team,24025,Range B,16386,21663,Treasury Official,9.0,Policy
59,Her Majesty's Treasury,HM Treasury,Correspondence & Information Rights Team,24025,Range C,18727,26720,Treasury Official,9.29,Policy
60,Her Majesty's Treasury,HM Treasury,Correspondence & Information Rights Team,24025,Range D,24578,38255,Treasury Official,6.0,Policy
61,Her Majesty's Treasury,HM Treasury,Correspondence & Information Rights Team,24025,Range E,41550,57801,Treasury Official,2.0,Policy
62,Her Majesty's Treasury,HM Treasury,Correspondence & Information Rights Team,24025,Range E2,49490,60000,Treasury Official,1.0,Policy
63,Her Majesty's Treasury,HM Treasury,Data Quality and OSCAR,24054,Range C,18727,26720,Policy Support Officer,2.0,Policy
64,Her Majesty's Treasury,HM Treasury,Data Quality and OSCAR,24054,Range D,24578,38255,Policy Advisor,3.0,Policy
65,Her Majesty's Treasury,HM Treasury,Data Quality and OSCAR,24054,Range E,41550,57801,Senior Policy Advisor,1.0,Policy
66,Her Majesty's Treasury,HM Treasury,Debt and Reserves Management/Directors Office,24001,Range B,16386,21663,Policy Support Officer,0.5,Operational Delivery
67,Her Majesty's Treasury,HM Treasury,Debt and Reserves Management/Directors Office,24001,Range D,24578,38255,Policy Advisor,3.0,Policy
68,Her Majesty's Treasury,HM Treasury,Debt and Reserves Management/Directors Office,24001,Range E,41550,57801,Senior Policy Advisor,1.0,Economics
69,Her Majesty's Treasury,HM Treasury,Debt and Reserves Management/Directors Office,24001,Range E,41550,57801,Senior Policy Advisor,1.0,Policy
70,Her Majesty's Treasury,HM Treasury,Debt and Reserves Management/Directors Office,24001,Range E2,49490,60000,Senior Policy Advisor,1.0,Policy
71,Her Majesty's Treasury,HM Treasury,Debt and Reserves Management/Directors Office,24001,Student,18480,18480,Student,1.0,Policy
72,Her Majesty's Treasury,HM Treasury,Defence Diplomacy & Intelligence,24054,Range C,18727,26720,Policy Support Officer,3.0,Policy
73,Her Majesty's Treasury,HM Treasury,Defence Diplomacy & Intelligence,24054,Range D,24578,38255,Policy Advisor,4.0,Policy
74,Her Majesty's Treasury,HM Treasury,Defence Diplomacy & Intelligence,24054,Range E,41550,57801,Senior Policy Advisor,6.0,Policy
75,Her Majesty's Treasury,HM Treasury,Devolved Countries/Directors Office/GMS,24023,Range B,16386,21663,Policy Support Officer,2.0,Policy
76,Her Majesty's Treasury,HM Treasury,Devolved Countries/Directors Office/GMS,24023,Range C,18727,26720,Policy Support Officer,5.0,Policy
77,Her Majesty's Treasury,HM Treasury,Devolved Countries/Directors Office/GMS,24023,Range D,24578,38255,Policy Advisor,2.0,Policy
78,Her Majesty's Treasury,HM Treasury,Devolved Countries/Directors Office/GMS,24023,Range E,41550,57801,Senior Policy Advisor,1.0,Planning
