,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,"Department for Culture, Media and Sport",Olympic Delivery Authority,Village and Commercial,17,Band 1.Administrative Support,21862,43723,PA / Team Administrator,1.0,Operational Delivery
1,"Department for Culture, Media and Sport",Olympic Delivery Authority,Village and Commercial,17,Band 3.Managers,43723,98378,Senior Project Manager,1.0,Programme and Project Management (PPM)
2,"Department for Culture, Media and Sport",Olympic Delivery Authority,Village and Commercial,46,Band 3.Managers,43723,98378,Commercial Assurance Manager,1.0,Operational Delivery
3,"Department for Culture, Media and Sport",Olympic Delivery Authority,Village and Commercial,47,Band 1.Administrative Support,21862,43723,Knowledge Information Management Manager,1.0,Knowledge and Information Management (KIM)
4,"Department for Culture, Media and Sport",Olympic Delivery Authority,Village and Commercial,47,Band 3.Managers,43723,98378,Legal Adviser,3.0,Law
5,"Department for Culture, Media and Sport",Olympic Delivery Authority,Village and Commercial,47,Band 1.Administrative Support,21862,43723,PA / Team Administrator,1.0,Operational Delivery
6,"Department for Culture, Media and Sport",Olympic Delivery Authority,Village and Commercial,47,Band 1.Administrative Support,21862,43723,Legal Support Officer,2.0,Law
7,"Department for Culture, Media and Sport",Olympic Delivery Authority,Finance and Corporate Services,48,Band 3.Managers,43723,98378,Senior Communications Manager,0.4,Communications
8,"Department for Culture, Media and Sport",Olympic Delivery Authority,Finance and Corporate Services,48,Band 1.Administrative Support,21862,43723,PA / Team Administrator,2.0,Operational Delivery
9,"Department for Culture, Media and Sport",Olympic Delivery Authority,Finance and Corporate Services,48,Band 1.Administrative Support,21862,43723,HR Support Officer,1.0,Human Resources
10,"Department for Culture, Media and Sport",Olympic Delivery Authority,Finance and Corporate Services,48,Band 1.Administrative Support,21862,43723,Project Support Officer,1.0,Programme and Project Management (PPM)
11,"Department for Culture, Media and Sport",Olympic Delivery Authority,Finance and Corporate Services,48,Band 3.Managers,43723,98378,Senior HR Manager,1.0,Human Resources
12,"Department for Culture, Media and Sport",Olympic Delivery Authority,Finance and Corporate Services,48,Band 2.Professionals,32793,54654,Office Manager,1.0,Operational Delivery
13,"Department for Culture, Media and Sport",Olympic Delivery Authority,Finance and Corporate Services,48,Band 2.Professionals,32793,54654,Communications Manager,1.0,Communications
14,"Department for Culture, Media and Sport",Olympic Delivery Authority,Village and Commercial,49,Band 3.Managers,43723,98378,Senior Policy Adviser,1.0,Other
15,"Department for Culture, Media and Sport",Olympic Delivery Authority,Village and Commercial,49,Band 3.Managers,43723,98378,Senior Project Manager,1.0,Programme and Project Management (PPM)
16,"Department for Culture, Media and Sport",Olympic Delivery Authority,Village and Commercial,49,Band 1.Administrative Support,21862,43723,PA / Team Administrator,1.0,Operational Delivery
17,"Department for Culture, Media and Sport",Olympic Delivery Authority,Finance and Corporate Services,50,Band 1.Administrative Support,21862,43723,Programme Support Officer,1.0,Programme and Project Management (PPM)
18,"Department for Culture, Media and Sport",Olympic Delivery Authority,Finance and Corporate Services,51,Band 1.Administrative Support,21862,43723,Finance Support Officer,2.0,Finance
19,"Department for Culture, Media and Sport",Olympic Delivery Authority,Finance and Corporate Services,51,Band 2.Professionals,32793,54654,Finance Officer,2.0,Finance
20,"Department for Culture, Media and Sport",Olympic Delivery Authority,Finance and Corporate Services,51,Band 3.Managers,43723,98378,Technical Adviser,1.0,Finance
