,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Ministry of Justice,Ministry of Justice,Criminal Justice Group,CJG1001,Band A,50534,67969,Policy Officer,0.8,Policy
1,Ministry of Justice,Ministry of Justice,Criminal Justice Group,CJG1001,Band A,50534,67969,Policy Manager,0.8,Policy
2,Ministry of Justice,Ministry of Justice,Criminal Justice Group,CJG1001,Band A,50534,67969,Policy Advisor,0.6,Policy
3,Ministry of Justice,Ministry of Justice,Criminal Justice Group,CJG1001,Band A,50534,67969,Policy Advisor,1.0,Policy
4,Ministry of Justice,Ministry of Justice,Criminal Justice Group,CJG1001,Band A,50534,67969,Policy Advisor,1.0,Policy
5,Ministry of Justice,Ministry of Justice,Criminal Justice Group,CJG1001,Band A,50534,67969,Policy Advisor,1.0,Policy
6,Ministry of Justice,Ministry of Justice,Criminal Justice Group,CJG1001,Band A,50534,67969,Policy Advisor,1.0,Policy
7,Ministry of Justice,Ministry of Justice,Criminal Justice Group,CJG1001,Band A,50534,67969,Policy Advisor,1.0,Policy
8,Ministry of Justice,Ministry of Justice,Criminal Justice Group,CJG1001,Band A,50534,67969,Policy Advisor,1.0,Policy
9,Ministry of Justice,Ministry of Justice,Criminal Justice Group,CJG1001,Band A,50534,67969,Policy Advisor,1.0,Policy
10,Ministry of Justice,Ministry of Justice,Criminal Justice Group,CJG1001,Band A,50534,67969,Policy Advisor,1.0,Policy
11,Ministry of Justice,Ministry of Justice,Criminal Justice Group,CJG1001,Band A,50534,67969,Policy Advisor,1.0,Policy
12,Ministry of Justice,Ministry of Justice,Criminal Justice Group,CJG1001,Band B,35188,44964,Policy Advisor,1.0,Policy
13,Ministry of Justice,Ministry of Justice,Criminal Justice Group,CJG1001,Band B,35188,44964,Policy Advisor,1.0,Policy
14,Ministry of Justice,Ministry of Justice,Criminal Justice Group,CJG1001,Band B,35188,44964,Policy Advisor,1.0,Policy
15,Ministry of Justice,Ministry of Justice,Criminal Justice Group,CJG1001,Band B,35188,44964,Policy Advisor,1.0,Policy
16,Ministry of Justice,Ministry of Justice,Criminal Justice Group,CJG1001,Band B,35188,44964,Policy Advisor,1.0,Policy
17,Ministry of Justice,Ministry of Justice,Criminal Justice Group,CJG1001,Band B,35188,44964,Policy Advisor,1.0,Policy
18,Ministry of Justice,Ministry of Justice,Criminal Justice Group,CJG1001,Band C,29465,36061,Policy Advisor,1.0,Policy
19,Ministry of Justice,Ministry of Justice,Criminal Justice Group,CJG1001,Band C,29465,36061,Policy Advisor,1.0,Policy
20,Ministry of Justice,Ministry of Justice,Criminal Justice Group,CJG1001,Band C,29465,36061,Policy Advisor,1.0,Policy
21,Ministry of Justice,Ministry of Justice,Criminal Justice Group,CJG1001,Fast Streamer,27500,43400,Policy Advisor,1.0,Policy
22,Ministry of Justice,Ministry of Justice,Criminal Justice Group,CJG1001,Band D,24007,28000,Correspondence Manager,1.0,Policy
23,Ministry of Justice,Ministry of Justice,Criminal Justice Group,CJG1001,Band D,24007,28000,Policy Advisor,1.0,Policy
24,Ministry of Justice,Ministry of Justice,Criminal Justice Group,CJG1001,Band D,24007,28000,Policy Advisor,1.0,Policy
