,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Department of Health,National Institute for Health and Care Excellence,Accreditation and Quality Assurance,7547856-2,Band 8C,54998,74084,Associate Director,1.0,Knowledge and Information Management (KIM)
1,Department of Health,National Institute for Health and Care Excellence,Accreditation and Quality Assurance,7547856-2,Band 8A,39239,53367,Programme Manager,1.0,Programme and Project Management (PPM)
2,Department of Health,National Institute for Health and Care Excellence,Accreditation and Quality Assurance,7547856-2,Band 8A,39239,53367,Technical Analyst,1.0,Knowledge and Information Management (KIM)
3,Department of Health,National Institute for Health and Care Excellence,Accreditation and Quality Assurance,7547856-2,Band 7,30764,46837,Project Manager,2.0,Programme and Project Management (PPM)
4,Department of Health,National Institute for Health and Care Excellence,Accreditation and Quality Assurance,7547856-2,Band 7,30764,46837,Technical Analyst,3.0,Knowledge and Information Management (KIM)
5,Department of Health,National Institute for Health and Care Excellence,Accreditation and Quality Assurance,7547856-2,Band 5,21388,33481,Coordinator,1.0,Operational Delivery
6,Department of Health,National Institute for Health and Care Excellence,Appraisals,7378802,Band 8D,65922,87897,Associate Director,4.0,Medicine
7,Department of Health,National Institute for Health and Care Excellence,Appraisals,7378802,Band 8C,54998,74084,Associate Director,1.0,Programme and Project Management (PPM)
8,Department of Health,National Institute for Health and Care Excellence,Appraisals,7378802,Band 8B,45707,62783,Technical Advisor,9.15,Medicine
9,Department of Health,National Institute for Health and Care Excellence,Appraisals,7378802,Band 8A,39239,53367,Analyst,11.0,Economics
10,Department of Health,National Institute for Health and Care Excellence,Appraisals,7378802,Band 7,30764,46837,Analyst,7.0,Economics
11,Department of Health,National Institute for Health and Care Excellence,Appraisals,7378802,Band 7,30764,46837,Project Manager,7.6,Programme and Project Management (PPM)
12,Department of Health,National Institute for Health and Care Excellence,Appraisals,7378802,Band 6,25783,40809,Assistant Project Manager,1.0,Programme and Project Management (PPM)
13,Department of Health,National Institute for Health and Care Excellence,Appraisals,7378802,Band 5,21388,33481,Coordinator,2.0,Operational Delivery
14,Department of Health,National Institute for Health and Care Excellence,Appraisals,7378802,Band 4,18838,26419,Administrator,6.0,Operational Delivery
15,Department of Health,National Institute for Health and Care Excellence,Medicines and Prescribing Centre,8882496,Consultant,75249,103613,Associate Director,0.6,Medicine
16,Department of Health,National Institute for Health and Care Excellence,Medicines and Prescribing Centre,8882496,Consultant,75249,103613,Clinical Advisor,0.6,Medicine
17,Department of Health,National Institute for Health and Care Excellence,Medicines and Prescribing Centre,8882496,Band 8C,54998,74084,Associate Director,2.0,Planning
18,Department of Health,National Institute for Health and Care Excellence,Medicines and Prescribing Centre,8882496,Band 8B,45707,62783,Technical Advisor,3.4,Medicine
19,Department of Health,National Institute for Health and Care Excellence,Medicines and Prescribing Centre,8882496,Band 8A,39239,53367,Senior Advisor,8.45,Medicine
20,Department of Health,National Institute for Health and Care Excellence,Medicines and Prescribing Centre,8882496,Band 8A,39239,53367,Programme Manager,1.0,Programme and Project Management (PPM)
21,Department of Health,National Institute for Health and Care Excellence,Medicines and Prescribing Centre,8882496,Band 8A,39239,53367,Commissioning Manager,1.0,Programme and Project Management (PPM)
22,Department of Health,National Institute for Health and Care Excellence,Medicines and Prescribing Centre,8882496,Band 6,25783,40809,Assistant Project Manager,1.6,Programme and Project Management (PPM)
23,Department of Health,National Institute for Health and Care Excellence,Medicines and Prescribing Centre,8882496,Band 6,25783,40809,Manager,1.0,Operational Delivery
24,Department of Health,National Institute for Health and Care Excellence,Medicines and Prescribing Centre,8882496,Band 5,21388,33481,Coordinator,1.0,Operational Delivery
25,Department of Health,National Institute for Health and Care Excellence,Medicines and Prescribing Centre,8882496,Band 4,18838,26419,Administrator,5.0,Operational Delivery
26,Department of Health,National Institute for Health and Care Excellence,Medicines and Prescribing Centre,8882496,Band 2,14294,21501,Administrator,0.6,Operational Delivery
27,Department of Health,National Institute for Health and Care Excellence,Corporate Office,7587161,Band 8C,54998,74084,Associate Director,1.0,Operational Delivery
28,Department of Health,National Institute for Health and Care Excellence,Corporate Office,7587161,Band 8A,39239,53367,Analyst,1.0,Programme and Project Management (PPM)
29,Department of Health,National Institute for Health and Care Excellence,Corporate Office,7587161,Band 8A,39239,53367,Governance Manager,1.0,Operational Delivery
30,Department of Health,National Institute for Health and Care Excellence,Corporate Office,7587161,Band 7,30764,46837,Project Manager,1.0,Programme and Project Management (PPM)
