,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Ministry of Justice,The Parole Board for England & Wales,The Parole Board for England & Wales,PB2,Grade 6,56971,70504,Deputy Chief Executive and Head of Operations,1.0,Operational Delivery
1,Ministry of Justice,The Parole Board for England & Wales,The Parole Board for England & Wales,PB2,Grade 6,56971,70504,Director of Performance & Development,1.0,Operational Delivery
2,Ministry of Justice,The Parole Board for England & Wales,The Parole Board for England & Wales,PB2,Grade 6,56971,70504,Director of Quality &Standards,1.0,Operational Delivery
3,Ministry of Justice,The Parole Board for England & Wales,The Parole Board for England & Wales,PB2,Grade 7,46506,57553,Head of Quality Unit,1.0,Operational Delivery
4,Ministry of Justice,The Parole Board for England & Wales,The Parole Board for England & Wales,PB2,Grade 7,46506,57553,Head of Litigation,1.0,Operational Research
5,Ministry of Justice,The Parole Board for England & Wales,The Parole Board for England & Wales,PB2,Grade 7,46506,57553,Head of Corporate Affairs,1.0,Operational Delivery
6,Ministry of Justice,The Parole Board for England & Wales,The Parole Board for England & Wales,PB2,SEO Accountant,37580,43760,Head of Finance,1.0,Communications
7,Ministry of Justice,The Parole Board for England & Wales,The Parole Board for England & Wales,PB2,SEO,33953,39537,Senior Operations Manager,1.0,Finance
8,Ministry of Justice,The Parole Board for England & Wales,The Parole Board for England & Wales,PB2,SEO,33953,39537,Head of Learning & Development,1.0,Operational Delivery
9,Ministry of Justice,The Parole Board for England & Wales,The Parole Board for England & Wales,PB2,SEO,33953,39537,Deputy Head of Litigation ,1.0,Operational Delivery
10,Ministry of Justice,The Parole Board for England & Wales,The Parole Board for England & Wales,PB2,EO,21073,24789,CMS Officer,1.0,Operational Delivery
11,Ministry of Justice,The Parole Board for England & Wales,The Parole Board for England & Wales,PB2,HEO,26345,30989,Performance & Statistical Analyst,1.0,Operational Delivery
12,Ministry of Justice,The Parole Board for England & Wales,The Parole Board for England & Wales,PB2,HEO,26345,30989,Reviews Team Manager,3.0,Operational Delivery
13,Ministry of Justice,The Parole Board for England & Wales,The Parole Board for England & Wales,PB2,EO,21073,24789,Case Managers Reviews Team A,10.0,Operational Delivery
14,Ministry of Justice,The Parole Board for England & Wales,The Parole Board for England & Wales,PB2,AO,16518,18657,DCR Support,1.0,Operational Delivery
15,Ministry of Justice,The Parole Board for England & Wales,The Parole Board for England & Wales,PB2,EO,21073,24789,Case Managers Reviews Team B,9.88,Operational Delivery
16,Ministry of Justice,The Parole Board for England & Wales,The Parole Board for England & Wales,PB2,EO,21073,24789,Case Managers Reviews Team C,11.0,Operational Delivery
17,Ministry of Justice,The Parole Board for England & Wales,The Parole Board for England & Wales,PB2,HEO,26345,30989,Admin Team Manager,1.0,Operational Delivery
18,Ministry of Justice,The Parole Board for England & Wales,The Parole Board for England & Wales,PB2,EO,21073,24789,Admin Section Supervisor,1.83,Operational Delivery
19,Ministry of Justice,The Parole Board for England & Wales,The Parole Board for England & Wales,PB2,AO,16518,18657,Administrative Support,11.47,Operational Delivery
20,Ministry of Justice,The Parole Board for England & Wales,The Parole Board for England & Wales,PB2,HEO,26345,30989,Listings & Rota Manager,1.0,Operational Delivery
21,Ministry of Justice,The Parole Board for England & Wales,The Parole Board for England & Wales,PB2,EO,21073,24789,Panel Listings Officer,0.4,Operational Delivery
22,Ministry of Justice,The Parole Board for England & Wales,The Parole Board for England & Wales,PB2,AA,14924,15701,Reprographics,1.0,Operational Delivery
23,Ministry of Justice,The Parole Board for England & Wales,The Parole Board for England & Wales,PB2,HEO,26345,30989,Re4Re Team Manager,1.0,Operational Delivery
24,Ministry of Justice,The Parole Board for England & Wales,The Parole Board for England & Wales,PB2,EO,21073,24789,Re4Re Panel Administrators,7.0,Operational Delivery
25,Ministry of Justice,The Parole Board for England & Wales,The Parole Board for England & Wales,PB2,AO,16518,18657,Re4Re Ofice Support,3.0,Operational Delivery
26,Ministry of Justice,The Parole Board for England & Wales,The Parole Board for England & Wales,PB2,EO,21073,24789,Paper Recalls Manager,1.0,Operational Delivery
27,Ministry of Justice,The Parole Board for England & Wales,The Parole Board for England & Wales,PB2,HEO,26345,30989,Litigation Team Manager ,1.0,Operational Delivery
28,Ministry of Justice,The Parole Board for England & Wales,The Parole Board for England & Wales,PB2,EO,21073,24789,Litigation Office Caseworkers,3.0,Operational Delivery
29,Ministry of Justice,The Parole Board for England & Wales,The Parole Board for England & Wales,PB2,AA,14924,15701,Litigation Office Support,1.0,Operational Delivery
