,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Ministry of Justice,Prison & Probation Ombudsman,Complaints Investigation,123,Band A,42034,67969,Assistant Ombudsman,4.0,Operational Delivery
1,Ministry of Justice,Prison & Probation Ombudsman,Complaints Investigation,123,Band C,21096,36061,Investigator,32.0,Operational Delivery
2,Ministry of Justice,Prison & Probation Ombudsman,Complaints Investigation,123,Band E,15935,22250,Assessment Officer,9.0,Operational Delivery
3,Ministry of Justice,Prison & Probation Ombudsman,Fatal Incidents Investigation,124,Band A,42034,67969,Assistant Ombudsman,3.0,Operational Delivery
4,Ministry of Justice,Prison & Probation Ombudsman,Fatal Incidents Investigation,124,Band E,15935,22250,Corporate Services,1.0,Operational Delivery
5,Ministry of Justice,Prison & Probation Ombudsman,Fatal Incidents Investigation,124,Band C,21096,36061,Family Liaison,4.0,Operational Delivery
6,Ministry of Justice,Prison & Probation Ombudsman,Fatal Incidents Investigation,124,Band B,29634,44964,Investigator,18.0,Operational Delivery
7,Ministry of Justice,Prison & Probation Ombudsman,Fatal Incidents Investigation,124,Band C,21096,36061,Investigator,13.0,Operational Delivery
8,Ministry of Justice,Prison & Probation Ombudsman,Learning Lessons and Strategic Support,125,Band C,21096,36061,Finance Manager,1.0,Operational Delivery
9,Ministry of Justice,Prison & Probation Ombudsman,Learning Lessons and Strategic Support,125,Band D,17513,28000,Assistant Finance Manager,1.0,Operational Delivery
10,Ministry of Justice,Prison & Probation Ombudsman,Learning Lessons and Strategic Support,125,Band B,29634,44964,Head of Strategic Support,1.0,Operational Delivery
11,Ministry of Justice,Prison & Probation Ombudsman,Learning Lessons and Strategic Support,125,Band B,29634,44964,Head of Research and Analysis,1.0,Operational Delivery
12,Ministry of Justice,Prison & Probation Ombudsman,Learning Lessons and Strategic Support,125,Band C,21096,36061,Researcher,3.0,Operational Delivery
13,Ministry of Justice,Prison & Probation Ombudsman,Learning Lessons and Strategic Support,125,Band C,21096,36061,Information Manager,1.0,Operational Delivery
14,Ministry of Justice,Prison & Probation Ombudsman,Learning Lessons and Strategic Support,125,Band E,15935,22250,Research & Communications Support Officer,1.0,Operational Delivery
15,Ministry of Justice,Prison & Probation Ombudsman,Fatal Incidents Investigation,125,Band D,17513,28000,Support Services,1.0,Operational Delivery
16,Ministry of Justice,Prison & Probation Ombudsman,Fatal Incidents Investigation,125,Band E,15935,22250,Support Services,4.0,Operational Delivery
17,Ministry of Justice,Prison & Probation Ombudsman,Complaints Investigation,125,Band F,13894,18700,Support Services,2.0,Operational Delivery
18,Ministry of Justice,Prison & Probation Ombudsman,Fatal Incidents Investigation,125,Band F,13894,18700,Support Services,3.0,Operational Delivery
