,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Ministry of Defence,Royal Air Force Museum,Royal Air Force Museum,RAFM414,Rank 1,51755,53949,Senior Management,2.0,Policy
1,Ministry of Defence,Royal Air Force Museum,Royal Air Force Museum,RAFM212,Rank 1,51755,53949,Senior Management,1.0,Policy
2,Ministry of Defence,Royal Air Force Museum,Royal Air Force Museum,RAFM414,Rank 2,40019,53500,Senior Specialist/Policy Adviser,2.0,Policy
3,Ministry of Defence,Royal Air Force Museum,Royal Air Force Museum,RAFM212,Rank 2,40019,53500,Senior Specialist/Policy Adviser,3.8,Policy
4,Ministry of Defence,Royal Air Force Museum,Royal Air Force Museum,RAFM414,Rank 3,35152,44000,Senior Manager ,3.0,Policy
5,Ministry of Defence,Royal Air Force Museum,Royal Air Force Museum,RAFM414,Rank 3,35152,44000,Senior Curator & Keeper,2.0,Policy
6,Ministry of Defence,Royal Air Force Museum,Royal Air Force Museum,RAFM212,Rank 3,35152,44000,Not In Post,1.0,Operational Delivery
7,Ministry of Defence,Royal Air Force Museum,Royal Air Force Museum,RAFM212,Rank 3,35152,44000,Senior IT Manager,1.0,Operational Delivery
8,Ministry of Defence,Royal Air Force Museum,Royal Air Force Museum,RAFM414,Rank 4,29498,36948,Manager,3.0,Operational Research
9,Ministry of Defence,Royal Air Force Museum,Royal Air Force Museum,RAFM414,Rank 4,29498,36948,Curator/Senior Academic,3.0,Operational Research
10,Ministry of Defence,Royal Air Force Museum,Royal Air Force Museum,RAFM212,Rank 4,29498,36948,Manager,1.0,Operational Delivery
11,Ministry of Defence,Royal Air Force Museum,Royal Air Force Museum,RAFM212,Rank 4,29498,36948,Not In Post,2.0,Operational Delivery
12,Ministry of Defence,Royal Air Force Museum,Royal Air Force Museum,RAFM414,Rank 5,18040,31875,Collections Officer,4.0,Operational Research
13,Ministry of Defence,Royal Air Force Museum,Royal Air Force Museum,RAFM414,Rank 5,18040,31875,Curator - Mid-career,5.0,Operational Research
14,Ministry of Defence,Royal Air Force Museum,Royal Air Force Museum,RAFM414,Rank 5,18040,31875,Not In Post,1.0,Operational Research
15,Ministry of Defence,Royal Air Force Museum,Royal Air Force Museum,RAFM414,Rank 5,18040,31875,Senior Technician,10.0,Operational Research
16,Ministry of Defence,Royal Air Force Museum,Royal Air Force Museum,RAFM212,Rank 5,18040,31875,Office Manager,1.6,Operational Delivery
17,Ministry of Defence,Royal Air Force Museum,Royal Air Force Museum,RAFM212,Rank 5,18040,31875,Senior Technical Adviser,3.0,Operational Delivery
18,Ministry of Defence,Royal Air Force Museum,Royal Air Force Museum,RAFM414,Rank 6,10475,27964,Collections Support Officer ,19.16,Operational Research
19,Ministry of Defence,Royal Air Force Museum,Royal Air Force Museum,RAFM212,Rank 6,10475,27964,Finance Officer,2.0,Operational Delivery
20,Ministry of Defence,Royal Air Force Museum,Royal Air Force Museum,RAFM212,Rank 6,10475,27964,Operations Support Officer,17.2,Operational Delivery
21,Ministry of Defence,Royal Air Force Museum,Royal Air Force Museum,RAFM414,Rank 6,10475,27964,Operations Support Officer,2.29,Operational Delivery
22,Ministry of Defence,Royal Air Force Museum,Royal Air Force Museum,RAFM414,Rank 7,11820,23503,Administrator ,2.0,Operational Delivery
23,Ministry of Defence,Royal Air Force Museum,Royal Air Force Museum,RAFM414,Rank 7,11820,23503,Collections Support Assistant,6.0,Operational Research
24,Ministry of Defence,Royal Air Force Museum,Royal Air Force Museum,RAFM212,Rank 7,11820,23503,Administrator ,4.0,Operational Delivery
25,Ministry of Defence,Royal Air Force Museum,Royal Air Force Museum,RAFM212,Rank 7,11820,23503,Finance Support Officer,1.6,Operational Delivery
26,Ministry of Defence,Royal Air Force Museum,Royal Air Force Museum,RAFM212,Rank 7,11820,23503,Not In Post,1.0,Operational Delivery
27,Ministry of Defence,Royal Air Force Museum,Royal Air Force Museum,RAFM414,Rank 8,3453,19552,Collections Delivery Assistant ,1.2,Operational Research
28,Ministry of Defence,Royal Air Force Museum,Royal Air Force Museum,RAFM212,Rank 8,3453,19552,Operations Delivery Assistant,59.8,Operational Delivery
29,Ministry of Defence,Royal Air Force Museum,Royal Air Force Museum,RAFM414,Apprentice,13125,17784,Apprentice ,8.0,Operational Delivery
