,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,Treasury Solicitors,Treasury Solicitors,Bona Vacantia,TS94,AO,21210,22440,Policy Support Officer,13.0,Policy
1,Treasury Solicitors,Treasury Solicitors,Bona Vacantia,TS94,EO,24370,27959,Policy Adviser,15.0,Policy
2,Treasury Solicitors,Treasury Solicitors,Bona Vacantia,TS94,G6,59778,71666,Senior Policy Adviser,3.0,Policy
3,Treasury Solicitors,Treasury Solicitors,Bona Vacantia,TS94,G7,47557,57018,Policy Adviser,5.9,Policy
4,Treasury Solicitors,Treasury Solicitors,Bona Vacantia,TS94,HEO,28747,32997,Policy Adviser,9.5,Policy
5,Treasury Solicitors,Treasury Solicitors,Bona Vacantia,TS94,LT,24331,26364,Policy Adviser,1.0,Policy
6,Treasury Solicitors,Treasury Solicitors,Bona Vacantia,TS94,PS,22560,24260,Policy Support Officer,1.0,Policy
7,Treasury Solicitors,Treasury Solicitors,Bona Vacantia,TS94,SEO,35163,40351,Policy Adviser,2.0,Policy
8,Treasury Solicitors,Treasury Solicitors,Cabinet Office European Law Division,TS15,EO,24370,27959,Legal Adviser,2.0,Law
9,Treasury Solicitors,Treasury Solicitors,Cabinet Office European Law Division,TS22,G7,47557,57018,Legal Adviser,1.0,Law
10,Treasury Solicitors,Treasury Solicitors,Cabinet Office European Law Division,TS39,G6,59778,71666,Senior Legal Adviser,4.89,Law
11,Treasury Solicitors,Treasury Solicitors,Cabinet Office European Law Division,TS39,LT,24331,26364,Legal Adviser,1.0,Law
12,Treasury Solicitors,Treasury Solicitors,Cabinet Office European Law Division,TS79,AO,21210,22440,Legal Support Officer,2.0,Law
13,Treasury Solicitors,Treasury Solicitors,Cabinet Office European Law Division,TS79,EO,24370,27959,Legal Adviser,2.0,Law
14,Treasury Solicitors,Treasury Solicitors,Cabinet Office European Law Division,TS79,G6,59778,71666,Senior Legal Adviser,2.0,Law
15,Treasury Solicitors,Treasury Solicitors,Cabinet Office European Law Division,TS79,G7,47557,57018,Legal Adviser,1.9,Law
16,Treasury Solicitors,Treasury Solicitors,Central Advisory Division - Central Advisory,TS61,AO,21210,22440,Legal Support Officer,1.0,Law
17,Treasury Solicitors,Treasury Solicitors,Central Advisory Division - Central Advisory,TS61,G6,59778,71666,Senior Legal Adviser,2.3,Law
18,Treasury Solicitors,Treasury Solicitors,Central Advisory Division - Central Advisory,TS61,G7,47557,57018,Legal Adviser,1.78,Law
19,Treasury Solicitors,Treasury Solicitors,Central Advisory Division - Central Advisory,TS64,LO,35582,42763,Legal Adviser,1.0,Law
20,Treasury Solicitors,Treasury Solicitors,Central Advisory Division - Constitutional Law,TS1,G6,59778,71666,Senior Legal Adviser,3.61,Law
21,Treasury Solicitors,Treasury Solicitors,Central Advisory Division - Constitutional Law,TS1,G7,47557,57018,Legal Adviser,3.0,Law
22,Treasury Solicitors,Treasury Solicitors,Central Advisory Division - Constitutional Law,TS32,AO,21210,22440,Legal Support Officer,1.0,Law
23,Treasury Solicitors,Treasury Solicitors,Central Advisory Division - Corporate and Government service Legal,TS49,G6,59778,71666,Senior Legal Adviser,3.2,Law
24,Treasury Solicitors,Treasury Solicitors,Central Advisory Division - Corporate and Government service Legal,TS49,G7,47557,57018,Legal Adviser,4.0,Law
25,Treasury Solicitors,Treasury Solicitors,Central Advisory Division - General Policy and National Security,TS49,LT,24331,26364,Legal Adviser,1.0,Law
26,Treasury Solicitors,Treasury Solicitors,Central Advisory Division - General Policy and National Security,TS64,G6,59778,71666,Senior Legal Adviser,3.6,Law
27,Treasury Solicitors,Treasury Solicitors,Central Advisory Division - General Policy and National Security,TS64,G7,47557,57018,Legal Adviser,1.0,Law
28,Treasury Solicitors,Treasury Solicitors,Central Advisory Division - Health and Safety Executive,TS32,AO,21210,22440,Legal Support Officer,0.67,Law
29,Treasury Solicitors,Treasury Solicitors,Central Advisory Division - Health and Safety Executive,TS32,G6,59778,71666,Senior Legal Adviser,2.81,Law
30,Treasury Solicitors,Treasury Solicitors,Central Advisory Division - Health and Safety Executive,TS32,G7,47557,57018,Legal Adviser,2.0,Law
31,Treasury Solicitors,Treasury Solicitors,Central Advisory Division - Health and Safety Executive,TS68,G6,59778,71666,Senior Legal Adviser,3.31,Law
32,Treasury Solicitors,Treasury Solicitors,Central Advisory Division - Health and Safety Executive,TS68,G7,47557,57018,Legal Adviser,3.9,Law
33,Treasury Solicitors,Treasury Solicitors,Central Advisory Division - Health and Safety Executive,TS68,LT,24331,26364,Legal Adviser,1.0,Law
34,Treasury Solicitors,Treasury Solicitors,"Client Care, Communications & Governance",TS46,G7,47557,57018,Legal Adviser,1.2,Law
35,Treasury Solicitors,Treasury Solicitors,"Client Care, Communications & Governance",TS92,EO,24370,27959,Legal Adviser,4.0,Law
36,Treasury Solicitors,Treasury Solicitors,"Client Care, Communications & Governance",TS92,G6,59778,71666,Senior Legal Adviser,1.0,Law
37,Treasury Solicitors,Treasury Solicitors,"Client Care, Communications & Governance",TS92,G7,47557,57018,Legal Adviser,3.0,Law
38,Treasury Solicitors,Treasury Solicitors,"Client Care, Communications & Governance",TS92,HEO,28747,32997,Legal Adviser,2.81,Law
39,Treasury Solicitors,Treasury Solicitors,Corporate Resources - Business Support Group,TS36,AO,21210,22440,Policy Support Officer,14.64,Policy
40,Treasury Solicitors,Treasury Solicitors,Corporate Resources - Business Support Group,TS36,EO,24370,27959,Policy Adviser,6.92,Policy
41,Treasury Solicitors,Treasury Solicitors,Corporate Resources - Business Support Group,TS36,G6,59778,71666,Senior Policy Adviser,0.8,Policy
42,Treasury Solicitors,Treasury Solicitors,Corporate Resources - Business Support Group,TS36,G7,47557,57018,Policy Adviser,2.0,Policy
43,Treasury Solicitors,Treasury Solicitors,Corporate Resources - Business Support Group,TS36,HEO,28747,32997,Policy Adviser,3.69,Policy
44,Treasury Solicitors,Treasury Solicitors,Corporate Resources - Business Support Group,TS36,SEO,35163,40351,Policy Adviser,3.5,Policy
45,Treasury Solicitors,Treasury Solicitors,Corporate Resources - Finance,TS10,AO,21210,22440,Finance Support Officer,0.56,Finance
46,Treasury Solicitors,Treasury Solicitors,Corporate Resources - Finance,TS26,AO,21210,22440,Finance Support Officer,1.0,Finance
47,Treasury Solicitors,Treasury Solicitors,Corporate Resources - Finance,TS89,AO,21210,22440,Finance Support Officer,5.0,Finance
48,Treasury Solicitors,Treasury Solicitors,Corporate Resources - Finance,TS89,EO,24370,27959,Finance Officer,9.6,Finance
49,Treasury Solicitors,Treasury Solicitors,Corporate Resources - Finance,TS89,G6,59778,71666,Senior Finance  Manager,2.0,Finance
50,Treasury Solicitors,Treasury Solicitors,Corporate Resources - Finance,TS89,G7,47557,57018,Finance Officer,3.0,Finance
51,Treasury Solicitors,Treasury Solicitors,Corporate Resources - Finance,TS89,HEO,28747,32997,Finance Officer,9.0,Finance
52,Treasury Solicitors,Treasury Solicitors,Corporate Resources - Finance,TS89,SEO,35163,40351,Finance Officer,4.6,Finance
53,Treasury Solicitors,Treasury Solicitors,Corporate Resources - Human Resources,TS53,AO,21210,22440,HR Support Officer,8.0,Human Resources
54,Treasury Solicitors,Treasury Solicitors,Corporate Resources - Human Resources,TS53,EO,24370,27959,HR Officer,9.0,Human Resources
55,Treasury Solicitors,Treasury Solicitors,Corporate Resources - Human Resources,TS53,G6,59778,71666,Senior HR Manager,1.0,Human Resources
56,Treasury Solicitors,Treasury Solicitors,Corporate Resources - Human Resources,TS53,G7,47557,57018,HR Officer,4.6,Human Resources
57,Treasury Solicitors,Treasury Solicitors,Corporate Resources - Human Resources,TS53,HEO,28747,32997,HR Officer,4.0,Human Resources
58,Treasury Solicitors,Treasury Solicitors,Corporate Resources - Human Resources,TS53,SEO,35163,40351,HR Officer,3.0,Human Resources
59,Treasury Solicitors,Treasury Solicitors,Corporate Resources - Information & Communication Technology,TS36,AO,21210,22440,IT Support Officer,3.0,Information Technology
60,Treasury Solicitors,Treasury Solicitors,Corporate Resources - Information & Communication Technology,TS36,EO,24370,27959,IT Manager,7.0,Information Technology
61,Treasury Solicitors,Treasury Solicitors,Corporate Resources - Information & Communication Technology,TS36,G6,59778,71666,Senior IT Manager,1.0,Information Technology
62,Treasury Solicitors,Treasury Solicitors,Corporate Resources - Information & Communication Technology,TS36,G7,47557,57018,IT Manager,1.0,Information Technology
63,Treasury Solicitors,Treasury Solicitors,Corporate Resources - Information & Communication Technology,TS36,HEO,28747,32997,IT Manager,14.0,Information Technology
64,Treasury Solicitors,Treasury Solicitors,Corporate Resources - Information & Communication Technology,TS36,SEO,35163,40351,IT Manager,5.0,Information Technology
65,Treasury Solicitors,Treasury Solicitors,Department for Communities and Local Government - Local Government and Fire,TS31,G7,47557,57018,Legal Adviser,1.0,Law
66,Treasury Solicitors,Treasury Solicitors,Department for Communities and Local Government - Local Government and Fire,TS56,AO,21210,22440,Legal Support Officer,1.0,Law
67,Treasury Solicitors,Treasury Solicitors,Department for Communities and Local Government - Local Government and Fire,TS56,G6,59778,71666,Senior Legal Adviser,3.83,Law
68,Treasury Solicitors,Treasury Solicitors,Department for Communities and Local Government - Local Government and Fire,TS56,G7,47557,57018,Legal Adviser,4.6,Law
69,Treasury Solicitors,Treasury Solicitors,Department for Communities and Local Government - Local Government and Fire,TS56,LT,24331,26364,Legal Adviser,1.0,Law
70,Treasury Solicitors,Treasury Solicitors,"Department for Communities and Local Government - Housing, Building and Land",TS72,G6,59778,71666,Senior Legal Adviser,2.8,Law
71,Treasury Solicitors,Treasury Solicitors,"Department for Communities and Local Government - Housing, Building and Land",TS72,G7,47557,57018,Legal Adviser,3.78,Law
72,Treasury Solicitors,Treasury Solicitors,"Department for Communities and Local Government - Housing, Building and Land",TS72,LO,35582,42763,Legal Adviser,1.0,Law
