,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,"Department for Environment, Food and Rural Affairs",CEFAS,Aquatic Health and Hygiene,3,PB2,13927,16086,Operations Support Officer,5.0,Science and Engineering
1,"Department for Environment, Food and Rural Affairs",CEFAS,Aquatic Health and Hygiene,3,PB3,16645,19389,Executive Assistant,22.6,Science and Engineering
2,"Department for Environment, Food and Rural Affairs",CEFAS,Aquatic Health and Hygiene,3,PB4,20581,24532,Scientist,42.11,Science and Engineering
3,"Department for Environment, Food and Rural Affairs",CEFAS,Aquatic Health and Hygiene,3,PB5,25226,29889,Scientist,24.98,Science and Engineering
4,"Department for Environment, Food and Rural Affairs",CEFAS,Aquatic Health and Hygiene,3,PB6,32021,38485,Scientist,18.31,Science and Engineering
5,"Department for Environment, Food and Rural Affairs",CEFAS,Aquatic Health and Hygiene,3,PB7,41651,51905,Senior Operational Researcher,16.0,Science and Engineering
6,"Department for Environment, Food and Rural Affairs",CEFAS,Aquatic Health and Hygiene,3,PB8,52351,62294,Senior Project Manager,4.0,Science and Engineering
7,"Department for Environment, Food and Rural Affairs",CEFAS,Corporate,2,PB2,13927,16086,Operations Support Officer,1.0,Operational Delivery
8,"Department for Environment, Food and Rural Affairs",CEFAS,Corporate,2,PB3,16645,19389,Operations Support Officer,8.89,Operational Delivery
9,"Department for Environment, Food and Rural Affairs",CEFAS,Corporate,2,PB4,20581,24532,Executive Assistant,8.16,Operational Delivery
10,"Department for Environment, Food and Rural Affairs",CEFAS,Corporate,2,PB5,25226,29889,Business Manager,6.62,Operational Delivery
11,"Department for Environment, Food and Rural Affairs",CEFAS,Corporate,2,PB6,32021,38485,Senior Operational Manager,9.81,Operational Delivery
12,"Department for Environment, Food and Rural Affairs",CEFAS,Corporate,2,PB7,41651,51905,Senior Operational Manager,5.0,Operational Delivery
13,"Department for Environment, Food and Rural Affairs",CEFAS,Corporate,2,PB8,52351,62294,Senior Operational Manager,2.0,Operational Delivery
14,"Department for Environment, Food and Rural Affairs",CEFAS,Aquatic Health and Hygiene,3,PB2,13927,16086,Operations Support Officer,1.0,Science and Engineering
15,"Department for Environment, Food and Rural Affairs",CEFAS,Aquatic Health and Hygiene,3,PB3,16645,19389,Technical Adviser,11.49,Science and Engineering
16,"Department for Environment, Food and Rural Affairs",CEFAS,Aquatic Health and Hygiene,3,PB4,20581,24532,Operational Researcher,20.99,Science and Engineering
17,"Department for Environment, Food and Rural Affairs",CEFAS,Aquatic Health and Hygiene,3,PB5,25226,29889,Scientist,46.33,Science and Engineering
18,"Department for Environment, Food and Rural Affairs",CEFAS,Aquatic Health and Hygiene,3,PB6,32021,38485,Scientist,41.93,Science and Engineering
19,"Department for Environment, Food and Rural Affairs",CEFAS,Aquatic Health and Hygiene,3,PB7,41651,51905,Senior Operational Researcher,18.9,Science and Engineering
20,"Department for Environment, Food and Rural Affairs",CEFAS,Aquatic Health and Hygiene,3,PB8,52351,62294,Scientist,5.0,Science and Engineering
21,"Department for Environment, Food and Rural Affairs",CEFAS,Fisheries ,3,PB2,13927,16086,Operations Support Officer,2.0,Science and Engineering
22,"Department for Environment, Food and Rural Affairs",CEFAS,Fisheries ,3,PB3,16645,19389,Operations Support Officer,7.41,Science and Engineering
23,"Department for Environment, Food and Rural Affairs",CEFAS,Fisheries ,3,PB4,20581,24532,Scientist,30.7,Science and Engineering
24,"Department for Environment, Food and Rural Affairs",CEFAS,Fisheries ,3,PB5,25226,29889,Scientist,24.31,Science and Engineering
25,"Department for Environment, Food and Rural Affairs",CEFAS,Fisheries ,3,PB6,32021,38485,Scientist,17.4,Science and Engineering
26,"Department for Environment, Food and Rural Affairs",CEFAS,Fisheries ,3,PB7,41651,51905,Scientist,8.33,Science and Engineering
27,"Department for Environment, Food and Rural Affairs",CEFAS,Fisheries ,3,PB8,52351,62294,Scientist,5.0,Science and Engineering
28,"Department for Environment, Food and Rural Affairs",CEFAS,Aquatic Health and Hygiene,3,PB2,13927,16086,Operations Support Officer,3.27,Science and Engineering
29,"Department for Environment, Food and Rural Affairs",CEFAS,Aquatic Health and Hygiene,3,PB3,16645,19389,Project Support Officer,15.56,Science and Engineering
30,"Department for Environment, Food and Rural Affairs",CEFAS,Aquatic Health and Hygiene,3,PB4,20581,24532,Project Support Officer,25.46,Science and Engineering
31,"Department for Environment, Food and Rural Affairs",CEFAS,Aquatic Health and Hygiene,3,PB5,25226,29889,Project Support Officer,24.13,Science and Engineering
32,"Department for Environment, Food and Rural Affairs",CEFAS,Aquatic Health and Hygiene,3,PB6,32021,38485,Senior Policy Adviser,23.06,Science and Engineering
33,"Department for Environment, Food and Rural Affairs",CEFAS,Aquatic Health and Hygiene,3,PB7,41651,51905,Senior Operational Researcher,8.0,Science and Engineering
34,"Department for Environment, Food and Rural Affairs",CEFAS,Aquatic Health and Hygiene,3,PB8,52351,62294,Senior Project Manager,5.8,Science and Engineering
