,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,"Department for Culture, Media and Sport",Geffrye Museum,Finance,G1,1.0,50001,60000,Operational Manager,3.0,Operational Delivery
1,"Department for Culture, Media and Sport",Geffrye Museum,Communications,G1,2.0,35001,50000,Operational Manager,4.0,Operational Delivery
2,"Department for Culture, Media and Sport",Geffrye Museum,Director,G1,4.0,20001,25000,Project Support Officer,0.5,Operational Delivery
3,"Department for Culture, Media and Sport",Geffrye Museum,Communications,G1,3.0,25001,35000,Communications Support Officer,1.8,Communications
4,"Department for Culture, Media and Sport",Geffrye Museum,Communications,G1,4.0,20001,25000,Project Manager,1.0,Communications
5,"Department for Culture, Media and Sport",Geffrye Museum,Curatorial,G1,3.0,25001,35000,Project Manager,1.8,Operational Research
6,"Department for Culture, Media and Sport",Geffrye Museum,Curatorial,G1,4.0,20001,25000,Project Manager,1.5,Operational Research
7,"Department for Culture, Media and Sport",Geffrye Museum,Finance,G1,5.0,10000,20000,Operations Support Officer,1.2,Operational Delivery
8,"Department for Culture, Media and Sport",Geffrye Museum,Curatorial,G1,5.0,10000,20000,Project Support Officer,1.0,Operational Research
9,"Department for Culture, Media and Sport",Geffrye Museum,Education,G1,3.0,25001,35000,Project Manager,3.5,Programme and Project Management (PPM)
10,"Department for Culture, Media and Sport",Geffrye Museum,Education,G1,4.0,20001,25000,Project Manager,2.0,Programme and Project Management (PPM)
11,"Department for Culture, Media and Sport",Geffrye Museum,Finance,G1,3.0,25001,35000,Operational Manager,1.0,Operational Delivery
12,"Department for Culture, Media and Sport",Geffrye Museum,Finance,G1,3.0,25001,35000,Finance Officer,1.0,Finance
13,"Department for Culture, Media and Sport",Geffrye Museum,Finance,G1,5.0,10000,20000,Finance Support Officer,1.0,Finance
14,"Department for Culture, Media and Sport",Geffrye Museum,Front of house and estates,G1,3.0,25001,35000,Operations Support Officer,3.0,Operational Delivery
15,"Department for Culture, Media and Sport",Geffrye Museum,Front of house and estates,G1,4.0,20001,25000,Operations Support Officer,8.0,Operational Delivery
16,"Department for Culture, Media and Sport",Geffrye Museum,Front of house and estates,G1,5.0,10000,20000,Operations Support Officer,0.25,Operational Delivery
17,"Department for Culture, Media and Sport",Geffrye Museum,Front of house and estates,G1,4.0,20001,25000,Operational Manager,1.0,Operational Delivery
18,"Department for Culture, Media and Sport",Geffrye Museum,Finance,G1,5.0,10000,20000,Operations Support Officer,6.5,Operational Delivery
