alias,name
880 Corporate - GEM Corporate (859532),NHS Greater East Midlands CSU
AHRC,Arts and Humanities Research Council
Animal Health Veterinary Laboratories Agency,Animal Health and Veterinary Laboratories Agency
Animal Health Veterinary Laboritories Agency,Animal Health and Veterinary Laboratories Agency
Arden CSU,NHS Arden CSU
Boundary Commission,Boundary Commission for England
CCWater,Consumer Council for Water
CEFAS,"Centre for Environment, Fisheries & Aquaculture Science"
CITB,Construction Industry Training Board
CITB-ConstructionSkills,Construction Industry Training Board
CNPA/Civil Nuclear Constabulary,Civil Nuclear Police Authority
Central Southern Commissioning Support Unit,NHS Central Southern CSU
Cheshire & Merseyside Commissioning Support Unit,NHS Cheshire and Merseyside Commissioning Support Unit
Children's Workforce Development Council (CWDC),Children's Workforce Development Council
Commission for Equalities and Human Rights (known as the Equality and Human Rights Commission),Equality and Human Rights Commission
Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),Equality and Human Rights Commission
Consumer Focus,Consumer Futures
DFID,Department for International Development
DFT,Department for Transport
DVLA,Driver and Vehicle Licensing Agency
DVSA (V),Driver & Vehicle Standards Agency
Defence Support Group (DSG),Defence Support Group
Department for Energy and Climate Change,Department of Energy and Climate Change
ECITB,Engineering Construction Industry Training Board
Greater Manchester Commissioning Support Unit,NHS Greater Manchester CSU
H M Passport Office,HM Passport Office
HMI Probation,HM Inspectorate of Probation
HS2 Ltd,High Speed 2 Limited
Her Majesty's Passport Office,HM Passport Office
Her Majesty's Treasury,HM Treasury
High Speed 2 Ltd,High Speed 2 Limited
Homes & Communities Agency,Homes and Communities Agency
Horniman Museum and Gardens,Horniman Public Museum & Public Park Trust
Imperial War Museums,Imperial War Museum
Independent Housing Ombudsman Limited,Independent Housing Ombudsman
JNCC,Joint Nature Conservation Committee
Judcial Office for England and Wales,Judicial Office
Judicial Office for England and Wales,Judicial Office
Kent and Medway CSU,NHS Kent and Medway CSU
LTGDC,London Thames Gateway Development Corporation
MHRA,Medicines and Healthcare products Regulatory Agency
Midlands and Lancashire Commissioning Support Unit,NHS Midlands and Lancashire CSU
NDA,Nuclear Decommissioning Authority
NHS Arden Commissioning Supoprt,NHS Arden CSU
NHS Greater East Midlands Commissioning Support Unit,NHS Greater East Midlands CSU
NHS LA,NHS Litigation Authority
NHS South Commissioning Support Unit,NHS South CSU
NPIA,National Policing Improvement Agency
National Institute for Health and Clinical Excellence,National Institute for Health and Care Excellence
National Offender Management Service (NOMS),National Offender Management Service
National Treatment Agency,National Treatment Agency for Substance Misuse
North East London CSU,NHS North and East London CSU
North Yorkshire and Humber Commissioning Support Unit,NHS North Yorkshire and Humber CSU
North of England Commissioning Support Unit,NHS North of England CSU
Office of Rail Regulation,Office of Rail and Road
Office of the Immigration Services Commissioner (OISC),Office of the Immigration Services Commissioner
Office of the Pensions Ombudsman,Pensions Ombudsman
Ofqual,Office of Qualifications and Examinations Regulation
Passenger Focus,Transport Focus
Prison and Probation Ombudsman,Prisons and Probation Ombudsman
SIA,Security Industry Authority
SOCA,Serious Organised Crime Agency
South West Commissioning Support Unit,NHS South West CSU
Student Loans Company,Student Loans Company Limited
The Parole Board for England & Wales,Parole Board
The Pensions Advisory Service Ltd,The Pensions Advisory Service
The Supreme Court,UK Supreme Court
Treasury Solicitors,Treasury Solicitor's Department
Trinity House,Trinity House Lighthouse Service
UK Atomic Energy Authority,United Kingdom Atomic Energy Authority
UK DMO,UK Debt Management Office
VisitBritain,British Tourist Authority
VisitEngland,Visit England
http://reference.data.gov.uk/id/department/hmt,HM Treasury
http://reference.data.gov.uk/id/department/orr,Office of Rail and Road
http://reference.data.gov.uk/id/department/the-supreme-court,UK Supreme Court
http://reference.data.gov.uk/id/department/treasury-solicitors,Treasury Solicitor's Department
http://reference.data.gov.uk/id/department/uksa,UK Statistics Authority
http://reference.data.gov.uk/id/public-body/ahrc,Arts and Humanities Research Council
http://reference.data.gov.uk/id/public-body/animal-health-veterinary-laboritories-agency,Animal Health and Veterinary Laboratories Agency
http://reference.data.gov.uk/id/public-body/arden-csu,NHS Arden CSU
http://reference.data.gov.uk/id/public-body/boundary-commission,Boundary Commission for England
http://reference.data.gov.uk/id/public-body/boundary-commission-for-england,Boundary Commission for England
http://reference.data.gov.uk/id/public-body/boundary-commission-for-scotland,Boundary Commission for Scotland
http://reference.data.gov.uk/id/public-body/ccwater,Consumer Council for Water
http://reference.data.gov.uk/id/public-body/cefas,"Centre for Environment, Fisheries & Aquaculture Science"
http://reference.data.gov.uk/id/public-body/central-southern-commissioning-support-unit,NHS Central Southern CSU
http://reference.data.gov.uk/id/public-body/cheshire-merseyside-commissioning-support-unit,NHS Cheshire and Merseyside Commissioning Support Unit
http://reference.data.gov.uk/id/public-body/childrens-workforce-development-council-cwdc,Children's Workforce Development Council
http://reference.data.gov.uk/id/public-body/citb,Construction Industry Training Board
http://reference.data.gov.uk/id/public-body/citb-constructionskills,Construction Industry Training Board
http://reference.data.gov.uk/id/public-body/cnpacivil-nuclear-constabulary,Civil Nuclear Police Authority
http://reference.data.gov.uk/id/public-body/commission-for-equalities-and-human-rights-known-a,Equality and Human Rights Commission
http://reference.data.gov.uk/id/public-body/commission-for-equality-and-human-rights-known-as-the-equality-and-human-rights-commission,Equality and Human Rights Commission
http://reference.data.gov.uk/id/public-body/consumer-focus,Consumer Futures
http://reference.data.gov.uk/id/public-body/consumer-futures,Consumer Futures
http://reference.data.gov.uk/id/public-body/defence-support-group-dsg,Defence Support Group
http://reference.data.gov.uk/id/public-body/dfid,Department for International Development
http://reference.data.gov.uk/id/public-body/dvla,Driver and Vehicle Licensing Agency
http://reference.data.gov.uk/id/public-body/dvsa-v,Driver & Vehicle Standards Agency
http://reference.data.gov.uk/id/public-body/ecitb,Engineering Construction Industry Training Board
http://reference.data.gov.uk/id/public-body/greater-manchester-commissioning-support-unit,NHS Greater Manchester CSU
http://reference.data.gov.uk/id/public-body/h-m-passport-office,HM Passport Office
http://reference.data.gov.uk/id/public-body/her-majestys-passport-office,HM Passport Office
http://reference.data.gov.uk/id/public-body/high-speed--ltd,High Speed 2 Limited
http://reference.data.gov.uk/id/public-body/high-speed-ltd,High Speed 2 Limited
http://reference.data.gov.uk/id/public-body/hmi-probation,HM Inspectorate of Probation
http://reference.data.gov.uk/id/public-body/horniman-museum-and-gardens,Horniman Public Museum & Public Park Trust
http://reference.data.gov.uk/id/public-body/horniman-museum-gardens,Horniman Public Museum & Public Park Trust
http://reference.data.gov.uk/id/public-body/hs-ltd,High Speed 2 Limited
http://reference.data.gov.uk/id/public-body/imperial-war-museums,Imperial War Museum
http://reference.data.gov.uk/id/public-body/independent-housing-ombudsman-limited,Independent Housing Ombudsman
http://reference.data.gov.uk/id/public-body/judcial-office-for-england-and-wales,Judicial Office
http://reference.data.gov.uk/id/public-body/judicial-office-for-england-and-wales,Judicial Office
http://reference.data.gov.uk/id/public-body/legal-aid-agency,Legal Aid Agency
http://reference.data.gov.uk/id/public-body/ltgdc,London Thames Gateway Development Corporation
http://reference.data.gov.uk/id/public-body/mhra,Medicines and Healthcare products Regulatory Agency
http://reference.data.gov.uk/id/public-body/midlands-and-lancashire-commissioning-support-unit,NHS Midlands and Lancashire CSU
http://reference.data.gov.uk/id/public-body/national-college-for-school-leadership,National College for School Leadership
http://reference.data.gov.uk/id/public-body/national-institute-for-health-and-care-excellence,National Institute for Health and Care Excellence
http://reference.data.gov.uk/id/public-body/national-institute-for-health-and-clinical-excelle,National Institute for Health and Care Excellence
http://reference.data.gov.uk/id/public-body/national-offender-management-service-noms,National Offender Management Service
http://reference.data.gov.uk/id/public-body/national-treatment-agency,National Treatment Agency for Substance Misuse
http://reference.data.gov.uk/id/public-body/nda,Nuclear Decommissioning Authority
http://reference.data.gov.uk/id/public-body/nhs-arden-commissioning-supoprt,NHS Arden CSU
