name,title,graphs,uris
advisory-conciliation-and-arbitration-service,"Advisory, Conciliation and Arbitration Service",2011-09-30 2012-03-31 2012-09-30,http://reference.data.gov.uk/id/public-body/advisory-conciliation-and-arbitration-service http://reference.data.gov.uk/id/public-body/advisory-conciliation-and-arbitration-service http://reference.data.gov.uk/id/public-body/advisory-conciliation-and-arbitration-service
animal-and-plant-health-agency,Animal and Plant Health Agency,2015-03-31 2015-09-30,http://reference.data.gov.uk/id/public-body/animal-and-plant-health-agency http://reference.data.gov.uk/id/public-body/animal-and-plant-health-agency
animal-health-and-veterinary-laboratories-agency,Animal Health and Veterinary Laboratories Agency,2011-03-31 2011-09-30 2012-03-31 2012-09-30 2013-03-31 2013-09-30 2014-03-31 2014-09-30,http://reference.data.gov.uk/id/public-body/animal-health-veterinary-laboratories-agency http://reference.data.gov.uk/id/public-body/animal-health-veterinary-laboritories-agency http://reference.data.gov.uk/id/public-body/animal-health-and-veterinary-laboratories-agency http://reference.data.gov.uk/id/public-body/animal-health-and-veterinary-laboratories-agency http://reference.data.gov.uk/id/public-body/animal-health-and-veterinary-laboratories-agency http://reference.data.gov.uk/id/public-body/animal-health-and-veterinary-laboratories-agency http://reference.data.gov.uk/id/public-body/animal-health-and-veterinary-laboratories-agency http://reference.data.gov.uk/id/public-body/animal-health-and-veterinary-laboratories-agency
appointments-commission,Appointments Commission,2011-03-31 2011-09-30,http://reference.data.gov.uk/id/public-body/appointments-commission http://reference.data.gov.uk/id/public-body/appointments-commission
arts-and-humanities-research-council,Arts and Humanities Research Council,2011-09-30 2012-03-31 2012-09-30 2013-09-30,http://reference.data.gov.uk/id/public-body/ahrc http://reference.data.gov.uk/id/public-body/ahrc http://reference.data.gov.uk/id/public-body/ahrc http://reference.data.gov.uk/id/public-body/arts-and-humanities-research-council
arts-council-england,Arts Council England,2012-03-31,http://reference.data.gov.uk/id/public-body/arts-council-england
asset-protection-agency,Asset Protection Agency,2011-03-31 2011-09-30 2012-03-31 2012-09-30,http://reference.data.gov.uk/id/public-body/asset-protection-agency http://reference.data.gov.uk/id/public-body/asset-protection-agency http://reference.data.gov.uk/id/public-body/asset-protection-agency http://reference.data.gov.uk/id/public-body/asset-protection-agency
attorney-generals-office,Attorney General's Office,2011-03-31 2011-03-31 2011-09-30 2012-03-31 2012-09-30 2013-09-30 2014-03-31,http://reference.data.gov.uk/id/department/attorney-general http://reference.data.gov.uk/id/department/attorney-general http://reference.data.gov.uk/id/department/attorney-general http://reference.data.gov.uk/id/department/attorney-general http://reference.data.gov.uk/id/department/attorney-general http://reference.data.gov.uk/id/department/attorney-general http://reference.data.gov.uk/id/department/attorney-general
audit-commission,Audit Commission,2011-03-31 2011-09-30 2012-03-31,http://reference.data.gov.uk/id/public-body/audit-commission http://reference.data.gov.uk/id/public-body/audit-commission http://reference.data.gov.uk/id/public-body/audit-commission
big-lottery-fund,BIG Lottery Fund,2011-03-31 2011-03-31 2012-03-31 2013-03-31,http://reference.data.gov.uk/id/public-body/big-lottery-fund http://reference.data.gov.uk/id/public-body/big-lottery-fund http://reference.data.gov.uk/id/public-body/big-lottery-fund http://reference.data.gov.uk/id/public-body/big-lottery-fund
biotechnology-and-biological-sciences-research-council,Biotechnology and Biological Sciences Research Council,2011-09-30 2012-09-30 2013-09-30,http://reference.data.gov.uk/id/public-body/biotechnology-and-biological-sciences-research-council http://reference.data.gov.uk/id/public-body/biotechnology-and-biological-sciences-research-council http://reference.data.gov.uk/id/public-body/biotechnology-and-biological-sciences-research-council
boundary-commission-for-england,Boundary Commission for England,2012-03-31 2012-09-30 2014-03-31,http://reference.data.gov.uk/id/public-body/boundary-commission-for-england http://reference.data.gov.uk/id/public-body/boundary-commission-of-england http://reference.data.gov.uk/id/public-body/boundary-commission
boundary-commission-for-scotland,Boundary Commission for Scotland,2011-09-30,http://reference.data.gov.uk/id/public-body/boundary-commission-for-scotland
british-tourist-authority,British Tourist Authority,2011-09-30 2012-03-31,http://reference.data.gov.uk/id/public-body/visitbritain http://reference.data.gov.uk/id/public-body/visitbritain
british-transport-police-authority,British Transport Police Authority,2011-03-31 2011-09-30 2012-03-31 2012-09-30 2013-03-31 2014-03-31 2015-03-31,http://reference.data.gov.uk/id/public-body/british-transport-police-authority http://reference.data.gov.uk/id/public-body/british-transport-police-authority http://reference.data.gov.uk/id/public-body/british-transport-police-authority http://reference.data.gov.uk/id/public-body/british-transport-police-authority http://reference.data.gov.uk/id/public-body/british-transport-police-authority http://reference.data.gov.uk/id/public-body/british-transport-police-authority http://reference.data.gov.uk/id/public-body/british-transport-police-authority
cabinet-office,Cabinet Office,2011-03-31 2011-03-31 2011-09-30 2012-03-31 2012-09-30 2013-09-30 2014-03-31 2014-09-30 2015-03-31 2015-09-30,http://reference.data.gov.uk/id/department/co http://reference.data.gov.uk/id/department/co http://reference.data.gov.uk/id/department/co http://reference.data.gov.uk/id/department/co http://reference.data.gov.uk/id/department/co http://reference.data.gov.uk/id/department/co http://reference.data.gov.uk/id/department/co http://reference.data.gov.uk/id/department/co http://reference.data.gov.uk/id/department/co http://reference.data.gov.uk/id/department/co
capital-for-enterprise-ltd,Capital For Enterprise Ltd,2011-09-30 2012-03-31 2013-03-31,http://reference.data.gov.uk/id/public-body/capital-for-enterprise-ltd http://reference.data.gov.uk/id/public-body/capital-for-enterprise-ltd http://reference.data.gov.uk/id/public-body/capital-for-enterprise-ltd
care-quality-commission,Care Quality Commission,2011-03-31 2011-09-30 2012-03-31 2012-09-30 2013-03-31 2013-09-30 2014-03-31,http://reference.data.gov.uk/id/public-body/care-quality-commission http://reference.data.gov.uk/id/public-body/care-quality-commission http://reference.data.gov.uk/id/public-body/care-quality-commission http://reference.data.gov.uk/id/public-body/care-quality-commission http://reference.data.gov.uk/id/public-body/care-quality-commission http://reference.data.gov.uk/id/public-body/care-quality-commission http://reference.data.gov.uk/id/public-body/care-quality-commission
centre-for-environment-fisheries-aquaculture-science,"Centre for Environment, Fisheries & Aquaculture Science",2011-09-30 2012-03-31 2012-09-30 2013-03-31 2013-09-30 2014-03-31 2014-09-30,http://reference.data.gov.uk/id/public-body/cefas http://reference.data.gov.uk/id/public-body/centre-for-environment-fisheries-and-aquaculture-science http://reference.data.gov.uk/id/public-body/centre-for-environment-fisheries-and-aquaculture-science http://reference.data.gov.uk/id/public-body/cefas http://reference.data.gov.uk/id/public-body/cefas http://reference.data.gov.uk/id/public-body/cefas http://reference.data.gov.uk/id/public-body/cefas
