body_title,graph,senior_posts,junior_posts,source_files,num_source_files
"Advisory, Conciliation and Arbitration Service",2011-09-30,4,293,{u'/data/acas/2011-09-30/ACAS-SEPT-2011-TRANSPERANCYa.xls': 297},1
"Advisory, Conciliation and Arbitration Service",2012-03-31,6,28,{u'/data/acas/2012-03-31/ACAS-13june2012-HL.xls': 34},1
"Advisory, Conciliation and Arbitration Service",2012-09-30,6,28,{u'/data/acas/2012-09-30/ACAS-07Nov2012.xls': 34},1
Animal and Plant Health Agency,2015-03-31,9,127,{u'/data/defra/2015-03-31/APHA_31032015.xls': 136},1
Animal and Plant Health Agency,2015-09-30,9,139,{u'/data/defra/2015-09-30/APHA_30092015.xls': 148},1
Animal and Plant Health Agency,2016-03-31,9,121,{u'/data/defra/2016-03-31/APHA_31032016.xls': 130},1
Animal Health and Veterinary Laboratories Agency,2011-03-31,12,219,{u'/data/ahvla/2011-03-31/AHVLA---March-2011.xls': 229},1
Animal Health and Veterinary Laboratories Agency,2011-09-30,11,226,{u'/data/ahvla/2011-09-30/AHVLA-government-staff-and-salary-data-blank-template---October-2011.xls': 237},1
Animal Health and Veterinary Laboratories Agency,2012-03-31,13,230,{u'/data/ahvla/2012-03-31/AHVLA_31_March-2012.xls': 243},1
Animal Health and Veterinary Laboratories Agency,2012-09-30,13,319,{u'/data/ahvla/2012-09-30/AHVLA_30_September_2012.xls': 332},1
Animal Health and Veterinary Laboratories Agency,2013-03-31,0,0,{},0
Animal Health and Veterinary Laboratories Agency,2013-09-30,9,170,{u'/data/ahvla/2013-09-30/AHVLA_30092013.xls': 179},1
Animal Health and Veterinary Laboratories Agency,2014-03-31,9,187,{u'/data/ahvla/2014-03-31/AHVLA_31032014.xls': 196},1
Animal Health and Veterinary Laboratories Agency,2014-09-30,9,187,{u'/data/ahvla/2014-09-30/AHVLA_30092014.xls': 196},1
Appointments Commission,2011-03-31,3,13,{u'/data/appointments/2011-03-31/government-staff-and-salary-data-template-v2.xls': 16},1
Appointments Commission,2011-09-30,3,11,{u'/data/appointments/2011-09-30/Copy-of-government-staff-and-salary-data-blank-template---October-2011-(2).xls': 14},1
Arts and Humanities Research Council,2011-09-30,4,11,{u'/data/ahrc/2011-09-30/final-data-for-organogram-as-at-30092011.xls': 15},1
Arts and Humanities Research Council,2012-03-31,3,12,{u'/data/ahrc/2012-03-31/310312-AHRC-Organogram-data.xls': 15},1
Arts and Humanities Research Council,2012-09-30,3,12,{u'/data/ahrc/2012-09-30/20120930AHRCorganogramdata.xls': 15},1
Arts and Humanities Research Council,2013-09-30,3,24,{u'/data/ahrc/2013-09-30/300913---AHRC---Transparency-Organogram1.xls': 27},1
Arts and Humanities Research Council,2015-09-30,3,37,{u'/data/ahrc/2015-09-30/30092015---AHRC---Transparency-Organogram.xls': 40},1
Arts Council England,2012-03-31,9,291,{u'/data/artscouncil/2012-03-31/Arts-Council-England-March-2012-HL-250712.xls': 300},1
Asset Protection Agency,2011-03-31,18,8,{u'/data/apa/2011-03-31/20110331-Government-staff-and-salary-data-APA---March-2011-for-upload.xls': 25},1
Asset Protection Agency,2011-09-30,17,8,{u'/data/apa/2011-09-30/APA-Government-staff-and-salary-data--template---October-2011-V4.xls': 25},1
Asset Protection Agency,2012-03-31,13,6,{u'/data/apa/2012-03-31/APA-government-staff-and-salary-data-blank-template---March-2012-FINAL.xls': 19},1
Asset Protection Agency,2012-09-30,5,1,{u'/data/apa/2012-09-30/APA-government-staff-and-salary-data-blank-template---Sept-2012-FINAL.xls': 6},1
Attorney General's Office,2011-03-31,6,20,{u'/data/TSOL/2011-03-31/AGO-government-staff-and-salary-data---March-2011.xls': 26},1
Attorney General's Office,2011-03-31,6,20,{u'/data/TSOL/2011-03-31/AGO-government-staff-and-salary-data---March-2011.xls': 26},1
Attorney General's Office,2011-09-30,5,18,{u'/data/tsol/2011-09-30/AGO-government-staff-and-salary-data---September-2011.xls': 23},1
Attorney General's Office,2012-03-31,6,19,{u'/data/tsol/2012-03-31/AGO_staff_data_march_2012.xls': 25},1
Attorney General's Office,2012-09-30,6,21,{u'/data/tsol/2012-09-30/AGO-government-staff-and-salary-data---September-2012.xls': 27},1
Attorney General's Office,2013-09-30,5,17,{u'/data/tsol/2013-09-30/AGO-government-staff-and-salary-data---Dec---final-v2.0.xls': 22},1
